PLAYER CONTRACT SUMMARY
Player Name,Tom#25 Sestito
NHL Player ID,8473542
Official Name,Tom Sestito
Current Team,PIT
Position,L
Number,#25
Export Date,2025-10-17 15:35:49

DATA SUMMARY
Total Contracts,8
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,PIT,2017-07-01,1,650000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 1, 2017"
Standard Contract,PIT,2016-07-01,1,575000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 1, 2016"
Standard Contract,PIT,2016-02-01,1,575000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Feb. 1, 2016"
Standard Contract (Extension),VAN,2013-05-29,2,1500000,,"UFACap Percent : -%Signing Team: Vancouver CanucksSigning Date: May 29, 2013"
Standard Contract,PHI,2012-07-31,1,605000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Jul. 31, 2012"
Standard Contract (Extension),PHI,2011-06-27,1,550000,,"RFA (Arb)Cap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Jun. 27, 2011"
Standard Contract,CBJ,2010-07-15,1,577500,,"RFA (Arb)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jul. 15, 2010"
Entry-Level Contract,CBJ,2007-03-27,3,2255000,,"RFACap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Mar. 27, 2007"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2017-18,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000","$225,000"
2016-17,-,"$575,000",0.8%,"$575,000",$0,$0,"$575,000","$575,000","$200,000"
2015-16,-,"$575,000",0.8%,"$575,000",$0,$0,"$575,000","$575,000","$150,000"
2013-14,-,"$750,000",1.2%,"$750,000",$0,"$100,000","$550,000","$650,000",-
2014-15,-,"$750,000",1.1%,"$750,000",$0,"$100,000","$750,000","$850,000",-
2012-13,-,"$605,000",1.0%,"$605,000",$0,$0,"$605,000","$605,000","$90,000"
2011-12,-,"$550,000",0.9%,"$550,000",$0,$0,"$550,000","$550,000","$90,000"
2010-11,-,"$577,500",1.0%,"$577,500",$0,$0,"$577,500","$577,500","$62,500"
2007-08,-,"$563,333",1.1%,"$751,667","$225,000",$0,"$545,000","$545,000","$62,500"
2008-09,-,"$563,333",1.0%,"$751,667","$275,000",$0,"$560,000","$560,000","$62,500"
2009-10,-,"$563,333",1.0%,"$751,667","$65,000",$0,"$585,000","$585,000","$62,500"

