PLAYER CONTRACT SUMMARY
Player Name,Trevor#57 van Riemsdyk
NHL Player ID,8477845
Official Name,Trevor van Riemsdyk
Current Team,WSH
Position,D
Number,#57
Export Date,2025-10-16 16:54:46

DATA SUMMARY
Total Contracts,6
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),WSH,2023-03-11,3,9000000,,"UFACap Percent : 3.1%Signing Team: Washington CapitalsSigning Date: Mar. 11, 2023"
Standard Contract (Extension),WSH,2021-03-21,2,1900000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Mar. 21, 2021"
Standard Contract,WSH,2020-10-10,1,800000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Oct. 10, 2020"
Standard Contract,CAR,2018-07-05,2,4600000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 5, 2018"
Standard Contract (Extension),CHI,2015-07-07,2,1650000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Jul. 7, 2015"
Entry-Level Contract,CHI,2014-03-26,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Mar. 26, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,-,"$3,000,000",3.6%,"$3,000,000",$0,"$1,000,000","$2,750,000","$3,750,000",-
2024-25,-,"$3,000,000",3.4%,"$3,000,000",$0,"$1,000,000","$2,000,000","$3,000,000",-
2025-26,-,"$3,000,000",3.1%,"$3,000,000",$0,"$1,250,000","$1,000,000","$2,250,000",-
2021-22,-,"$950,000",1.2%,"$950,000",$0,$0,"$900,000","$900,000",-
2022-23,-,"$950,000",1.2%,"$950,000",$0,$0,"$1,000,000","$1,000,000",-
2020-21,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2018-19,-,"$2,300,000",2.9%,"$2,300,000",$0,$0,"$2,100,000","$2,100,000",-
2019-20,-,"$2,300,000",2.8%,"$2,300,000",$0,$0,"$2,500,000","$2,500,000",-
2016-17,-,"$825,000",1.1%,"$825,000",$0,$0,"$750,000","$750,000",-
2017-18,-,"$825,000",1.1%,"$825,000",$0,$0,"$900,000","$900,000",-
2014-15,-,"$925,000",1.3%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2015-16,-,"$925,000",1.3%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

