PLAYER CONTRACT SUMMARY
Player Name,Tyson#8 Barrie
NHL Player ID,8475197
Official Name,Tyson Barrie
Current Team,COL
Position,D
Number,#4
Export Date,2025-10-17 12:30:15

DATA SUMMARY
Total Contracts,6
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CGY,2024-10-03,1,1250000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Oct. 03, 2024"
Standard Contract,EDM,2021-07-28,3,13500000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 28, 2021"
Standard Contract,EDM,2020-10-10,1,3750000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Oct. 10, 2020"
Standard Contract,COL,2016-07-31,4,22000000,,"UFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 31, 2016"
Standard Contract,COL,2014-09-07,2,5200000,,"RFA (Arb)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: Sep. 7, 2014"
Entry-Level Contract,COL,2011-03-25,3,2700000,,"RFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Mar. 25, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$1,250,000",1.4%,"$1,250,000",$0,$0,"$1,250,000","$1,250,000",-
2021-22,-,"$4,500,000",5.5%,"$4,500,000",$0,"$500,000","$3,500,000","$4,000,000",-
2022-23,-,"$4,500,000",5.5%,"$4,500,000",$0,$0,"$4,500,000","$4,500,000",-
2023-24,-,"$4,500,000",5.4%,"$4,500,000",$0,"$1,250,000","$3,750,000","$5,000,000",-
2020-21,-,"$3,750,000",4.6%,"$3,750,000",$0,$0,"$3,750,000","$3,750,000",-
2016-17,-,"$5,500,000",7.5%,"$5,500,000",$0,$0,"$5,000,000","$5,000,000",-
2017-18,-,"$5,500,000",7.3%,"$5,500,000",$0,$0,"$5,250,000","$5,250,000",-
2018-19,-,"$5,500,000",6.9%,"$5,500,000",$0,$0,"$5,750,000","$5,750,000",-
2019-20,-,"$5,500,000",6.7%,"$5,500,000",$0,$0,"$6,000,000","$6,000,000",-
2014-15,-,"$2,600,000",3.8%,"$2,600,000",$0,$0,"$2,000,000","$2,000,000",-
2015-16,-,"$2,600,000",3.6%,"$2,600,000",$0,$0,"$3,200,000","$3,200,000",-
2011-12,-,"$715,000",1.1%,"$900,000","$285,000","$90,000","$525,000","$615,000","$67,500"
2012-13,-,"$715,000",1.2%,"$900,000","$210,000","$90,000","$600,000","$690,000","$67,500"
2013-14,-,"$715,000",1.1%,"$900,000","$60,000","$90,000","$750,000","$840,000","$67,500"

