PLAYER CONTRACT SUMMARY
Player Name,Urho#18 Vaakanainen
NHL Player ID,8480001
Official Name,Urho Vaakanainen
Current Team,NYR
Position,D
Number,#18
Export Date,2025-10-16 16:40:31

DATA SUMMARY
Total Contracts,4
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NYR,2025-03-07,2,3100000,,"UFACap Percent : 1.6%Signing Team: New York RangersSigning Date: Mar. 07, 2025"
Standard Contract,ANA,2024-07-01,1,1100000,,"UFACap Percent : -%Signing Team: Anaheim DucksSigning Date: Jul. 1, 2024"
Standard Contract,ANA,2022-07-22,2,1700000,,"UFA (No QO)Cap Percent : -%Signing Team: Anaheim DucksSigning Date: Jul. 22, 2022"
Entry-Level Contract,BOS,2018-06-13,3,4000000,,"RFACap Percent : -%Signing Team: Boston BruinsSigning Date: Jun. 13, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,550,000",1.6%,"$1,550,000",$0,"$250,000","$1,400,000","$1,650,000",-
2026-27,-,"$1,550,000",1.5%,"$1,550,000",$0,$0,"$1,450,000","$1,450,000",-
2024-25,-,"$1,100,000",1.3%,"$1,100,000",$0,$0,"$1,100,000","$1,100,000",-
2022-23,-,"$850,000",1.0%,"$850,000",$0,$0,"$800,000","$800,000",-
2023-24,-,"$850,000",1.0%,"$850,000",$0,$0,"$900,000","$900,000",-
2018-19,-,"$925,000",1.2%,"$1,333,333",$0,"$92,500",-,-,-
2019-20,-,"$894,167",1.1%,"$1,302,500","$300,000","$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$894,167",1.1%,"$1,302,500","$425,000","$92,500","$832,500","$925,000","$70,000"
2021-22,-,"$894,167",1.1%,"$1,302,500","$500,000",$0,"$832,500","$832,500","$70,000"

