PLAYER CONTRACT SUMMARY
Player Name,Vernon#83 Fiddler
NHL Player ID,8469759
Official Name,Vernon Fiddler
Current Team,DAL
Position,C
Number,#38
Export Date,2025-10-17 15:35:36

DATA SUMMARY
Total Contracts,7
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
35+ Contract,NJD,2016-07-01,1,1250000,,"UFACap Percent : -%Signing Team: New Jersey DevilsSigning Date: Jul. 1, 2016"
Standard Contract,DAL,2014-07-03,2,2500000,,"UFACap Percent : -%Signing Team: Dallas StarsSigning Date: Jul. 3, 2014"
Standard Contract,DAL,2011-07-01,3,5400000,,"UFACap Percent : -%Signing Team: Dallas StarsSigning Date: Jul. 1, 2011"
Standard Contract,ARI,2009-07-01,2,2200000,,"UFACap Percent : -%Signing Team: Arizona CoyotesSigning Date: Jul. 1, 2009"
Standard Contract,NSH,2007-07-18,2,1700000,,"UFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 18, 2007"
Standard Contract (Extension),NSH,2006-05-18,1,450000,,"RFA (Arb)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: May 18, 2006"
Standard Contract,NSH,2005-07-28,1,450000,,"RFA (Arb)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 28, 2005"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2016-17,-,"$1,250,000",1.7%,"$1,250,000",$0,$0,"$1,250,000","$1,250,000",-
2014-15,-,"$1,250,000",1.8%,"$1,250,000",$0,$0,"$1,000,000","$1,000,000",-
2015-16,-,"$1,250,000",1.8%,"$1,250,000",$0,$0,"$1,500,000","$1,500,000",-
2011-12,-,"$1,800,000",2.8%,"$1,800,000",$0,$0,"$1,800,000","$1,800,000",-
2012-13,-,"$1,800,000",3.0%,"$1,800,000",$0,$0,"$1,800,000","$1,800,000",-
2013-14,-,"$1,800,000",2.8%,"$1,800,000",$0,$0,"$1,800,000","$1,800,000",-
2009-10,-,"$1,100,000",1.9%,"$1,100,000",$0,$0,"$1,100,000","$1,100,000",-
2010-11,-,"$1,100,000",1.9%,"$1,100,000",$0,$0,"$1,100,000","$1,100,000",-
2007-08,-,"$850,000",1.7%,"$850,000",$0,$0,"$800,000","$800,000",-
2008-09,-,"$850,000",1.5%,"$850,000",$0,$0,"$900,000","$900,000",-
2006-07,-,"$450,000",1.0%,"$450,000",$0,$0,"$450,000","$450,000",-
2005-06,-,"$450,000",1.2%,"$450,000",$0,$0,"$450,000","$450,000",-

