PLAYER CONTRACT SUMMARY
Player Name,Vladimir#91 Tarasenko
NHL Player ID,8475765
Official Name,Vladimir Tarasenko
Current Team,MIN
Position,R
Number,#91
Export Date,2025-10-16 16:34:57

DATA SUMMARY
Total Contracts,4
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,DET,2024-07-03,2,9500000,,"UFACap Percent : 5.0%Signing Team: Detroit Red WingsSigning Date: Jul. 3, 2024"
Standard Contract,OTT,2023-07-27,1,5000000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jul. 27, 2023"
Standard Contract,STL,2015-07-07,8,60000000,,"UFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 7, 2015"
Entry-Level Contract,STL,2012-07-02,3,5250000,,"RFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 2, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,NTC,"$4,750,000",5.4%,"$4,750,000",$0,$0,"$4,750,000","$4,750,000",-
2025-26,M-NTC,"$4,750,000",5.0%,"$4,750,000",$0,$0,"$4,750,000","$4,750,000",-
2023-24,NTC,"$5,000,000",6.0%,"$5,000,000",$0,$0,"$5,000,000","$5,000,000",-
2015-16,-,"$7,500,000",10.5%,"$7,500,000",$0,$0,"$8,000,000","$8,000,000",-
2016-17,-,"$7,500,000",10.3%,"$7,500,000",$0,$0,"$8,000,000","$8,000,000",-
2017-18,-,"$7,500,000",10.0%,"$7,500,000",$0,$0,"$7,000,000","$7,000,000",-
2018-19,-,"$7,500,000",9.4%,"$7,500,000",$0,$0,"$7,000,000","$7,000,000",-
2019-20,NTC,"$7,500,000",9.2%,"$7,500,000",$0,$0,"$9,500,000","$9,500,000",-
2020-21,NTC,"$7,500,000",9.2%,"$7,500,000",$0,$0,"$5,500,000","$5,500,000",-
2021-22,NTC,"$7,500,000",9.2%,"$7,500,000",$0,$0,"$9,500,000","$9,500,000",-
2022-23,NTC,"$7,500,000",9.1%,"$7,500,000",$0,$0,"$5,500,000","$5,500,000",-
2012-13,-,"$900,000",1.5%,"$1,750,000","$850,000","$90,000","$810,000","$900,000","$67,500"
2013-14,-,"$900,000",1.4%,"$1,750,000","$850,000","$90,000","$810,000","$900,000","$67,500"
2014-15,-,"$900,000",1.3%,"$1,750,000","$850,000","$90,000","$810,000","$900,000","$67,500"

