PLAYER CONTRACT SUMMARY
Player Name,William#28 Carrier
NHL Player ID,8477478
Official Name,William Carrier
Current Team,CAR
Position,L
Number,#28
Export Date,2025-10-16 16:24:44

DATA SUMMARY
Total Contracts,5
Total Contract Details,23

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CAR,2024-07-01,6,12000000,,"UFACap Percent : 2.1%Signing Team: Carolina HurricanesSigning Date: Jul. 1, 2024"
Standard Contract,CAR,2024-07-01,6,12000000,,"UFACap Percent : 2.1%Signing Team: Carolina HurricanesSigning Date: Jul. 1, 2024"
Standard Contract (Extension),VGK,2020-02-27,4,5600000,,"UFACap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Feb. 27, 2020"
Standard Contract,VGK,2018-07-23,2,1450000,,"RFA (Arb)Cap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Jul. 23, 2018"
Entry-Level Contract,STL,2013-08-19,3,2725000,,"RFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Aug. 19, 2013"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,NMC,"$2,000,000",2.3%,"$2,000,000",$0,"$1,500,000","$1,000,000","$2,500,000",-
2025-26,NMC,"$2,000,000",2.1%,"$2,000,000",$0,"$1,050,000","$1,450,000","$2,500,000",-
2026-27,NMC,"$2,000,000",1.9%,"$2,000,000",$0,"$1,525,000","$775,000","$2,300,000",-
2027-28,NMC,"$2,000,000",1.8%,"$2,000,000",$0,"$925,000","$775,000","$1,700,000",-
2028-29,NMC,"$2,000,000",1.6%,"$2,000,000",$0,"$725,000","$775,000","$1,500,000",-
2029-30,M-NTC,"$2,000,000",1.5%,"$2,000,000",$0,"$725,000","$775,000","$1,500,000",-
2024-25,-,"$2,000,000",2.3%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2025-26,-,"$2,000,000",2.1%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2026-27,-,"$2,000,000",1.9%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2027-28,-,"$2,000,000",1.8%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2028-29,-,"$2,000,000",1.6%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2029-30,-,"$2,000,000",1.5%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2020-21,-,"$1,400,000",1.7%,"$1,400,000",$0,"$300,000","$700,000","$1,000,000",-
2021-22,-,"$1,400,000",1.7%,"$1,400,000",$0,$0,"$1,100,000","$1,100,000",-
2022-23,-,"$1,400,000",1.7%,"$1,400,000",$0,$0,"$1,750,000","$1,750,000",-
2023-24,-,"$1,400,000",1.7%,"$1,400,000",$0,$0,"$1,750,000","$1,750,000",-
2018-19,-,"$725,000",0.9%,"$725,000",$0,$0,"$725,000","$725,000",-
2019-20,-,"$725,000",0.9%,"$725,000",$0,$0,"$725,000","$725,000",-
2013-14,-,"$740,833",1.2%,"$908,333",$0,"$90,000",-,-,-
2014-15,-,"$710,833",1.0%,"$878,333",$0,"$90,000",-,-,-
2015-16,-,"$689,167",1.0%,"$856,667","$260,000","$92,500","$575,000","$667,500","$70,000"
2016-17,-,"$689,167",0.9%,"$856,667","$160,000",$0,"$650,000","$650,000","$70,000"
2017-18,-,"$689,167",0.9%,"$856,667","$82,500",$0,"$750,000","$750,000","$70,000"

