PLAYER CONTRACT SUMMARY
Player Name,Xavier#61 Ouellet
NHL Player ID,8476443
Official Name,Xavier Ouellet
Current Team,DET
Position,D
Number,#61
Export Date,2025-10-17 14:59:27

DATA SUMMARY
Total Contracts,7
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,PIT,2022-07-13,2,1525000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 13, 2022"
Standard Contract,MTL,2020-10-09,2,1475000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Oct. 9, 2020"
Standard Contract (Extension),MTL,2019-05-27,1,700000,,"RFA (Arb)Cap Percent : -%Signing Team: Montreal CanadiensSigning Date: May 27, 2019"
Standard Contract,MTL,2018-07-01,1,700000,,"RFA (Arb)Cap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jul. 1, 2018"
Standard Contract,DET,2017-07-03,2,2500000,,"RFA (Arb)Cap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 3, 2017"
Standard Contract (Extension),DET,2015-11-16,1,715000,,"RFA (Arb)Cap Percent : -%Signing Team: Detroit Red WingsSigning Date: Nov. 16, 2015"
Entry-Level Contract,DET,2012-03-25,3,2775000,,"RFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Mar. 25, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,-,"$762,500",0.9%,"$762,500",$0,$0,"$750,000","$750,000","$450,000"
2023-24,-,"$762,500",0.9%,"$762,500",$0,$0,"$775,000","$775,000","$450,000"
2020-21,-,"$737,500",0.9%,"$737,500",$0,$0,"$725,000","$725,000","$425,000"
2021-22,-,"$737,500",0.9%,"$737,500",$0,$0,"$750,000","$750,000","$425,000"
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$300,000"
2018-19,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$275,000"
2017-18,-,"$1,250,000",1.7%,"$1,250,000",$0,$0,"$1,200,000","$1,200,000",-
2018-19,-,"$1,250,000",1.6%,"$1,250,000",$0,$0,"$1,300,000","$1,300,000",-
2016-17,-,"$715,000",1.0%,"$715,000",$0,"$35,000","$680,000","$715,000",-
2012-13,-,"$700,833",1.2%,"$925,000",$0,"$92,500",-,-,-
2013-14,-,"$670,000",1.0%,"$894,167","$282,500","$92,500","$550,000","$642,500","$67,500"
2014-15,-,"$670,000",1.0%,"$894,167","$207,500","$92,500","$625,000","$717,500","$67,500"
2015-16,-,"$670,000",0.9%,"$894,167","$182,500",$0,"$650,000","$650,000","$67,500"

