PLAYER CONTRACT SUMMARY
Player Name,Zbynek#4 Michalek
NHL Player ID,8469760
Official Name,Zbynek Michalek
Current Team,UTA
Position,D
Number,#4
Export Date,2025-10-17 15:35:18

DATA SUMMARY
Total Contracts,3
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,ARI,2015-07-01,2,6400000,,"UFACap Percent : -%Signing Team: Arizona CoyotesSigning Date: Jul. 1, 2015"
Standard Contract,PIT,2010-07-01,5,20000000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 1, 2010"
Standard Contract (Extension),ARI,2006-04-14,4,5000000,,"UFACap Percent : -%Signing Team: Arizona CoyotesSigning Date: Apr. 14, 2006"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2015-16,-,"$3,200,000",4.5%,"$3,200,000",$0,$0,"$3,200,000","$3,200,000",-
2016-17,-,"$3,200,000",4.4%,"$3,200,000",$0,$0,"$3,200,000","$3,200,000",-
2010-11,M-NTC,"$4,000,000",6.7%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2011-12,M-NTC,"$4,000,000",6.2%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2012-13,M-NTC,"$4,000,000",6.7%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2013-14,M-NTC,"$4,000,000",6.2%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2014-15,M-NTC,"$4,000,000",5.8%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2006-07,-,"$1,250,000",2.8%,"$1,250,000",$0,$0,"$900,000","$900,000",-
2007-08,-,"$1,250,000",2.5%,"$1,250,000",$0,$0,"$1,200,000","$1,200,000",-
2008-09,-,"$1,250,000",2.2%,"$1,250,000",$0,$0,"$1,400,000","$1,400,000",-
2009-10,-,"$1,250,000",2.2%,"$1,250,000",$0,$0,"$1,500,000","$1,500,000",-

