PLAYER CONTRACT SUMMARY
Player Name,Zemgus#28 Girgensons
NHL Player ID,8476878
Official Name,Zemgus Girgensons
Current Team,TBL
Position,C
Number,#28
Export Date,2025-10-16 16:47:11

DATA SUMMARY
Total Contracts,7
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,TBL,2024-07-01,3,2550000,,"UFACap Percent : 0.9%Signing Team: Tampa Bay LightningSigning Date: Jul. 1, 2024"
Standard Contract (Extension),BUF,2023-06-20,1,2500000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jun. 20, 2023"
Standard Contract (Extension),BUF,2020-10-08,3,6600000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Oct. 8, 2020"
Standard Contract,BUF,2019-07-05,1,1600000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 5, 2019"
Standard Contract,BUF,2017-08-17,2,3200000,,"RFA (Arb)Cap Percent : -%Signing Team: Buffalo SabresSigning Date: Aug. 17, 2017"
Standard Contract,BUF,2016-09-01,1,1150000,,"RFA (Arb)Cap Percent : -%Signing Team: Buffalo SabresSigning Date: Sep. 1, 2016"
Entry-Level Contract,BUF,2012-07-15,3,4200000,,"RFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 15, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,M-NTC,"$850,000",1.0%,"$850,000",$0,"$225,000","$775,000","$1,000,000",-
2025-26,M-NTC,"$850,000",0.9%,"$850,000",$0,$0,"$775,000","$775,000",-
2026-27,M-NTC,"$850,000",0.8%,"$850,000",$0,$0,"$775,000","$775,000",-
2023-24,-,"$2,500,000",3.0%,"$2,500,000",$0,$0,"$2,500,000","$2,500,000",-
2020-21,-,"$2,200,000",2.7%,"$2,200,000",$0,$0,"$2,000,000","$2,000,000",-
2021-22,-,"$2,200,000",2.7%,"$2,200,000",$0,$0,"$2,200,000","$2,200,000",-
2022-23,-,"$2,200,000",2.7%,"$2,200,000",$0,$0,"$2,400,000","$2,400,000",-
2019-20,-,"$1,600,000",2.0%,"$1,600,000",$0,$0,"$1,600,000","$1,600,000",-
2017-18,-,"$1,600,000",2.1%,"$1,600,000",$0,$0,"$1,600,000","$1,600,000",-
2018-19,-,"$1,600,000",2.0%,"$1,600,000",$0,$0,"$1,600,000","$1,600,000",-
2016-17,-,"$1,150,000",1.6%,"$1,150,000",$0,$0,"$1,150,000","$1,150,000",-
2012-13,-,"$925,000",1.5%,"$1,400,000",$0,"$92,500",-,-,-
2013-14,-,"$894,167",1.4%,"$1,369,167","$700,000","$92,500","$832,500","$925,000","$70,000"
2014-15,-,"$894,167",1.3%,"$1,369,167","$700,000","$92,500","$832,500","$925,000","$70,000"
2015-16,-,"$894,167",1.3%,"$1,369,167","$25,000",$0,"$832,500","$832,500","$70,000"

