player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Aho, Sebastian",8480222,C,roster,,,28,1996-02-17,SWE,70,186,L,,,,,,https://assets.nhle.com/mugs/nhl/20172018/NYI/8480222.png
"Andersen, Frederik",8475883,G,roster,,,36,1989-10-02,DNK,76,238,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475883.png
"Blake, Jackson",8482809,"RW,LW",roster,,,22,2003-08-03,USA,70,173,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482809.png
"Bussi, Brandon",8483548,G,roster,,,27,1998-06-25,USA,76,218,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8483548.png
"Carrier, William",8477478,"RW,LW",roster,,,30,1994-12-20,CAN,74,218,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477478.png
"Chatfield, Jalen",8478970,RD,roster,,,29,1996-05-15,USA,73,188,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478970.png
"Ehlers, Nikolaj",8477940,LW,roster,,,29,1996-02-14,DNK,72,169,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477940.png
"Gostisbehere, Shayne",8476906,"LD,RD",roster,,,32,1993-04-20,USA,71,180,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476906.png
"Hall, Taylor",8475791,"LW,RW",roster,,,33,1991-11-14,CAN,73,210,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475791.png
"Jankowski, Mark",8476873,"LW,C",roster,,,31,1994-09-13,CAN,76,212,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476873.png
"Jarvis, Seth",8482093,"RW,LW,C",roster,,,23,2002-02-01,CAN,70,175,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482093.png
"Kochetkov, Pyotr",8481611,G,roster,,,26,1999-06-25,RUS,75,205,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481611.png
"Kotkaniemi, Jesperi",8480829,C,roster,,,25,2000-07-06,FIN,74,201,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480829.png
"Legault, Charles-Alexis",,RD,roster,,,22,,,,,,,,,,,
"Martinook, Jordan",8476921,LW,roster,,,33,1992-07-25,CAN,72,196,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476921.png
"Miller, K'Andre",8480817,LD,roster,,,25,2000-01-21,USA,77,215,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480817.png
"Nikishin, Alexander",8482100,LD,roster,,,24,2001-10-02,RUS,76,216,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482100.png
"Reilly, Mike",8476422,"LD,RD",roster,,,32,1993-07-13,USA,73,196,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476422.png
"Robinson, Eric",8480762,"LW,RW",roster,,,30,1995-06-14,USA,74,205,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480762.png
"Slavin, Jaccob",8476958,LD,roster,,,31,1994-05-01,USA,75,207,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476958.png
"Staal, Jordan",8473533,C,roster,,,37,1988-09-10,CAN,76,220,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8473533.png
"Stankoven, Logan",8482702,"RW,C",roster,,,22,2003-02-26,CAN,68,171,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482702.png
"Svechnikov, Andrei",8480830,RW,roster,,,25,2000-03-26,RUS,74,195,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480830.png
"Walker, Sean",8480336,RD,roster,,,30,1994-11-13,CAN,71,195,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480336.png
"Badinka, Dominik",,RD,non_roster,,,19,,,,,,,,,,,
"Bayreuther, Gavin",8479945,LD,non_roster,,,31,1994-05-12,USA,73,196,L,,,,,,https://assets.nhle.com/mugs/nhl/20182019/DAL/8479945.png
"Brind'Amour, Skyler",,C,non_roster,,,26,,,,,,,,,,,
"Fensore, Domenick",,"RD,LD",non_roster,,,24,,,,,,,,,,,
"Gunler, Noel",,RW,non_roster,,,24,,,,,,,,,,,
"Heimosalmi, Aleksi",,RD,non_roster,,,22,,,,,,,,,,,
"Jaaska, Juha",8484929,LW,non_roster,,,27,1998-02-09,FIN,72,210,L,,,,,,https://assets.nhle.com/mugs/nhl/20242025/CAR/8484929.png
"Khazheev, Ruslan",,G,non_roster,,,20,,,,,,,,,,,
"Miftakhov, Amir",,G,non_roster,,,25,,,,,,,,,,,
"Montgomery, Bryce",,RD,non_roster,,,22,,,,,,,,,,,
