player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Anderson, Joey",8479315,RW,roster,,,27,1998-06-19,USA,72,207,R,,,,,,https://assets.nhle.com/mugs/nhl/20182019/NJD/8479315.png
"Bedard, Connor",8484144,"C,RW",roster,,,20,2005-07-17,CAN,70,185,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484144.png
"Bertuzzi, Tyler",8477479,"LW,RW",roster,,,30,1995-02-24,CAN,73,186,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477479.png
"Brodie, TJ",8474673,"LD,RD",roster,Yes,,35,1990-06-07,CAN,74,187,L,,,,,,https://assets.nhle.com/mugs/nhl/20152016/CGY/8474673.png
"Brossoit, Laurent",8476316,G,roster,,,32,1993-03-23,CAN,75,215,L,,,,,,https://assets.nhle.com/mugs/nhl/20152016/EDM/8476316.png
"Burakovsky, Andre",8477444,"LW,RW",roster,,,30,1995-02-09,AUT,75,209,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477444.png
"Crevier, Louis",8481806,"RD,LD",roster,,,24,2001-05-04,CAN,80,228,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481806.png
"Dach, Colton",8482703,"RW,LW,C",roster,,,22,2003-01-04,CAN,76,196,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482703.png
"Dickinson, Jason",8477450,"C,LW",roster,,,30,1995-07-04,CAN,74,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477450.png
"Donato, Ryan",8477987,"C,RW,LW",roster,,,29,1996-04-09,USA,72,190,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477987.png
"Foligno, Nick",8473422,"LW,C",roster,,,37,1987-10-31,USA,72,210,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8473422.png
"Greene, Ryan",8483450,C,roster,,,21,2003-10-21,CAN,73,174,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483450.png
"Grzelcyk, Matt",8476891,LD,roster,,,31,1994-01-05,USA,70,176,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8476891.png
"Jones, Seth",8477495,"RD,LD",roster,Yes,,31,1994-10-03,USA,76,213,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/FLA/8477495.png
"Kaiser, Wyatt",8482176,"RD,LD",roster,,,23,2002-07-31,USA,72,173,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482176.png
"Knight, Spencer",8481519,G,roster,,,24,2001-04-19,USA,75,192,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481519.png
"Lafferty, Sam",8478043,"RW,C",roster,,,30,1995-03-06,USA,73,195,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8478043.png
"Levshunov, Artyom",8484783,RD,roster,,,19,2005-10-28,BLR,74,208,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484783.png
"Mikheyev, Ilya",8481624,RW,roster,,,31,1994-10-10,RUS,74,192,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481624.png
"Murphy, Connor",8476473,RD,roster,,,32,1993-03-26,USA,76,212,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8476473.png
"Nazar, Frank",8483493,C,roster,,,21,2004-01-14,USA,69,175,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483493.png
"Reichel, Lukas",8482117,"C,LW",roster,,,23,2002-05-17,DEU,72,170,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482117.png
"Rinzel, Sam",8483506,"LD,RD",roster,,,21,2004-06-25,USA,76,177,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483506.png
"Slaggert, Landon",8482172,"LW,RW",roster,,,23,2002-06-25,USA,72,180,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482172.png
"Soderblom, Arvid",8482821,G,roster,,,26,1999-08-19,SWE,75,180,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482821.png
"Teravainen, Teuvo",8476882,"LW,RW,C",roster,,,31,1994-09-11,FIN,71,191,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8476882.png
"Vlasic, Alex",8481568,"LD,RD",roster,,,24,2001-06-05,USA,78,199,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481568.png
"Weber, Shea",8470642,RD,roster,,,40,1985-08-14,CAN,76,230,R,,,,,,https://assets.nhle.com/mugs/nhl/20152016/NSH/8470642.png
"Allan, Nolan",,"LD,RD",non_roster,,,22,,,,,,,,,,,
"Berezhnoy, Stanislav",,G,non_roster,,,22,,,,,,,,,,,
"Commesso, Drew",,G,non_roster,,,23,,,,,,,,,,,
"Del Mastro, Ethan",,LD,non_roster,,,22,,,,,,,,,,,
"Frondell, Anton",,C,non_roster,,,18,,,,,,,,,,,
"Harding, Taige",,LD,non_roster,,,23,,,,,,,,,,,
"Hayes, Gavin",,LW,non_roster,,,21,,,,,,,,,,,
"Korchinski, Kevin",8483466,LD,non_roster,,,21,2004-06-21,CAN,73,185,L,,,,,,https://assets.nhle.com/mugs/nhl/20232024/CHI/8483466.png
"Kuzmin, Dmitry",,LD,non_roster,,,22,,,,,,,,,,,
"Lardis, Nick",,LW,non_roster,,,20,,,,,,,,,,,
"Ludwinski, Paul",,C,non_roster,,,21,,,,,,,,,,,
"Mast, Ryan",,RD,non_roster,,,22,,,,,,,,,,,
"Misiak, Martin",,RW,non_roster,,,21,,,,,,,,,,,
"Moore, Oliver",8484197,"C,LW,RW",non_roster,,,20,2005-01-22,USA,71,188,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484197.png
"Savoie, Samuel",,LW,non_roster,,,21,,,,,,,,,,,
"Spellacy, Anthony (AJ)",,RW,non_roster,,,19,,,,,,,,,,,
"Thompson, Aidan",,C,non_roster,,,23,,,,,,,,,,,
"Toninato, Dominic",8476952,"RW,C",non_roster,,,31,1994-03-09,USA,74,201,L,,,,,,https://assets.nhle.com/mugs/nhl/20172018/COL/8476952.png
"Vanacker, Marek",,LW,non_roster,,,19,,,,,,,,,,,
"Behm, Nathan",,RW,unsigned,,,18,,,,,,CHI,2025,3,66,"Jun. 1, 2027",
"Boisvert, Sacha",,C,unsigned,,,19,,,,,,CHI,2024,1,18,"Aug. 15, 2028",
"Cumby, Ashton",,D,unsigned,,,20,,,,,,CHI,2025,6,162,"Jun. 1, 2027",
"Felcman, Jiri",,C,unsigned,,,20,,,,,,CHI,2023,3,93,"Jun. 1, 2027",
"Gajan, Adam",,G,unsigned,,,21,,,,,,CHI,2023,2,35,"Aug. 15, 2028",
"Henry, Ty",,LD,unsigned,,,19,,,,,,CHI,2024,6,163,"Jun. 1, 2026",
"Holmes, Parker",,LW,unsigned,,,18,,,,,,CHI,2025,4,107,"Jun. 1, 2027",
"Kanarsky, Ilya",,G,unsigned,,,20,,,,,,CHI,2025,7,194,-,
"Kantserov, Roman",,RW,unsigned,,,21,,,,,,CHI,2023,2,44,-,
"Kayumov, Artur",,LW,unsigned,,,27,,,,,,CHI,2016,2,50,-,
"Mustard, John",,C,unsigned,,,19,,,,,,CHI,2024,3,67,"Aug. 15, 2029",
"Nestrasil, Vaclav",,RW,unsigned,,,18,,,,,,CHI,2025,1,25,"Aug. 15, 2029",
"Peltonen, Janne",,LD,unsigned,,,20,,,,,,CHI,2023,7,195,"Jun. 1, 2027",
"Pridham, Jack",,RW,unsigned,,,20,,,,,,CHI,2024,3,92,"Aug. 15, 2028",
"Sumpf, Julius",,C,unsigned,,,20,,,,,,CHI,2025,4,98,"Jun. 1, 2026",
"Svensson, Joel",,C,unsigned,,,20,,,,,,CHI,2024,5,138,"Jun. 1, 2028",
"Tohila, Riku",,C,unsigned,,,21,,,,,,CHI,2022,7,199,"Jun. 1, 2026",
"West, Mason",,C,unsigned,,,18,,,,,,CHI,2025,1,29,"Jun. 1, 2027",
