player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Askarov, Yaroslav",8482137,G,roster,,,23,2002-06-16,RUS,75,178,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482137.png
"Celebrini, Macklin",8484801,C,roster,,,19,2006-06-13,CAN,72,190,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484801.png
"Couture, Logan",8474053,C,roster,,,36,1989-03-28,CAN,73,206,L,,,,,,https://assets.nhle.com/mugs/nhl/20152016/SJS/8474053.png
"Dellandrea, Ty",8480848,"C,LW",roster,,,25,2000-07-21,CAN,73,195,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8480848.png
"Desharnais, Vincent",8479576,RD,roster,,,29,1996-05-29,CAN,78,215,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8479576.png
"Dickinson, Sam",8484806,LD,roster,,,19,2006-06-07,CAN,75,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484806.png
"Eklund, William",8482667,"LW,RW",roster,,,23,2002-10-12,SWE,71,181,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482667.png
"Ellis, Ryan",8475176,RD,roster,,,34,1991-01-03,CAN,70,180,R,,,,,,https://assets.nhle.com/mugs/nhl/20152016/NSH/8475176.png
"Ferraro, Mario",8479983,LD,roster,,,27,1998-09-17,CAN,72,209,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8479983.png
"Gaudette, Adam",8478874,"C,RW",roster,,,29,1996-10-03,USA,73,194,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8478874.png
"Goodrow, Barclay",8476624,"LW,RW",roster,,,32,1993-02-26,CAN,74,204,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8476624.png
"Graf, Collin",8484911,RW,roster,,,23,2002-09-21,USA,73,194,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484911.png
"Hertl, Tomas",8476881,"C,LW",roster,Yes,,31,1993-11-12,CZE,75,215,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476881.png
"Iorio, Vincent",8482861,RD,roster,,,22,2002-11-14,CAN,76,200,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/WSH/8482861.png
"Jones, Martin",8474889,G,roster,Yes,,35,1990-01-10,CAN,76,203,L,,,,,,https://assets.nhle.com/mugs/nhl/20152016/SJS/8474889.png
"Karlsson, Erik",8474578,"RD,LD",roster,Yes,,35,1990-05-31,SWE,72,190,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/PIT/8474578.png
"Klingberg, John",8475906,RD,roster,,,33,1992-08-14,SWE,75,190,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475906.png
"Kurashev, Philipp",8480798,"RW,C,LW",roster,,,26,1999-10-12,CHE,72,190,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8480798.png
"Leddy, Nick",8475181,"LD,RD",roster,,,34,1991-03-20,USA,72,205,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475181.png
"Liljegren, Timothy",8480043,RD,roster,,,26,1999-04-30,SWE,73,192,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8480043.png
"Misa, Michael",8485402,C,roster,,,18,2007-02-16,CAN,73,185,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8485402.png
"Mukhamadullin, Shakir",8482166,"RD,LD",roster,,,23,2002-01-10,RUS,76,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482166.png
"Nedeljkovic, Alex",8477968,G,roster,,,29,1996-01-07,USA,72,208,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8477968.png
"Orlov, Dmitry",8475200,LD,roster,,,34,1991-07-23,RUS,71,214,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475200.png
"Price, Carey",8471679,G,roster,,,38,1987-08-16,CAN,75,217,L,,,,,,https://assets.nhle.com/mugs/nhl/20152016/MTL/8471679.png
"Reaves, Ryan",8471817,"RW,C,LW",roster,,,38,1987-01-20,CAN,74,225,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8471817.png
"Skinner, Jeff",8475784,LW,roster,,,33,1992-05-16,CAN,71,197,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475784.png
"Smith, Will",8484227,"RW,LW",roster,,,20,2005-03-17,USA,72,181,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484227.png
