Metric Label,Montreal,Colorado,Players
"ES Expected Goals For",2.82334968912235,3.0273904051968086,""
"ES Actual to Expected Goals For",0.11987870540106646,-1.2614533684827587,""
"ES Expected Goals Against",3.0273904051968086,2.82334968912235,""
"ES Actual to Expected Goals Against",-1.2614533684827587,0.11987870540106646,""
"PP Expected Goals For",8.53454814442747,8.076394212219492,""
"PP Actual to Expected Goals For",-8.53454814442747,6.009949859777349,""
"SH Expected Goals Against",8.076394212219492,8.53454814442747,""
"SH Actual to Expected Goals Against",6.009949859777349,-8.53454814442747,""
"ES Shot Attempts For",54.155402459230864,66.5169617162292,""
"ES Shot Attempts Against",66.5169617162292,54.155402459230864,""
"ES% Shot Attempts On Net",0.5,0.45132743362831856,""
"ES Screened Shots On Net",2.3545827156187333,7.063748146856199,""
"ES% of Shots On Net That Are Screened",0.08695652173913043,0.23529411764705882,""
"ES% Face-Offs Won Resulting in Shot On Net",0.2,0.2222222222222222,""
"ES Goals Scored",2.9432283945234166,1.76593703671405,""
"ES Shot Attempts From Slot For",22.368535798377966,35.90738641318568,""
"ES Passes to the Slot For",15.304787651521766,24.134472835092012,""
"ES Shot Attempts From Slot Off the Cycle",8.241039504665567,12.950204935903031,""
"ES Shot Attempts From Slot Off the Rush",9.418330862474933,14.127496293712397,""
"ES Odd Man Rushes",6.4751024679515155,10.006976541379617,""
"ES Shot Attempts From Slot Off the Forecheck",2.3545827156187333,1.1772913578093664,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",2.9432283945234166,0.5886456789046832,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.06666666666666667,0.3333333333333333,""
"ES Shot Attempts From Slot Against",35.90738641318568,22.368535798377966,""
"ES Shots On Net From Slot Against",14.71614197261708,12.950204935903033,""
"ES% of Opposition Shot Attempts Blocked",0.24778761061946902,0.2717391304347826,""
"ES Shot Attempts From Slot Off the Cycle Against",12.950204935903031,8.241039504665567,""
"ES Shot Attempts From Slot Off the Rush Against",14.127496293712397,9.418330862474933,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.1772913578093664,2.3545827156187333,""
"ES Odd Man Rushes Against",10.006976541379617,6.4751024679515155,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2222222222222222,0.2,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.3333333333333333,0.06666666666666667,""
"ES OZ Possession Time",340.8258480858114,429.2011860120355,""
"ES OZ Face-Offs Win%",0.5172413793103449,0.3333333333333333,""
"ES OZ Dump-In Recoveries",14.716141972617082,11.772913578093664,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6388888888888888,0.6785714285714286,""
"ES Controlled Entry Success%",0.4861111111111111,0.5609756097560976,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.1872146118721461,0.18018018018018017,""
"ES OZ Shot Attempts Recovered",14.1274962937124,14.127496293712397,""
"ES OZ Contested Loose Puck Recovery Win%",0.28205128205128205,0.2638888888888889,""
"ES Opposition OZ Possession Time",429.2011860120355,340.8258480858114,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6428571428571429,0.65,""
"ES Team Entry Denial Success%",0.4235294117647059,0.5068493150684932,""
"ES DZ Contested Loose Puck Recovery Win%",0.20833333333333334,0.234375,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4246575342465753,0.4189189189189189,""
"ES Breakout Success% (Reaches NZ)",0.6173913043478261,0.6339285714285714,""
"ES Zone Exit Success% (Reaches NZ)",0.8198198198198198,0.8127853881278538,""
"ES Successful Stretch Passes",12.36155925699835,18.24801604604518,""
"Goalie ES Save%",0.9411764705882353,0.8913043478260869,""
"Goalie ES Inner Slot Save%",1,0.7777777777777778,""
"Goalie ES No Rebound%",0.2916666666666667,0.34146341463414637,""
"Goalie SH Save%",0.3333333333333333,1,""
"Goalie SH Inner Slot Save%",0,1,""
"PP Controlled Entry Success%",0.8461538461538461,0.7647058823529411,""
"PP% OZ Zone Time",0.6749447481679653,0.5864745011086486,""
"PP Passes to Slot",0.6281260904966859,1.1738620059997367,""
"PP Shots On Net From Slot For",0.6281260904966859,0.46954480239989466,""
"PP Goals Scored",0,0.46954480239989466,""
"PP True Shooting % (Goals/Shot Attempts)",0,0.18181818181818182,""
"PP OZ Face-Offs Win%",0.7777777777777778,0.6666666666666666,""
"PP% Face-Offs Won Resulting in Shot On Net",0.14285714285714285,0,""
"SH Shot Attempts From Slot Against",1.8781792095995786,0.8375014539955812,""
"SH Inner Slot Shots On Net Against",0.23477240119994733,0.2093753634988953,""
"SH Goals Against",0.46954480239989466,0,""
"SH Passes to the Slot Against",1.1738620059997367,0.6281260904966859,""
"SH% of Opposition Shot Attempts Blocked",0.5454545454545454,0.2727272727272727,""
"SH DZ Entry Denial Success%",0.23529411764705882,0.15384615384615385,""
"SH% DZ Zone Time",0.5864745011086496,0.672437194904155,""
"SH DZ Face-Offs Win%",0.3333333333333333,0.2222222222222222,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0,0.5,""
"Shootout Goals",3,2,""
"Shootout Success %",0.42857142857142855,0.3333333333333333,""
