gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20490,0,1,0,0,,,,,,,,22577,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20490,1,1,0,0,,None,,false,false,false,false,22577,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, righthandedopponent",none,none,none,0.30500793,0.25,0.30500793,0.25,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",21,C,Brayden,Point,8478010,nz,northCenterNZ,,
20490,2,1,0,0,,None,,false,false,false,false,22577,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.30500793,0.25,-0.30500793,-0.25,0,evenStrength,5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596",5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southCenterNZ,,
20490,3,1,0.033333333333333,0.033333333333333,0,"Tampa Bay Lightning",0,true,false,false,false,22578,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-0.7008743,-0.25294113,-0.7008743,-0.25294113,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",21,C,Brayden,Point,8478010,nz,southCenterNZ,,
20490,4,1,0.066666666666667,0.066666666666667,0,"Tampa Bay Lightning",1,true,false,false,false,22579,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,-1.2038116,0.25,-1.2038116,0.25,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",21,C,Brayden,Point,8478010,nz,southCenterNZ,,
20490,5,1,0.23333333333333,0.23333333333333,0,"Tampa Bay Lightning",2,true,false,false,false,22584,00:00:00:07,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-20.81852,-13.832354,-20.81852,-13.832354,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",77,D,Victor,Hedman,8475167,nz,southCenterNZ,,
20490,6,1,3.4333333333333,3.4333333333333,0,"Tampa Bay Lightning",3,true,false,false,true,22680,00:00:03:13,"DZONE STRETCH-",pass,dz,stretch,failed,westside,none,none,none,-43.450874,-25.4,-43.450874,-25.4,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",77,D,Victor,Hedman,8475167,dz,eastPointDZ,,
20490,7,1,4.1,4.1,1,"Tampa Bay Lightning",0,true,false,false,true,22700,00:00:04:03,"MISS PASS",reception,nz,regular,failed,,none,none,none,2.3167725,-35.458824,2.3167725,-35.458824,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",38,LW,Brandon,Hagel,8479542,nz,northWestBoardsNZ,,
20490,8,1,5.4,5.4,2,"Tampa Bay Lightning",0,true,false,false,false,22739,00:00:05:12,"OFF LPR DZ",lpr,dz,none,successful,alongboards,pass,stretch,failed,-11.765579,-38.47647,-11.765579,-38.47647,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",38,LW,Brandon,Hagel,8479542,nz,southWestBoardsNZ,,
20490,9,1,6.5333333333333,6.5333333333333,2,"Tampa Bay Lightning",1,true,false,false,true,22773,00:00:06:16,"NZPASS north-",pass,nz,north,failed,westside,none,none,none,-6.736168,-39.985294,-6.736168,-39.985294,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",38,LW,Brandon,Hagel,8479542,nz,southWestBoardsNZ,,
20490,10,1,6.9,6.9,2,"Tampa Bay Lightning",2,false,false,false,false,22784,00:00:06:27,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,11.369713,-40.991177,11.369713,-40.991177,0,evenStrength,5,"	8476453, 8478010, 8479542","	8475167, 8480246","	8476883",5,"	8476981, 8480018, 8481540","	8476441, 8482087","	8474596","Tampa Bay Lightning",38,LW,Brandon,Hagel,8479542,nz,northWestBoardsNZ,,
