gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20803,0,1,0,0,,,,,,,,15454,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20803,1,1,0,0,,None,,false,false,false,false,15454,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,0.25,0.19792938,-0.25,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northCenterNZ,,
20803,2,1,0,0,,None,,false,false,false,false,15454,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,-0.19792938,0.25,-0.19792938,0.25,0,evenStrength,5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341",5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596","Ottawa Senators",18,LW,Tim,Stützle,8482116,nz,southCenterNZ,,
20803,3,1,0.066666666666667,0.066666666666667,0,"Montreal Canadiens",0,true,false,false,false,15456,00:00:00:02,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.80005646,-0.2459755,-0.80005646,0.2459755,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southCenterNZ,,
20803,4,1,0.23333333333333,0.23333333333333,0,"Montreal Canadiens",1,true,false,false,false,15461,00:00:00:07,"NZPASS south+",pass,nz,south,successful,westeast,none,none,none,0.80005646,1.2628479,-0.80005646,-1.2628479,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southCenterNZ,,
20803,5,1,0.66666666666667,0.66666666666667,0,"Montreal Canadiens",2,true,false,false,false,15474,00:00:00:20,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,17.900055,-18.351856,-17.900055,18.351856,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",58,D,David,Savard,8475233,nz,southCenterNZ,,
20803,6,1,3,3,0,"Montreal Canadiens",3,true,false,false,false,15544,00:00:03:00,"NZPASS north+",pass,nz,north,successful,eastside,none,none,none,14.379471,-38.972443,-14.379471,38.972443,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",58,D,David,Savard,8475233,nz,southEastBoardsNZ,,
20803,7,1,3.0333333333333,3.0333333333333,0,"Montreal Canadiens",4,false,true,false,false,15545,00:00:03:01,"BLOCK OPPOSITION PASS-",block,nz,pass,failed,,none,none,none,-6.233223,-35.961765,-6.233223,-35.961765,0,evenStrength,5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341",5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596","Ottawa Senators",7,LW,Brady,Tkachuk,8480801,nz,southWestBoardsNZ,,
20803,8,1,3.3,3.3,0,"Montreal Canadiens",5,true,false,false,false,15553,00:00:03:09,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-8.252884,-37.96656,8.252884,37.96656,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",17,RW,Josh,Anderson,8476981,nz,northEastBoardsNZ,,
20803,9,1,3.4,3.4,0,"Montreal Canadiens",6,true,false,false,false,15556,00:00:03:12,"NZPASS north+",pass,nz,north,successful,eastside,none,none,none,-10.767586,-40.481266,10.767586,40.481266,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",17,RW,Josh,Anderson,8476981,nz,northEastBoardsNZ,,
20803,10,1,3.7666666666667,3.7666666666667,0,"Montreal Canadiens",7,true,false,false,false,15567,00:00:03:23,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-21.329353,-31.931267,21.329353,31.931267,0,evenStrength,5,"	8476981, 8479514, 8480018","	8475233, 8482964","	8474596",5,"	8478472, 8480801, 8482116","	8474612, 8482105","	8476341","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northEastBoardsNZ,,
