gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20153,0,1,0,0,,,,,,,,12017,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20153,1,1,0,0,,None,,false,false,false,false,12017,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,0.8079529,1.7588234,-0.8079529,-1.7588234,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southCenterNZ,,
20153,2,1,0,0,,None,,false,false,false,false,12017,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.8079529,1.7588234,0.8079529,1.7588234,0,evenStrength,5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971",5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596","Arizona Coyotes",17,C,Nick,Bjugstad,8475760,nz,northCenterNZ,,
20153,3,1,0.24,0.24,0,"Montreal Canadiens",0,true,false,false,false,12023,00:00:00:06,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-0.19792938,-0.75588226,0.19792938,0.75588226,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northCenterNZ,,
20153,4,1,0.28,0.28,0,"Montreal Canadiens",1,true,false,false,false,12024,00:00:00:07,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,-0.19792938,-0.75588226,0.19792938,0.75588226,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northCenterNZ,,
20153,5,1,1.88,1.88,0,"Montreal Canadiens",2,true,false,false,false,12064,00:00:01:22,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,28.972656,3.770588,-28.972656,-3.770588,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",8,D,Mike,Matheson,8476875,dz,centerPointDZ,,
20153,6,1,3.88,3.88,0,"Montreal Canadiens",3,true,false,false,false,12114,00:00:03:22,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastside,none,none,none,51.60501,-2.7676468,-51.60501,2.7676468,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",8,D,Mike,Matheson,8476875,dz,centerPointDZ,,
20153,7,1,4.4,4.4,0,"Montreal Canadiens",4,true,false,false,false,12127,00:00:04:10,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,43.557953,-34.45294,-43.557953,34.45294,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",26,D,Johnathan,Kovacevic,8480192,dz,westPointDZ,,
20153,8,1,5.52,5.52,0,"Montreal Canadiens",5,true,false,false,false,12155,00:00:05:13,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastwest,none,none,none,30.98442,-34.955883,-30.98442,34.955883,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",26,D,Johnathan,Kovacevic,8480192,dz,westPointDZ,,
20153,9,1,6.52,6.52,0,"Montreal Canadiens",6,true,false,false,false,12180,00:00:06:13,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,13.884422,35.958824,-13.884422,-35.958824,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southWestBoardsNZ,,
20153,10,1,7.04,7.04,0,"Montreal Canadiens",7,true,false,false,false,12193,00:00:07:01,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,-0.19792938,38.97647,0.19792938,-38.97647,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northWestBoardsNZ,,
20153,11,1,7.6,7.6,0,"Montreal Canadiens",8,true,false,false,false,12207,00:00:07:15,"DUMP IN+",dumpin,nz,dump,successful,"rim, westofdot",none,none,none,-15.789108,38.473526,15.789108,-38.473526,0,evenStrength,5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596",5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northWestBoardsNZ,,
20153,12,1,7.68,7.68,0,"Montreal Canadiens",9,false,false,false,true,12209,00:00:07:17,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,-22.327347,36.46176,-22.327347,36.46176,0,evenStrength,5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971",5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596","Arizona Coyotes",50,D,Sean,Durzi,8480434,nz,southEastBoardsNZ,,
20153,13,1,9.16,9.16,1,"Arizona Coyotes",0,true,false,false,false,12246,00:00:09:04,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,-96.762634,3.2676468,-96.762634,3.2676468,0,evenStrength,5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971",5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596","Arizona Coyotes",39,G,Connor,Ingram,8478971,dz,outsideNorthWestDZ,,
20153,14,1,9.2,9.2,1,"Arizona Coyotes",1,true,false,false,true,12247,00:00:09:05,"DZ OUTLET PASS OFFBOARDS-",pass,dz,outletoffboards,failed,eastwest,none,none,none,-97.26558,0.75294113,-97.26558,0.75294113,0,evenStrength,5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971",5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596","Arizona Coyotes",39,G,Connor,Ingram,8478971,dz,outsideNorthWestDZ,,
20153,15,1,11.08,11.08,1,"Arizona Coyotes",2,false,false,false,false,12294,00:00:11:02,"FAILED PASS TRAJECTORY LOCATION DZ",failedpasslocation,dz,none,failed,,none,none,none,-72.11852,-38.979412,-72.11852,-38.979412,0,evenStrength,5,"	8475760, 8478474, 8481711","	8480434, 8482655","	8478971",5,"	8480018, 8481093, 8481540","	8476875, 8480192","	8474596","Arizona Coyotes",39,G,Connor,Ingram,8478971,dz,outsideNorthEastDZ,,
