gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20164,0,1,0,0,,,,,,,,28621,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20164,1,1,0,0,,None,,false,false,false,false,28621,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, righthandedopponent",none,none,none,0.30500793,-0.25294113,0.30500793,-0.25294113,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",18,C,Robert,Thomas,8480023,nz,northCenterNZ,,
20164,2,1,0,0,,None,,false,false,false,false,28621,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.30500793,-0.25294113,-0.30500793,0.25294113,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southCenterNZ,,
20164,3,1,0.033333333333333,0.033333333333333,0,"St. Louis Blues",0,true,false,false,false,28622,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.30500793,-0.25294113,0.30500793,-0.25294113,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",18,C,Robert,Thomas,8480023,nz,northCenterNZ,,
20164,4,1,0.066666666666667,0.066666666666667,0,"St. Louis Blues",1,true,false,false,false,28623,00:00:00:02,"NZPASS south+",pass,nz,south,successful,westeast,none,none,none,0.30500793,-0.25294113,0.30500793,-0.25294113,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",18,C,Robert,Thomas,8480023,nz,northCenterNZ,,
20164,5,1,1.2333333333333,1.2333333333333,0,"St. Louis Blues",2,true,false,false,false,28658,00:00:01:07,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-12.7714615,11.817646,-12.7714615,11.817646,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",42,RW,Kasperi,Kapanen,8477953,nz,southCenterNZ,,
20164,6,1,1.2666666666667,1.2666666666667,0,"St. Louis Blues",3,true,false,false,false,28659,00:00:01:08,"NZPASS south+",pass,nz,south,successful,eastside,none,none,none,-12.7714615,11.817646,-12.7714615,11.817646,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",42,RW,Kasperi,Kapanen,8477953,nz,southCenterNZ,,
20164,7,1,1.9,1.9,0,"St. Louis Blues",4,true,false,false,false,28678,00:00:01:27,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-14.783226,16.344116,-14.783226,16.344116,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",55,D,Colton,Parayko,8476892,nz,southCenterNZ,,
20164,8,1,3.2,3.2,0,"St. Louis Blues",5,true,false,false,false,28717,00:00:03:06,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,0.30500793,32.941177,0.30500793,32.941177,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",55,D,Colton,Parayko,8476892,nz,northEastBoardsNZ,,
20164,9,1,3.4666666666667,3.4666666666667,0,"St. Louis Blues",6,true,false,false,true,28725,00:00:03:14,"DUMP IN-",dumpin,nz,dump,failed,eastofdot,none,none,none,5.3344193,34.95294,5.3344193,34.95294,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",55,D,Colton,Parayko,8476892,nz,northEastBoardsNZ,,
20164,10,1,3.4666666666667,3.4666666666667,0,"St. Louis Blues",7,false,false,false,false,28725,00:00:03:14,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,27.966766,29.420586,-27.966766,-29.420586,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",21,D,Kaiden,Guhle,8482087,nz,northWestBoardsNZ,,
20164,11,1,4.8666666666667,4.8666666666667,1,"Montreal Canadiens",0,true,false,false,false,28767,00:00:04:26,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,29.475601,35.958824,-29.475601,-35.958824,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",14,C,Nick,Suzuki,8480018,dz,eastPointDZ,,
20164,12,1,6.4333333333333,6.4333333333333,1,"Montreal Canadiens",1,true,false,false,false,28814,00:00:06:13,"DZONE D2D+",pass,dz,d2d,successful,westside,none,none,none,58.14325,36.964706,-58.14325,-36.964706,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",14,C,Nick,Suzuki,8480018,dz,outsideNorthEastDZ,,
20164,13,1,6.9,6.9,1,"Montreal Canadiens",2,true,false,false,false,28828,00:00:06:27,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,71.72266,34.449997,-71.72266,-34.449997,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",21,D,Kaiden,Guhle,8482087,dz,outsideNorthEastDZ,,
20164,14,1,7.6333333333333,7.6333333333333,1,"Montreal Canadiens",3,true,false,false,false,28850,00:00:07:19,"DZONE D2D OFFBOARDS+",pass,dz,d2doffboards,successful,westeast,none,none,none,84.29619,29.420586,-84.29619,-29.420586,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",21,D,Kaiden,Guhle,8482087,dz,outsideNorthEastDZ,,
20164,15,1,8.8,8.8,1,"Montreal Canadiens",4,true,false,false,false,28885,00:00:08:24,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,84.79913,-27.914705,-84.79913,27.914705,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",52,D,Justin,Barron,8482111,dz,outsideNorthWestDZ,,
20164,16,1,9.8333333333333,9.8333333333333,1,"Montreal Canadiens",5,true,false,false,true,28916,00:00:09:25,"FLIP DUMP OUT+",dumpout,dz,flip,successful,,none,none,none,72.2256,-40.991177,-72.2256,40.991177,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",52,D,Justin,Barron,8482111,dz,outsideNorthWestDZ,,
20164,17,1,12.033333333333,12.033333333333,2,"Montreal Canadiens",0,true,false,false,false,28982,00:00:12:01,"DEFENSIVE DUMP LPR",lpr,nz,none,successful,,dumpout,any,successful,15.393242,-14.335295,-15.393242,14.335295,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",20,LW,Juraj,Slafkovsky,8483515,nz,southCenterNZ,,
20164,18,1,12.066666666667,12.066666666667,2,"Montreal Canadiens",1,true,false,false,false,28983,00:00:12:02,"NZPASS north+",pass,nz,north,successful,eastside,none,none,none,15.393242,-14.335295,-15.393242,14.335295,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",20,LW,Juraj,Slafkovsky,8483515,nz,southCenterNZ,,
20164,19,1,12.433333333333,12.433333333333,2,"Montreal Canadiens",2,true,false,false,false,28994,00:00:12:13,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,8.855011,-7.797058,-8.855011,7.797058,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",22,RW,Cole,Caufield,8481540,nz,southCenterNZ,,
20164,20,1,12.9,12.9,2,"Montreal Canadiens",3,true,false,false,false,29008,00:00:12:27,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,-0.7008743,-13.832354,0.7008743,13.832354,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",22,RW,Cole,Caufield,8481540,nz,northCenterNZ,,
20164,21,1,13.966666666667,13.966666666667,2,"Montreal Canadiens",4,false,false,false,false,29040,00:00:13:29,"1on2 CONTROLLED ENTRY AGAINST-",controlledentryagainst,dz,1on2,failed,,none,none,none,-33.39205,-16.85,-33.39205,-16.85,0,evenStrength,5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981",5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470","St. Louis Blues",4,D,Nick,Leddy,8475181,nz,southCenterNZ,,
20164,22,1,14,14,2,"Montreal Canadiens",5,true,false,false,false,29041,00:00:14:00,"CONTROLLED ENTRY INTO OZ",carry,oz,none,successful,"eastofdot, withplayafter, withshotonnet, withshotonnetwhistle, withslotshot, whistlebeforeexit",none,none,none,-25.344994,-24.394117,25.344994,24.394117,0,evenStrength,5,"	8480018, 8481540, 8483515","	8482087, 8482111","	8478470",5,"	8477402, 8477953, 8480023","	8475181, 8476892","	8480981","Montreal Canadiens",22,RW,Cole,Caufield,8481540,oz,eastPoint,,
