gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20376,0,1,0,0,,,,,,,,38218,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20376,1,1,0,0,,None,,false,false,false,false,38218,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, lefthandedopponent",none,none,none,0.30500793,0.25,-0.30500793,-0.25,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,southCenterNZ,,
20376,2,1,0,0,,None,,false,false,false,false,38218,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.30500793,0.25,0.30500793,0.25,0,evenStrength,5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831",5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470","Seattle Kraken",37,C,Yanni,Gourde,8476826,nz,northCenterNZ,,
20376,3,1,0.016666666666667,0.016666666666667,0,"Montreal Canadiens",0,true,false,false,false,38219,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.8079529,1.2558823,-0.8079529,-1.2558823,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,southCenterNZ,,
20376,4,1,0.033333333333333,0.033333333333333,0,"Montreal Canadiens",1,true,false,false,false,38220,00:00:00:02,"NZPASS south+",pass,nz,south,successful,westeast,none,none,none,0.8079529,1.2558823,-0.8079529,-1.2558823,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,southCenterNZ,,
20376,5,1,0.21666666666667,0.21666666666667,0,"Montreal Canadiens",2,true,false,false,false,38231,00:00:00:13,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,21.428535,-16.34706,-21.428535,16.34706,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",52,D,Justin,Barron,8482111,nz,southCenterNZ,,
20376,6,1,2.3166666666667,2.3166666666667,0,"Montreal Canadiens",3,true,false,false,false,38357,00:00:02:19,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastwest,none,none,none,42.552063,-13.329412,-42.552063,13.329412,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",52,D,Justin,Barron,8482111,dz,centerPointDZ,,
20376,7,1,2.7,2.7,0,"Montreal Canadiens",4,true,false,false,false,38380,00:00:02:42,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,21.93148,2.2617645,-21.93148,-2.2617645,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",91,C,Sean,Monahan,8477497,nz,southCenterNZ,,
20376,8,1,3.8666666666667,3.8666666666667,0,"Montreal Canadiens",5,true,false,false,true,38450,00:00:03:52,"NZPASS north-",pass,nz,north,failed,eastside,none,none,none,21.428535,-16.85,-21.428535,16.85,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",91,C,Sean,Monahan,8477497,nz,southCenterNZ,,
20376,9,1,4.05,4.05,0,"Montreal Canadiens",6,false,false,false,false,38461,00:00:04:03,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,-12.7714615,-36.464706,12.7714615,36.464706,0,evenStrength,5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470",5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831","Montreal Canadiens",91,C,Sean,Monahan,8477497,nz,northEastBoardsNZ,,
20376,10,1,4.0833333333333,4.0833333333333,0,"Montreal Canadiens",7,false,true,true,false,38463,00:00:04:05,"BLOCK OPPOSITION PASS+",block,nz,pass,successful,,none,none,none,10.357719,-25.4,10.357719,-25.4,0,evenStrength,5,"	8476826, 8477416, 8480009","	8476457, 8478407","	8475831",5,"	8476981, 8477497, 8478133","	8482087, 8482111","	8478470","Seattle Kraken",37,C,Yanni,Gourde,8476826,nz,northWestBoardsNZ,,
