gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20748,0,1,0,0,,,,,,,,19658,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20748,1,1,0,0,,None,,false,false,false,false,19658,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, righthandedopponent",none,none,none,0.30500793,0.75294113,0.30500793,0.75294113,0,evenStrength,5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575",5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470","New York Islanders",14,C,Bo,Horvat,8477500,nz,northCenterNZ,,
20748,2,1,0,0,,None,,false,false,false,false,19658,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,0.30500793,0.75294113,-0.30500793,-0.75294113,0,evenStrength,5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470",5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,southCenterNZ,,
20748,3,1,0.016666666666667,0.016666666666667,0,"New York Islanders",0,true,false,false,false,19659,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-0.19792938,0.25,-0.19792938,0.25,0,evenStrength,5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575",5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470","New York Islanders",14,C,Bo,Horvat,8477500,nz,southCenterNZ,,
20748,4,1,0.033333333333333,0.033333333333333,0,"New York Islanders",1,true,false,false,false,19660,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,-0.7008743,0.25,-0.7008743,0.25,0,evenStrength,5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575",5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470","New York Islanders",14,C,Bo,Horvat,8477500,nz,southCenterNZ,,
20748,5,1,0.05,0.05,0,"New York Islanders",2,true,false,false,false,19661,00:00:00:03,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-19.3097,-19.867647,-19.3097,-19.867647,0,evenStrength,5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575",5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470","New York Islanders",28,D,Alexander,Romanov,8481014,nz,southCenterNZ,,
20748,6,1,1.4,1.4,0,"New York Islanders",3,false,false,false,false,19742,00:00:01:24,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,-1.7067566,-34.45294,1.7067566,34.45294,0,evenStrength,5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470",5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575","Montreal Canadiens",17,RW,Josh,Anderson,8476981,nz,northCenterNZ,,
20748,7,1,1.5,1.5,0,"New York Islanders",4,true,false,false,true,19748,00:00:01:30,"DUMP IN-",dumpin,nz,dump,failed,westofdot,none,none,none,-6.736168,-35.458824,-6.736168,-35.458824,0,evenStrength,5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575",5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470","New York Islanders",28,D,Alexander,Romanov,8481014,nz,southWestBoardsNZ,,
20748,8,1,2.1833333333333,2.1833333333333,1,"Montreal Canadiens",0,true,false,false,false,19789,00:00:02:11,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,27.966766,-37.47059,-27.966766,37.47059,0,evenStrength,5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470",5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575","Montreal Canadiens",21,D,Kaiden,Guhle,8482087,dz,westPointDZ,,
20748,9,1,3.8666666666667,3.8666666666667,1,"Montreal Canadiens",1,true,false,false,true,19890,00:00:03:52,"DZONE D2D OFFBOARDS-",pass,dz,d2doffboards,failed,eastwest,none,none,none,53.616776,-38.47647,-53.616776,38.47647,0,evenStrength,5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470",5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575","Montreal Canadiens",21,D,Kaiden,Guhle,8482087,dz,westPointDZ,,
20748,10,1,4.9666666666667,4.9666666666667,1,"Montreal Canadiens",2,false,false,false,false,19956,00:00:04:58,"FAILED PASS TRAJECTORY LOCATION DZ",failedpasslocation,dz,none,failed,,none,none,none,80.27266,15.841175,-80.27266,-15.841175,0,evenStrength,5,"	8476981, 8480018, 8481540","	8476875, 8482087","	8478470",5,"	8475314, 8477500, 8478445","	8480865, 8481014","	8473575","Montreal Canadiens",21,D,Kaiden,Guhle,8482087,dz,outsideNorthEastDZ,,
