gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20840,0,1,0,0,,,,,,,,560,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20840,1,1,0,0,,None,,false,false,false,false,560,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, righthandedopponent",none,none,none,0.30500793,0.25,-0.30500793,-0.25,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",93,C,Mika,Zibanejad,8476459,nz,southCenterNZ,,
20840,2,1,0,0,,None,,false,false,false,false,560,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.30500793,0.25,0.30500793,0.25,0,evenStrength,5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470",5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northCenterNZ,,
20840,3,1,0.033333333333333,0.033333333333333,0,"New York Rangers",0,true,false,false,false,561,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.80322266,-1.7617645,-0.80322266,1.7617645,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",93,C,Mika,Zibanejad,8476459,nz,southCenterNZ,,
20840,4,1,0.066666666666667,0.066666666666667,0,"New York Rangers",1,true,false,false,false,562,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastside,none,none,none,0.80322266,-1.7617645,-0.80322266,1.7617645,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",93,C,Mika,Zibanejad,8476459,nz,southCenterNZ,,
20840,5,1,0.93333333333333,0.93333333333333,0,"New York Rangers",2,true,false,false,false,588,00:00:00:28,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,22.932632,-8.299999,-22.932632,8.299999,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",8,D,Jacob,Trouba,8476885,nz,southCenterNZ,,
20840,6,1,2.1333333333333,2.1333333333333,0,"New York Rangers",3,true,false,false,true,624,00:00:02:04,"DZONE STRETCH-",pass,dz,stretch,failed,eastside,none,none,none,37.51793,-17.855883,-37.51793,17.855883,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",8,D,Jacob,Trouba,8476885,dz,westPointDZ,,
20840,7,1,2.3,2.3,0,"New York Rangers",4,false,true,true,false,629,00:00:02:09,"BLOCK OPPOSITION PASS+",block,oz,pass,successful,,none,none,none,30.481476,-15.844118,30.481476,-15.844118,0,evenStrength,5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470",5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734","Montreal Canadiens",22,RW,Cole,Caufield,8481540,oz,westPoint,,
20840,8,1,2.5666666666667,2.5666666666667,0,"New York Rangers",5,false,false,false,false,637,00:00:02:17,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,-9.758545,-18.861765,9.758545,18.861765,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",8,D,Jacob,Trouba,8476885,nz,northCenterNZ,,
20840,9,1,4.7333333333333,4.7333333333333,1,"New York Rangers",0,true,false,false,false,702,00:00:04:22,"CONT OFF LPR DZ",lpr,dz,contested,successful,,pass,stretch,failed,18.909103,-32.441177,-18.909103,32.441177,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",8,D,Jacob,Trouba,8476885,nz,southEastBoardsNZ,,
20840,10,1,4.7666666666667,4.7666666666667,1,"New York Rangers",1,true,false,false,true,703,00:00:04:23,"NZPASS north OFFBOARDS-",pass,nz,northoffboards,failed,eastside,none,none,none,18.909103,-32.441177,-18.909103,32.441177,0,evenStrength,5,"	8471218, 8475184, 8476459","	8476885, 8480817","	8471734",5,"	8480018, 8481540, 8483515","	8475233, 8476875","	8478470","New York Rangers",8,D,Jacob,Trouba,8476885,nz,southEastBoardsNZ,,
