gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20903,0,1,0,0,,,,,,,,14888,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20903,1,1,0,0,,None,,false,false,false,false,14888,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,-0.25292206,0.25001144,-0.25292206,0.25001144,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",13,C,Nico,Hischier,8480002,nz,southCenterNZ,,
20903,2,1,0,0,,None,,false,false,false,false,14888,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.25292206,0.25001144,0.25292206,-0.25001144,0,evenStrength,5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596",5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076","Montreal Canadiens",14,C,Nick,Suzuki,8480018,nz,northCenterNZ,,
20903,3,1,0.55,0.55,0,"New Jersey Devils",0,true,false,false,false,14921,00:00:00:33,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-4.2261887,2.7647057,-4.2261887,2.7647057,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",13,C,Nico,Hischier,8480002,nz,southCenterNZ,,
20903,4,1,0.56666666666667,0.56666666666667,0,"New Jersey Devils",1,true,false,false,false,14922,00:00:00:34,"NZPASS south+",pass,nz,south,successful,eastside,none,none,none,-4.2261887,2.7647057,-4.2261887,2.7647057,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",13,C,Nico,Hischier,8480002,nz,southCenterNZ,,
20903,5,1,1.4,1.4,0,"New Jersey Devils",2,true,false,false,false,14972,00:00:01:24,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-31.38501,17.85294,-31.38501,17.85294,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",6,D,John,Marino,8478507,dz,westPointDZ,,
20903,6,1,3.45,3.45,0,"New Jersey Devils",3,true,false,false,false,15095,00:00:03:27,"DZONE STRETCH OFFBOARDS+",pass,dz,stretchoffboards,successful,eastside,none,none,none,-38.92913,36.964706,-38.92913,36.964706,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",6,D,John,Marino,8478507,dz,westPointDZ,,
20903,7,1,4.15,4.15,0,"New Jersey Devils",4,true,false,false,false,15137,00:00:04:09,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,4.323807,36.964706,4.323807,36.964706,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",91,C,Dawson,Mercer,8482110,nz,northEastBoardsNZ,,
20903,8,1,4.1666666666667,4.1666666666667,0,"New Jersey Devils",5,true,false,false,true,15138,00:00:04:10,"CHIP DUMP+",dumpin,nz,chip,successful,"crossice, eastofdot",none,none,none,4.323807,36.964706,4.323807,36.964706,0,evenStrength,5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076",5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596","New Jersey Devils",91,C,Dawson,Mercer,8482110,nz,northEastBoardsNZ,,
20903,9,1,6.7166666666667,6.7166666666667,1,"Montreal Canadiens",0,true,false,false,false,15291,00:00:06:43,"DUMP IN LPR+",lpr,dz,opdump,successful,,none,none,none,81.78148,12.320587,-81.78148,-12.320587,0,evenStrength,5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596",5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076","Montreal Canadiens",14,C,Nick,Suzuki,8480018,dz,outsideNorthEastDZ,,
20903,10,1,8.2833333333333,8.2833333333333,1,"Montreal Canadiens",1,true,false,false,true,15385,00:00:08:17,"DZ OUTLET PASS OFFBOARDS-",pass,dz,outletoffboards,failed,westside,none,none,none,96.86972,1.2558823,-96.86972,-1.2558823,0,evenStrength,5,"	8480018, 8481540, 8483515","	8475233, 8482964","	8474596",5,"	8476292, 8480002, 8482110","	8478399, 8478507","	8482076","Montreal Canadiens",14,C,Nick,Suzuki,8480018,dz,outsideNorthEastDZ,,
