gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
21033,0,1,0,0,,,,,,,,18253,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21033,1,1,0,0,,None,,false,false,false,false,18253,00:00:00:00,"NZ FACE OFF",faceoff,nz,none,undetermined,,none,none,none,-0.19707489,1.2628479,0.19707489,-1.2628479,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,northCenterNZ,,
21033,2,1,0,0,,None,,false,false,false,false,18253,00:00:00:00,"NZ FACE OFF",faceoff,nz,none,undetermined,,none,none,none,-0.19707489,1.2628479,-0.19707489,1.2628479,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,nz,southCenterNZ,,
21033,3,1,1.8,1.8,,,,,,,,18307,00:00:01:24,Whistle,whistle,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21033,4,1,1.8,1.8,,,,,,,,18798,00:00:18:05,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21033,5,1,1.8,1.8,,None,,false,false,false,false,18798,00:00:18:05,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, righthandedopponent",none,none,none,-0.19707489,-1.2518578,-0.19707489,-1.2518578,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,nz,southCenterNZ,,
21033,6,1,1.8,1.8,,None,,false,false,false,false,18798,00:00:18:05,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.19707489,-1.2518578,0.19707489,1.2518578,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,northCenterNZ,,
21033,7,1,1.8333333333333,1.8333333333333,0,"Columbus Blue Jackets",0,true,false,false,false,18799,00:00:18:06,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-0.19792938,0.75294113,-0.19792938,0.75294113,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,nz,southCenterNZ,,
21033,8,1,1.8666666666667,1.8666666666667,0,"Columbus Blue Jackets",1,true,false,false,false,18800,00:00:18:07,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,-0.19792938,0.75294113,-0.19792938,0.75294113,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,nz,southCenterNZ,,
21033,9,1,1.9,1.9,0,"Columbus Blue Jackets",2,true,false,false,false,18801,00:00:18:08,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-27.356758,-18.861765,-27.356758,-18.861765,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",8,D,Zach,Werenski,8478460,dz,eastPointDZ,,
21033,10,1,2.8333333333333,2.8333333333333,0,"Columbus Blue Jackets",3,true,false,false,true,18829,00:00:19:06,"DZONE STRETCH-",pass,dz,stretch,failed,westside,none,none,none,-35.906754,-28.920588,-35.906754,-28.920588,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",8,D,Zach,Werenski,8478460,dz,eastPointDZ,,
21033,11,1,2.8666666666667,2.8666666666667,0,"Columbus Blue Jackets",4,false,false,false,false,18830,00:00:19:07,ICING,icing,dz,none,failed,,none,none,none,-35.906754,-28.920588,-35.906754,-28.920588,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",8,D,Zach,Werenski,8478460,dz,eastPointDZ,,
21033,12,1,3.1666666666667,3.1666666666667,0,"Columbus Blue Jackets",5,false,false,false,false,18839,00:00:19:16,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,8.352066,-29.42353,8.352066,-29.42353,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",8,D,Zach,Werenski,8478460,nz,northWestBoardsNZ,,
21033,13,1,6.1666666666667,6.1666666666667,,,,,,,,18929,00:00:22:16,Whistle,whistle,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21033,14,1,6.1666666666667,6.1666666666667,,,,,,,,19622,00:00:45:19,Face-Off,faceoff,,hoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21033,15,1,6.1666666666667,6.1666666666667,,None,,false,false,false,false,19622,00:00:45:19,"DZ REC FACE OFF+EXIT",faceoff,dz,recoveredwithexit,successful,"strongside, eastfodot, righthandedopponent",none,none,none,-68.59707,-21.872444,-68.59707,-21.872444,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,dz,eastOuterSlotDZ,,
21033,16,1,6.1666666666667,6.1666666666667,,None,,false,false,false,false,19622,00:00:45:19,"OZ FACE OFF-",faceoff,oz,none,failed,"strongside, eastfodot, lefthandedopponent",none,none,none,-68.59707,-21.872444,68.59707,21.872444,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",71,C,Jake,Evans,8478133,oz,eastOuterSlot,,
21033,17,1,6.2,6.2,1,"Columbus Blue Jackets",0,true,false,false,false,19623,00:00:45:20,"F/OFF LPR+ DZ",lpr,dz,faceoff,successful,,none,none,none,-68.094986,-21.879412,-68.094986,-21.879412,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,dz,eastOuterSlotDZ,,
21033,18,1,6.2333333333333,6.2333333333333,1,"Columbus Blue Jackets",1,true,false,false,false,19624,00:00:45:21,"DZONE D2D+",pass,dz,d2d,successful,westside,none,none,none,-68.094986,-21.879412,-68.094986,-21.879412,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",4,C,Cole,Sillinger,8482705,dz,eastOuterSlotDZ,,
21033,19,1,6.2666666666667,6.2666666666667,1,"Columbus Blue Jackets",2,true,false,false,false,19625,00:00:45:22,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-69.100876,-29.926472,-69.100876,-29.926472,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",8,D,Zach,Werenski,8478460,dz,outsideNorthEastDZ,,
21033,20,1,6.3,6.3,1,"Columbus Blue Jackets",3,true,false,false,false,19626,00:00:45:23,"DZONE D2D OFFBOARDS+",pass,dz,d2doffboards,successful,westeast,none,none,none,-69.100876,-29.926472,-69.100876,-29.926472,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",8,D,Zach,Werenski,8478460,dz,outsideNorthEastDZ,,
21033,21,1,7.6666666666667,7.6666666666667,1,"Columbus Blue Jackets",4,true,false,false,false,19667,00:00:47:04,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-91.230286,2.7647057,-91.230286,2.7647057,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",27,D,Adam,Boqvist,8480871,dz,outsideNorthWestDZ,,
21033,22,1,8.4,8.4,1,"Columbus Blue Jackets",5,true,false,false,false,19689,00:00:47:26,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastside,none,none,none,-94.75087,16.847057,-94.75087,16.847057,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",27,D,Adam,Boqvist,8480871,dz,outsideNorthWestDZ,,
21033,23,1,9,9,1,"Columbus Blue Jackets",6,true,false,false,false,19707,00:00:48:14,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-60.04793,28.917648,-60.04793,28.917648,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",92,LW,Alexander,Nylander,8479423,dz,outsideNorthWestDZ,,
21033,24,1,9.0333333333333,9.0333333333333,1,"Columbus Blue Jackets",7,true,false,false,true,19708,00:00:48:15,"OFF GLASS DUMP OUT+",dumpout,dz,boards,successful,,none,none,none,-60.04793,28.917648,-60.04793,28.917648,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",92,LW,Alexander,Nylander,8479423,dz,outsideNorthWestDZ,,
21033,25,1,10.9,10.9,2,"Montreal Canadiens",0,true,false,false,false,19764,00:00:50:11,"OPPOSITION DUMP LPR",lpr,nz,opdump,successful,alongboards,none,none,none,-15.788254,34.959908,15.788254,-34.959908,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,northWestBoardsNZ,,
21033,26,1,10.933333333333,10.933333333333,2,"Montreal Canadiens",1,true,false,false,true,19765,00:00:50:12,"NZPASS north OFFBOARDS-",pass,nz,northoffboards,failed,westside,none,none,none,-15.788254,34.959908,15.788254,-34.959908,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,northWestBoardsNZ,,
21033,27,1,12.2,12.2,3,"Montreal Canadiens",0,true,false,false,true,19803,00:00:51:20,"MISS PASS",reception,nz,regular,failed,,none,none,none,-20.31472,35.462852,20.31472,-35.462852,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",58,D,David,Savard,8475233,nz,northWestBoardsNZ,,
21033,28,1,13.766666666667,13.766666666667,4,"Montreal Canadiens",0,true,false,false,false,19850,00:00:53:07,"OFF LPR NZ",lpr,nz,none,successful,,pass,northoffboards,failed,-25.344131,16.351086,25.344131,-16.351086,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",58,D,David,Savard,8475233,nz,northCenterNZ,,
21033,29,1,13.8,13.8,4,"Montreal Canadiens",1,true,false,false,false,19851,00:00:53:08,"DUMP IN+",dumpin,nz,dump,successful,"straight, midice",none,none,none,-25.344131,16.351086,25.344131,-16.351086,0,evenStrength,5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051",5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007","Montreal Canadiens",58,D,David,Savard,8475233,nz,northCenterNZ,,
21033,30,1,13.833333333333,13.833333333333,4,"Montreal Canadiens",2,false,false,false,true,19852,00:00:53:09,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,-29.87146,14.835293,-29.87146,14.835293,0,evenStrength,5,"	8479423, 8480074, 8482705","	8478460, 8480871","	8478007",5,"	8475848, 8476981, 8478133","	8475233, 8482964","	8480051","Columbus Blue Jackets",27,D,Adam,Boqvist,8480871,nz,southCenterNZ,,
