gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20968,0,1,0,0,,,,,,,,18599,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20968,1,1,0,0,,None,,false,false,false,false,18599,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, lefthandedopponent",none,none,none,0.30500793,-0.25294113,-0.30500793,0.25294113,0,evenStrength,5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470",5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503","Montreal Canadiens",71,C,Jake,Evans,8478133,nz,southCenterNZ,,
20968,2,1,0,0,,None,,false,false,false,false,18599,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.30500793,-0.25294113,0.30500793,-0.25294113,0,evenStrength,5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503",5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470","Buffalo Sabres",20,C,Jiří,Kulich,8483468,nz,northCenterNZ,,
20968,3,1,2.4,2.4,0,"Montreal Canadiens",0,true,false,false,false,18671,00:00:02:12,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,alongboards,none,none,none,11.864761,-37.858276,-11.864761,37.858276,0,evenStrength,5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470",5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503","Montreal Canadiens",45,D,Alexandre,Carrier,8478851,nz,southEastBoardsNZ,,
20968,4,1,3.2333333333333,3.2333333333333,0,"Montreal Canadiens",1,true,false,false,false,18696,00:00:03:07,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,-0.7087631,-39.3671,0.7087631,39.3671,0,evenStrength,5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470",5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503","Montreal Canadiens",45,D,Alexandre,Carrier,8478851,nz,northEastBoardsNZ,,
20968,5,1,3.6,3.6,0,"Montreal Canadiens",2,true,false,false,false,18707,00:00:03:18,"DUMP IN+",dumpin,nz,dump,successful,"rim, eastofdot",none,none,none,-10.264648,-39.87004,10.264648,39.87004,0,evenStrength,5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470",5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503","Montreal Canadiens",45,D,Alexandre,Carrier,8478851,nz,northEastBoardsNZ,,
20968,6,1,3.6,3.6,0,"Montreal Canadiens",3,false,false,false,true,18707,00:00:03:18,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,-12.7714615,-36.464706,-12.7714615,-36.464706,0,evenStrength,5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503",5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470","Buffalo Sabres",77,RW,John,Peterka,8482175,nz,northWestBoardsNZ,,
20968,7,1,9,9,1,"Buffalo Sabres",0,true,false,false,false,18869,00:00:09:00,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,-93.24205,26.402939,-93.24205,26.402939,0,evenStrength,5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503",5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470","Buffalo Sabres",26,D,Rasmus,Dahlin,8480839,dz,outsideNorthWestDZ,,
20968,8,1,10.333333333333,10.333333333333,1,"Buffalo Sabres",1,true,false,false,false,18909,00:00:10:10,"DZONE D2D OFFBOARDS+",pass,dz,d2doffboards,successful,eastwest,none,none,none,-96.2597,18.858822,-96.2597,18.858822,0,evenStrength,5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503",5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470","Buffalo Sabres",26,D,Rasmus,Dahlin,8480839,dz,outsideNorthWestDZ,,
20968,9,1,11.366666666667,11.366666666667,1,"Buffalo Sabres",2,true,false,false,false,18940,00:00:11:11,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-96.762634,-10.311764,-96.762634,-10.311764,0,evenStrength,5,"	8479420, 8482175, 8483468","	8480839, 8481524","	8473503",5,"	8476469, 8478133, 8482476","	8476875, 8478851","	8478470","Buffalo Sabres",4,D,Bowen,Byram,8481524,dz,outsideNorthEastDZ,,
