gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20459,0,1,0,0,,,,,,,,14684,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20459,1,1,0,0,,None,,false,false,false,false,14684,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,0.8079529,0.25,-0.8079529,-0.25,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",34,C,Auston,Matthews,8479318,nz,southCenterNZ,,
20459,2,1,0,0,,None,,false,false,false,false,14684,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,0.8079529,0.25,0.8079529,0.25,0,evenStrength,5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843",5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932","Anaheim Ducks",16,C,Ryan,Strome,8476458,nz,northCenterNZ,,
20459,3,1,0.13333333333333,0.13333333333333,0,"Toronto Maple Leafs",0,true,false,false,false,14688,00:00:00:04,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.8079529,0.25,-0.8079529,-0.25,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",34,C,Auston,Matthews,8479318,nz,southCenterNZ,,
20459,4,1,0.16666666666667,0.16666666666667,0,"Toronto Maple Leafs",1,true,false,false,false,14689,00:00:00:05,"NZPASS south+",pass,nz,south,successful,westside,none,none,none,0.8079529,0.25,-0.8079529,-0.25,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",34,C,Auston,Matthews,8479318,nz,southCenterNZ,,
20459,5,1,1.0666666666667,1.0666666666667,0,"Toronto Maple Leafs",2,true,false,false,false,14716,00:00:01:02,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,12.375595,20.87059,-12.375595,-20.87059,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",22,D,Jake,McCabe,8476931,nz,southCenterNZ,,
20459,6,1,2.3,2.3,0,"Toronto Maple Leafs",3,false,false,false,false,14753,00:00:02:09,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,-9.258766,26.91285,-9.258766,26.91285,0,evenStrength,5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843",5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932","Anaheim Ducks",7,D,Radko,Gudas,8475462,nz,northCenterNZ,,
20459,7,1,2.3333333333333,2.3333333333333,0,"Toronto Maple Leafs",4,true,false,false,false,14754,00:00:02:10,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,0.30500793,39.982353,-0.30500793,-39.982353,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",22,D,Jake,McCabe,8476931,nz,northWestBoardsNZ,,
20459,8,1,2.4,2.4,0,"Toronto Maple Leafs",5,true,false,false,true,14756,00:00:02:12,"DUMP IN+",dumpin,nz,dump,successful,"rim, westofdot",none,none,none,-3.2155762,40.48529,3.2155762,-40.48529,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",22,D,Jake,McCabe,8476931,nz,northWestBoardsNZ,,
20459,9,1,5.7666666666667,5.7666666666667,1,"Toronto Maple Leafs",0,true,false,false,false,14857,00:00:05:23,"DI LPR OZ",lpr,oz,none,successful,alongboards,dumpin,dump,successful,-38.924404,-37.47059,38.924404,37.47059,0,evenStrength,5,"	8478483, 8479318, 8482720","	8475690, 8476931","	8476932",5,"	8476458, 8478366, 8478873","	8475462, 8481605","	8480843","Toronto Maple Leafs",16,RW,Mitchell,Marner,8478483,oz,eastPoint,,
