gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
21053,0,1,0,0,,,,,,,,14239,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21053,1,1,0,0,,None,,false,false,false,false,14239,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, lefthandedopponent",none,none,none,0.30500793,-1.2588234,-0.30500793,1.2588234,0,evenStrength,5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424",5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843","Nashville Predators",47,C,Michael,McCarron,8477446,nz,southCenterNZ,,
21053,2,1,0,0,,None,,false,false,false,false,14239,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.30500793,-1.2588234,0.30500793,-1.2588234,0,evenStrength,5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843",5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424","Anaheim Ducks",23,C,Mason,McTavish,8482745,nz,northCenterNZ,,
21053,3,1,0.033333333333333,0.033333333333333,0,"Nashville Predators",0,true,false,false,false,14240,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-0.7008743,0.25,0.7008743,-0.25,0,evenStrength,5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424",5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843","Nashville Predators",47,C,Michael,McCarron,8477446,nz,northCenterNZ,,
21053,4,1,0.066666666666667,0.066666666666667,0,"Nashville Predators",1,true,false,false,false,14241,00:00:00:02,"NZPASS south+",pass,nz,south,successful,westeast,none,none,none,-0.7008743,0.25,0.7008743,-0.25,0,evenStrength,5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424",5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843","Nashville Predators",47,C,Michael,McCarron,8477446,nz,northCenterNZ,,
21053,5,1,0.1,0.1,0,"Nashville Predators",2,true,false,false,false,14242,00:00:00:03,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,14.38736,-18.358824,-14.38736,18.358824,0,evenStrength,5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424",5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843","Nashville Predators",24,D,Spencer,Stastney,8481056,nz,southCenterNZ,,
21053,6,1,0.73333333333333,0.73333333333333,0,"Nashville Predators",3,true,false,false,true,14261,00:00:00:22,"NZPASS north-",pass,nz,north,failed,eastside,none,none,none,7.346184,-27.411764,-7.346184,27.411764,0,evenStrength,5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424",5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843","Nashville Predators",24,D,Spencer,Stastney,8481056,nz,southEastBoardsNZ,,
21053,7,1,0.83333333333333,0.83333333333333,0,"Nashville Predators",4,false,true,true,false,14264,00:00:00:25,"BLOCK OPPOSITION PASS+",block,nz,pass,successful,,none,none,none,6.3403015,-23.891176,6.3403015,-23.891176,0,evenStrength,5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843",5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424","Anaheim Ducks",61,LW,Cutter,Gauthier,8483445,nz,northWestBoardsNZ,,
21053,8,1,0.86666666666667,0.86666666666667,0,"Nashville Predators",5,false,false,false,false,14265,00:00:00:26,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,-10.759697,-30.932352,10.759697,30.932352,0,evenStrength,5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424",5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843","Nashville Predators",24,D,Spencer,Stastney,8481056,nz,northEastBoardsNZ,,
21053,9,1,1.7,1.7,0,"Nashville Predators",6,false,false,false,false,14290,00:00:01:21,"CONT LPR- NZ",lpr,nz,contested,failed,alongboards,none,none,none,-5.7302856,-38.979412,-5.7302856,-38.979412,0,evenStrength,5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843",5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424","Anaheim Ducks",61,LW,Cutter,Gauthier,8483445,nz,southWestBoardsNZ,,
21053,10,1,2.8333333333333,2.8333333333333,1,"Anaheim Ducks",0,true,false,false,false,14324,00:00:02:25,"DEF LPR NZ",lpr,nz,none,successful,alongboards,block,pass,successful,-6.736168,-38.979412,-6.736168,-38.979412,0,evenStrength,5,"	8481754, 8482745, 8483445","	8481563, 8483490","	8480843",5,"	8477446, 8479356, 8482062","	8481056, 8481743","	8477424","Anaheim Ducks",61,LW,Cutter,Gauthier,8483445,nz,southWestBoardsNZ,,
