gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
21083,0,1,0,0,,,,,,,,20441,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,1,1,0,0,,None,,false,false,false,false,20441,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, lefthandedopponent",none,none,none,-0.19707489,0.25346756,0.19707489,-0.25346756,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",24,C,Roope,Hintz,8478449,nz,northCenterNZ,,
21083,2,1,0,0,,None,,false,false,false,false,20441,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.19707489,0.25346756,-0.19707489,0.25346756,0,evenStrength,5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843",5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979","Anaheim Ducks",91,C,Leo,Carlsson,8484153,nz,southCenterNZ,,
21083,3,1,0.033333333333333,0.033333333333333,0,"Dallas Stars",0,true,false,false,false,20442,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.8079529,-1.2588234,-0.8079529,1.2588234,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",24,C,Roope,Hintz,8478449,nz,southCenterNZ,,
21083,4,1,0.066666666666667,0.066666666666667,0,"Dallas Stars",1,true,false,false,false,20443,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastside,none,none,none,0.8079529,-1.2588234,-0.8079529,1.2588234,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",24,C,Roope,Hintz,8478449,nz,southCenterNZ,,
21083,5,1,0.93333333333333,0.93333333333333,0,"Dallas Stars",2,true,false,false,false,20469,00:00:00:28,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,23.943245,-9.808823,-23.943245,9.808823,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",44,D,Cody,Ceci,8476879,nz,southCenterNZ,,
21083,6,1,2.8,2.8,0,"Dallas Stars",3,true,false,false,true,20525,00:00:02:24,"DZONE STRETCH OFFBOARDS-",pass,dz,stretchoffboards,failed,eastside,none,none,none,30.98442,-32.441177,-30.98442,32.441177,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",44,D,Cody,Ceci,8476879,dz,westPointDZ,,
21083,7,1,3.3666666666667,3.3666666666667,0,"Dallas Stars",4,false,true,true,false,20542,00:00:03:11,"BLOCK OPPOSITION PASS+",block,nz,pass,successful,,none,none,none,-10.759697,-39.482353,-10.759697,-39.482353,0,evenStrength,5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843",5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979","Anaheim Ducks",51,D,Olen,Zellweger,8482803,nz,southWestBoardsNZ,,
21083,8,1,3.4666666666667,3.4666666666667,0,"Dallas Stars",5,false,false,false,false,20545,00:00:03:14,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,-8.2449875,-38.979412,8.2449875,38.979412,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",44,D,Cody,Ceci,8476879,nz,northEastBoardsNZ,,
21083,9,1,4.3666666666667,4.3666666666667,0,"Dallas Stars",6,false,false,false,false,20572,00:00:04:11,"CONT LPR- NZ",lpr,nz,contested,failed,alongboards,none,none,none,-8.747932,-37.47059,-8.747932,-37.47059,0,evenStrength,5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843",5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979","Anaheim Ducks",77,RW,Frank,Vatrano,8478366,nz,southWestBoardsNZ,,
21083,10,1,4.6,4.6,0,"Dallas Stars",7,false,false,false,false,20579,00:00:04:18,"CONT LPR- NZ",lpr,nz,contested,failed,alongboards,none,none,none,-11.262634,-34.955883,11.262634,34.955883,0,evenStrength,5,"	8478420, 8478449, 8480027","	8476879, 8476902","	8479979",5,"	8473986, 8478366, 8484153","	8476885, 8482803","	8480843","Dallas Stars",96,RW,Mikko,Rantanen,8478420,nz,northEastBoardsNZ,,
