gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
21212,0,1,0,0,,,,,,,,29101,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21212,1,1,0,0,,None,,false,false,false,false,29101,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,-0.75588226,-0.19792938,-0.75588226,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",91,C,Leo,Carlsson,8484153,nz,southCenterNZ,,
21212,2,1,0,0,,None,,false,false,false,false,29101,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,-0.75588226,0.19792938,0.75588226,0,evenStrength,5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967",5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843","Vancouver Canucks",24,C,Pius,Suter,8480459,nz,northCenterNZ,,
21212,3,1,0.033333333333333,0.033333333333333,0,"Anaheim Ducks",0,true,false,false,false,29102,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.30500793,0.75294113,0.30500793,0.75294113,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",91,C,Leo,Carlsson,8484153,nz,northCenterNZ,,
21212,4,1,0.066666666666667,0.066666666666667,0,"Anaheim Ducks",1,true,false,false,false,29103,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,-0.19792938,0.25,-0.19792938,0.25,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",91,C,Leo,Carlsson,8484153,nz,southCenterNZ,,
21212,5,1,1.2333333333333,1.2333333333333,0,"Anaheim Ducks",2,true,false,false,false,29138,00:00:01:07,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-18.303818,-29.42353,-18.303818,-29.42353,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",2,D,Jackson,Lacombe,8481605,nz,southWestBoardsNZ,,
21212,6,1,2.5,2.5,0,"Anaheim Ducks",3,true,false,false,false,29176,00:00:02:15,"DZONE D2D+",pass,dz,d2d,successful,westeast,none,none,none,-37.91852,-22.885294,-37.91852,-22.885294,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",2,D,Jackson,Lacombe,8481605,dz,eastPointDZ,,
21212,7,1,3.1666666666667,3.1666666666667,0,"Anaheim Ducks",4,true,false,false,false,29196,00:00:03:05,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-40.433228,24.391174,-40.433228,24.391174,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",7,D,Radko,Gudas,8475462,dz,westPointDZ,,
21212,8,1,3.7333333333333,3.7333333333333,0,"Anaheim Ducks",5,true,false,false,true,29213,00:00:03:22,"DZONE STRETCH-",pass,dz,stretch,failed,eastside,none,none,none,-43.953815,33.444115,-43.953815,33.444115,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",7,D,Radko,Gudas,8475462,dz,westPointDZ,,
21212,9,1,4.5,4.5,0,"Anaheim Ducks",6,false,false,false,false,29236,00:00:04:15,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,6.3403015,36.46176,6.3403015,36.46176,0,evenStrength,5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843",5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967","Anaheim Ducks",7,D,Radko,Gudas,8475462,nz,northEastBoardsNZ,,
21212,10,1,7.8,7.8,1,"Vancouver Canucks",0,true,false,false,false,29335,00:00:07:24,"HI PRESS DUMP IN LPR+",lpr,dz,hipresopdump,successful,alongboards,none,none,none,96.87341,22.882362,-96.87341,-22.882362,0,evenStrength,5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967",5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843","Vancouver Canucks",17,D,Filip,Hronek,8479425,dz,outsideNorthEastDZ,,
21212,11,1,7.8333333333333,7.8333333333333,1,"Vancouver Canucks",1,true,false,false,false,29336,00:00:07:25,"DZ OUTLET PASS OFFBOARDS+",pass,dz,outletoffboards,successful,westeast,none,none,none,97.87929,21.373535,-97.87929,-21.373535,0,evenStrength,5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967",5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843","Vancouver Canucks",17,D,Filip,Hronek,8479425,dz,outsideNorthEastDZ,,
21212,12,1,10.033333333333,10.033333333333,1,"Vancouver Canucks",2,true,false,false,false,29402,00:00:10:01,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,58.146942,-40.48823,-58.146942,40.48823,0,evenStrength,5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967",5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843","Vancouver Canucks",6,RW,Brock,Boeser,8478444,dz,outsideNorthWestDZ,,
21212,13,1,12,12,1,"Vancouver Canucks",3,true,false,false,false,29461,00:00:12:00,"DZONE D2D OFFBOARDS+",pass,dz,d2doffboards,successful,eastwest,none,none,none,82.79106,-35.458817,-82.79106,35.458817,0,evenStrength,5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967",5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843","Vancouver Canucks",6,RW,Brock,Boeser,8478444,dz,outsideNorthWestDZ,,
21212,14,1,13.233333333333,13.233333333333,1,"Vancouver Canucks",4,true,false,false,false,29498,00:00:13:07,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,96.37047,2.2617722,-96.37047,-2.2617722,0,evenStrength,5,"	8478444, 8478856, 8480459","	8477969, 8479425","	8477967",5,"	8473986, 8483445, 8484153","	8475462, 8481605","	8480843","Vancouver Canucks",17,D,Filip,Hronek,8479425,dz,outsideNorthEastDZ,,
