gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20272,0,1,0,0,,,,,,,,7694,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20272,1,1,0,0,,None,,false,false,false,false,7694,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, lefthandedopponent",none,none,none,0.25001526,-0.2529297,0.25001526,-0.2529297,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",47,C,Mark,Kastelic,8480355,nz,northCenterNZ,,
20272,2,1,0,0,,None,,false,false,false,false,7694,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.25001526,-0.2529297,-0.25001526,0.2529297,0,evenStrength,5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412",5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914","St. Louis Blues",12,C,Radek,Faksa,8476889,nz,southCenterNZ,,
20272,3,1,0.033333333333333,0.033333333333333,0,"Boston Bruins",0,true,false,false,false,7695,00:00:00:01,"CONT F/OFF LPR+ NZ",lpr,nz,faceoffcontested,successful,,none,none,none,0.8079529,0.25,0.8079529,0.25,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",47,C,Mark,Kastelic,8480355,nz,northCenterNZ,,
20272,4,1,0.066666666666667,0.066666666666667,0,"Boston Bruins",1,false,false,false,false,7696,00:00:00:02,"CONT LPR- NZ",lpr,nz,contested,failed,,none,none,none,-0.19792938,-0.25294113,0.19792938,0.25294113,0,evenStrength,5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412",5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914","St. Louis Blues",12,C,Radek,Faksa,8476889,nz,northCenterNZ,,
20272,5,1,0.13333333333333,0.13333333333333,0,"Boston Bruins",2,true,false,false,false,7698,00:00:00:04,"NZPASS south+",pass,nz,south,successful,westeast,none,none,none,0.8079529,-0.25294113,0.8079529,-0.25294113,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",47,C,Mark,Kastelic,8480355,nz,northCenterNZ,,
20272,6,1,0.83333333333333,0.83333333333333,0,"Boston Bruins",3,true,false,false,false,7719,00:00:00:25,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-9.25087,2.2617645,-9.25087,2.2617645,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",91,D,Nikita,Zadorov,8477507,nz,southCenterNZ,,
20272,7,1,0.93333333333333,0.93333333333333,0,"Boston Bruins",4,true,false,false,false,7722,00:00:00:28,"NZPASS south+",pass,nz,south,successful,eastside,none,none,none,-9.753815,4.77647,-9.753815,4.77647,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",91,D,Nikita,Zadorov,8477507,nz,southCenterNZ,,
20272,8,1,1.3666666666667,1.3666666666667,0,"Boston Bruins",5,true,false,false,false,7735,00:00:01:11,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-15.789108,17.349998,-15.789108,17.349998,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",29,D,Parker,Wotherspoon,8478450,nz,southCenterNZ,,
20272,9,1,2.8333333333333,2.8333333333333,0,"Boston Bruins",6,true,false,false,false,7779,00:00:02:25,"DUMP IN+",dumpin,nz,dump,successful,"straight, eastofdot",none,none,none,-2.209694,34.95294,-2.209694,34.95294,0,evenStrength,5,"	8479362, 8480355, 8481043","	8477507, 8478450","	8476914",5,"	8476889, 8477573, 8480281","	8470600, 8476892","	8476412","Boston Bruins",29,D,Parker,Wotherspoon,8478450,nz,southEastBoardsNZ,,
