gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20372,0,1,0,0,,,,,,,,11469,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20372,1,1,0,0,,None,,false,false,false,false,11469,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, lefthandedopponent",none,none,none,0.8088074,0.25696564,0.8088074,0.25696564,0,evenStrength,5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280",5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465","Boston Bruins",28,C,Elias,Lindholm,8477496,nz,northCenterNZ,,
20372,2,1,0,0,,None,,false,false,false,false,11469,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.8088074,0.25696564,-0.8088074,-0.25696564,0,evenStrength,5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465",5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280","Pittsburgh Penguins",87,C,Sidney,Crosby,8471675,nz,southCenterNZ,,
20372,3,1,2.2666666666667,2.2666666666667,,None,,false,false,false,false,11537,00:00:02:08,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,4.328537,35.45588,-4.328537,-35.45588,0,evenStrength,5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465",5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280","Pittsburgh Penguins",67,RW,Rickard,Rakell,8476483,nz,southCenterNZ,,
20372,4,1,2.3666666666667,2.3666666666667,0,"Boston Bruins",0,true,false,false,false,11540,00:00:02:11,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,alongboards,none,none,none,-6.736168,40.988235,-6.736168,40.988235,0,evenStrength,5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280",5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465","Boston Bruins",73,D,Charlie,McAvoy,8479325,nz,southEastBoardsNZ,,
20372,5,1,2.4333333333333,2.4333333333333,0,"Boston Bruins",1,true,false,false,true,11542,00:00:02:13,"DUMP IN+",dumpin,nz,dump,successful,"rim, eastofdot",none,none,none,-6.736168,40.988235,-6.736168,40.988235,0,evenStrength,5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280",5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465","Boston Bruins",73,D,Charlie,McAvoy,8479325,nz,southEastBoardsNZ,,
20372,6,1,4.6666666666667,4.6666666666667,1,"Pittsburgh Penguins",0,true,false,false,false,11609,00:00:04:20,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,97.875595,2.7647057,-97.875595,-2.7647057,0,evenStrength,5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465",5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280","Pittsburgh Penguins",35,G,Tristan,Jarry,8477465,dz,outsideNorthEastDZ,,
20372,7,1,6.0333333333333,6.0333333333333,1,"Pittsburgh Penguins",1,true,false,false,true,11650,00:00:06:01,"OFF GLASS DUMP OUT+",dumpout,dz,boards,successful,,none,none,none,97.37265,6.2852936,-97.37265,-6.2852936,0,evenStrength,5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465",5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280","Pittsburgh Penguins",35,G,Tristan,Jarry,8477465,dz,outsideNorthEastDZ,,
20372,8,1,9.2333333333333,9.2333333333333,2,"Boston Bruins",0,true,false,false,false,11746,00:00:09:07,"OPPOSITION DUMP LPR",lpr,nz,opdump,successful,,none,none,none,20.422653,32.438232,20.422653,32.438232,0,evenStrength,5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280",5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465","Boston Bruins",28,C,Elias,Lindholm,8477496,nz,northEastBoardsNZ,,
20372,9,1,10.7,10.7,2,"Boston Bruins",1,true,false,false,false,11790,00:00:10:21,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,-10.256752,26.905884,-10.256752,26.905884,0,evenStrength,5,"	8473419, 8477496, 8479638","	8479325, 8482511","	8480280",5,"	8471675, 8475810, 8476483","	8471724, 8476891","	8477465","Boston Bruins",28,C,Elias,Lindholm,8477496,nz,southEastBoardsNZ,,
