gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20438,0,1,0,0,,,,,,,,16573,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20438,1,1,0,0,,None,,false,false,false,false,16573,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,-0.19792938,0.25,-0.19792938,0.25,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",12,C,Shane,Pinto,8481596,nz,southCenterNZ,,
20438,2,1,0,0,,None,,false,false,false,false,16573,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,-0.19792938,0.25,0.19792938,-0.25,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",44,C,Jean-Gabriel,Pageau,8476419,nz,northCenterNZ,,
20438,3,1,0.26666666666667,0.26666666666667,,None,,false,false,false,false,16581,00:00:00:08,"CONT LPR- NZ",lpr,nz,contested,failed,,none,none,none,2.8197174,8.297058,-2.8197174,-8.297058,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",7,RW,Maxim,Tsyplakov,8484958,nz,southCenterNZ,,
20438,4,1,0.33333333333333,0.33333333333333,0,"Ottawa Senators",0,true,false,false,false,16583,00:00:00:10,"CONT F/OFF LPR+ NZ",lpr,nz,faceoffcontested,successful,,none,none,none,2.8197174,6.2852936,2.8197174,6.2852936,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",22,RW,Michael,Amadio,8478020,nz,northCenterNZ,,
20438,5,1,0.36666666666667,0.36666666666667,0,"Ottawa Senators",1,true,false,false,false,16584,00:00:00:11,"NZPASS south+",pass,nz,south,successful,eastside,none,none,none,2.3167725,5.7823524,2.3167725,5.7823524,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",22,RW,Michael,Amadio,8478020,nz,northCenterNZ,,
20438,6,1,0.96666666666667,0.96666666666667,0,"Ottawa Senators",2,true,false,false,false,16602,00:00:00:29,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-15.286171,10.308823,-15.286171,10.308823,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",3,D,Nick,Jensen,8475324,nz,southCenterNZ,,
20438,7,1,2.2666666666667,2.2666666666667,0,"Ottawa Senators",3,true,false,false,false,16641,00:00:02:08,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,0.30500793,18.858822,0.30500793,18.858822,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",3,D,Nick,Jensen,8475324,nz,northCenterNZ,,
20438,8,1,2.3,2.3,0,"Ottawa Senators",4,true,false,false,false,16642,00:00:02:09,"DUMP IN+",dumpin,nz,dump,successful,"rim, midice",none,none,none,1.8138351,19.864708,1.8138351,19.864708,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",3,D,Nick,Jensen,8475324,nz,northCenterNZ,,
20438,9,1,2.3,2.3,0,"Ottawa Senators",5,false,false,false,true,16642,00:00:02:09,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,3.8255997,15.841175,-3.8255997,-15.841175,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",7,RW,Maxim,Tsyplakov,8484958,nz,northCenterNZ,,
20438,10,1,4.9,4.9,1,"New York Islanders",0,true,false,false,false,16720,00:00:04:27,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,98.881485,0.25,-98.881485,-0.25,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",30,G,Ilya,Sorokin,8478009,dz,outsideNorthEastDZ,,
20438,11,1,5.6,5.6,1,"New York Islanders",1,true,false,false,false,16741,00:00:05:18,"DZONE D2D+",pass,dz,d2d,successful,eastside,none,none,none,97.875595,-1.2588234,-97.875595,1.2588234,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",30,G,Ilya,Sorokin,8478009,dz,outsideNorthWestDZ,,
20438,12,1,6.0666666666667,6.0666666666667,1,"New York Islanders",2,true,false,false,false,16755,00:00:06:02,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,95.360886,-20.87353,-95.360886,20.87353,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",6,D,Ryan,Pulock,8477506,dz,outsideNorthWestDZ,,
20438,13,1,6.1,6.1,1,"New York Islanders",3,true,false,false,false,16756,00:00:06:03,"DZ OUTLET PASS OFFBOARDS+",pass,dz,outletoffboards,successful,eastside,none,none,none,95.360886,-20.87353,-95.360886,20.87353,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",6,D,Ryan,Pulock,8477506,dz,outsideNorthWestDZ,,
20438,14,1,7.7,7.7,1,"New York Islanders",4,true,false,false,false,16804,00:00:07:21,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,60.155014,-40.488235,-60.155014,40.488235,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",14,C,Bo,Horvat,8477500,dz,outsideNorthWestDZ,,
20438,15,1,8.0333333333333,8.0333333333333,1,"New York Islanders",5,true,false,false,false,16814,00:00:08:01,DZPUCKPROTECTION+,puckprotection,dz,body,successful,,none,none,none,62.16678,-40.488235,-62.16678,40.488235,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",14,C,Bo,Horvat,8477500,dz,outsideNorthWestDZ,,
20438,16,1,8.6,8.6,1,"New York Islanders",6,true,false,false,true,16831,00:00:08:18,"DZ OUTLET PASS OFFBOARDS-",pass,dz,outletoffboards,failed,eastside,none,none,none,64.17854,-37.47059,-64.17854,37.47059,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",14,C,Bo,Horvat,8477500,dz,outsideNorthWestDZ,,
20438,17,1,10.366666666667,10.366666666667,1,"New York Islanders",7,false,true,true,false,16884,00:00:10:11,"BLOCK OPPOSITION PASS+",block,oz,pass,successful,,none,none,none,35.510895,-39.482353,35.510895,-39.482353,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",22,RW,Michael,Amadio,8478020,oz,westPoint,,
20438,18,1,10.433333333333,10.433333333333,1,"New York Islanders",8,false,false,false,false,16886,00:00:10:13,"FAILED PASS TRAJECTORY LOCATION DZ",failedpasslocation,dz,none,failed,,none,none,none,31.99031,-40.991177,-31.99031,40.991177,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",14,C,Bo,Horvat,8477500,dz,westPointDZ,,
20438,19,1,10.5,10.5,1,"New York Islanders",9,false,false,false,false,16888,00:00:10:15,"CONT LPR- DZ",lpr,dz,contested,failed,alongboards,none,none,none,31.99031,-40.991177,-31.99031,40.991177,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",44,C,Jean-Gabriel,Pageau,8476419,dz,westPointDZ,,
20438,20,1,11.033333333333,11.033333333333,2,"Ottawa Senators",0,true,false,false,false,16904,00:00:11:01,"DEF LPR OZ",lpr,oz,none,successful,alongboards,block,pass,successful,44.563828,-38.979412,44.563828,-38.979412,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",72,D,Thomas,Chabot,8478469,oz,westPoint,,
20438,21,1,11.9,11.9,2,"Ottawa Senators",1,false,true,false,false,16930,00:00:11:27,"SHOT PRESSURE",pressure,dz,shot,undetermined,,none,none,none,37.019714,-38.979412,-37.019714,38.979412,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",14,C,Bo,Horvat,8477500,dz,westPointDZ,,
20438,22,1,11.933333333333,11.933333333333,2,"Ottawa Senators",2,true,false,false,true,16931,00:00:11:28,"OUTSIDE SHOT FOR ONNET",shot,oz,outside,successful,"wristshot, withpressure, quickrelease, withrebound, lowright",none,none,none,33.49913,-36.464706,33.49913,-36.464706,0,evenStrength,5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341",5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009","Ottawa Senators",72,D,Thomas,Chabot,8478469,oz,westPoint,0.0028603042010217905,0.0009631963330321014
20438,23,1,14.4,14.4,3,"New York Islanders",0,true,false,false,false,17005,00:00:14:12,LPRREB+,lpr,dz,rebound,successful,,none,none,none,65.68736,-3.270588,-65.68736,3.270588,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",6,D,Ryan,Pulock,8477506,dz,westOuterSlotDZ,,
20438,24,1,16.366666666667,16.366666666667,3,"New York Islanders",1,true,false,false,false,17064,00:00:16:11,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastside,none,none,none,94.857956,-0.75588226,-94.857956,0.75588226,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",6,D,Ryan,Pulock,8477506,dz,outsideNorthWestDZ,,
20438,25,1,17.2,17.2,3,"New York Islanders",2,true,false,false,false,17089,00:00:17:06,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,57.640305,-40.991177,-57.640305,40.991177,0,evenStrength,5,"	8476419, 8477500, 8484958","	8477506, 8481014","	8478009",5,"	8476393, 8478020, 8481596","	8475324, 8478469","	8476341","New York Islanders",44,C,Jean-Gabriel,Pageau,8476419,dz,outsideNorthWestDZ,,
