gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20838,0,1,0,0,,,,,,,,21089,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20838,1,1,0,0,,None,,false,false,false,false,21089,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,0.75294113,0.19792938,-0.75294113,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",9,C,Sam,Bennett,8477935,nz,northCenterNZ,,
20838,2,1,0,0,,None,,false,false,false,false,21089,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,0.75294113,-0.19792938,0.75294113,0,evenStrength,5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819",5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519","New York Islanders",14,C,Bo,Horvat,8477500,nz,southCenterNZ,,
20838,3,1,0.63333333333333,0.63333333333333,,None,,false,false,false,false,21108,00:00:00:19,"CONT LPR- NZ",lpr,nz,contested,failed,,none,none,none,-1.2029572,0.25346756,-1.2029572,0.25346756,0,evenStrength,5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819",5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519","New York Islanders",14,C,Bo,Horvat,8477500,nz,southCenterNZ,,
20838,4,1,0.7,0.7,0,"Florida Panthers",0,true,false,false,false,21110,00:00:00:21,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,3.8264542,1.762291,-3.8264542,-1.762291,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",9,C,Sam,Bennett,8477935,nz,southCenterNZ,,
20838,5,1,0.73333333333333,0.73333333333333,0,"Florida Panthers",1,true,false,false,false,21111,00:00:00:22,"NZPASS south+",pass,nz,south,successful,westside,none,none,none,4.329399,2.265232,-4.329399,-2.265232,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",9,C,Sam,Bennett,8477935,nz,southCenterNZ,,
20838,6,1,1.2,1.2,0,"Florida Panthers",2,true,false,false,false,21125,00:00:01:06,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,21.429398,3.2711143,-21.429398,-3.2711143,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",7,D,Dmitry,Kulikov,8475179,nz,southCenterNZ,,
20838,7,1,1.6666666666667,1.6666666666667,0,"Florida Panthers",3,true,false,false,false,21139,00:00:01:20,"NZPASS north+",pass,nz,north,successful,westside,none,none,none,21.429398,4.7799377,-21.429398,-4.7799377,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",7,D,Dmitry,Kulikov,8475179,nz,southCenterNZ,,
20838,8,1,2.1333333333333,2.1333333333333,0,"Florida Panthers",4,true,false,false,false,21153,00:00:02:04,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,14.388222,28.418175,-14.388222,-28.418175,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",77,D,Niko,Mikkola,8478859,nz,southWestBoardsNZ,,
20838,9,1,3.1333333333333,3.1333333333333,0,"Florida Panthers",5,true,false,false,false,21183,00:00:03:04,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,-0.19707489,39.48288,0.19707489,-39.48288,0,evenStrength,5,"	8477935, 8479314, 8480003","	8475179, 8478859","	8481519",5,"	8475314, 8477407, 8477500","	8477950, 8481014","	8480819","Florida Panthers",77,D,Niko,Mikkola,8478859,nz,northWestBoardsNZ,,
