gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
21265,0,1,0,0,,,,,,,,16376,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21265,1,1,0,0,,None,,false,false,false,false,16376,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, lefthandedopponent",none,none,none,-0.7008743,-0.75588226,-0.7008743,-0.75588226,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",53,C,Casey,Cizikas,8475231,nz,southCenterNZ,,
21265,2,1,0,0,,None,,false,false,false,false,16376,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.7008743,-0.75588226,0.7008743,0.75588226,0,evenStrength,5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035",5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405","Philadelphia Flyers",25,C,Ryan,Poehling,8480068,nz,northCenterNZ,,
21265,3,1,0.033333333333333,0.033333333333333,0,"New York Islanders",0,true,false,false,false,16377,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.30870056,0.25000763,0.30870056,0.25000763,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",53,C,Casey,Cizikas,8475231,nz,northCenterNZ,,
21265,4,1,0.066666666666667,0.066666666666667,0,"New York Islanders",1,true,false,false,false,16378,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,0.30870056,0.25000763,0.30870056,0.25000763,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",53,C,Casey,Cizikas,8475231,nz,northCenterNZ,,
21265,5,1,0.1,0.1,0,"New York Islanders",2,true,false,false,false,16379,00:00:00:03,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-22.826591,-11.317642,-22.826591,-11.317642,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",28,D,Alexander,Romanov,8481014,nz,southCenterNZ,,
21265,6,1,1.8,1.8,0,"New York Islanders",3,true,false,false,false,16430,00:00:01:24,"DZONE D2D+",pass,dz,d2d,successful,westeast,none,none,none,-38.41777,-14.838228,-38.41777,-14.838228,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",28,D,Alexander,Romanov,8481014,dz,centerPointDZ,,
21265,7,1,2.3666666666667,2.3666666666667,0,"New York Islanders",4,true,false,false,false,16447,00:00:02:11,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-38.92071,22.379417,-38.92071,22.379417,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",4,D,Tony,DeAngelo,8477950,dz,westPointDZ,,
21265,8,1,2.9666666666667,2.9666666666667,0,"New York Islanders",5,true,false,false,false,16465,00:00:02:29,"DZONE STRETCH OFFBOARDS+",pass,dz,stretchoffboards,successful,eastside,none,none,none,-44.956005,37.46765,-44.956005,37.46765,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",4,D,Tony,DeAngelo,8477950,dz,westPointDZ,,
21265,9,1,3.7666666666667,3.7666666666667,0,"New York Islanders",6,true,false,false,false,16489,00:00:03:23,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,12.379288,40.988243,12.379288,40.988243,0,evenStrength,5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405",5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035","New York Islanders",53,C,Casey,Cizikas,8475231,nz,northEastBoardsNZ,,
21265,10,1,3.8,3.8,0,"New York Islanders",7,false,true,false,false,16490,00:00:03:24,"SHOT PRESSURE",pressure,dz,shot,undetermined,,none,none,none,17.405869,38.979935,-17.405869,-38.979935,0,evenStrength,5,"	8480015, 8480068, 8481592","	8476372, 8477948","	8481035",5,"	8475231, 8477392, 8478115","	8477950, 8481014","	8477405","Philadelphia Flyers",24,D,Nick,Seeler,8476372,nz,southWestBoardsNZ,,
