gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20051,0,1,0,0,,,,,,,,22563,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051,1,1,0,0,,None,,false,false,false,false,22563,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,-0.7008743,-1.2588234,-0.7008743,-1.2588234,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",10,C,Trent,Frederic,8479365,nz,southCenterNZ,,
20051,2,1,0,0,,None,,false,false,false,false,22563,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.7008743,-1.2588234,0.7008743,1.2588234,0,evenStrength,5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048",5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973","New York Rangers",93,C,Mika,Zibanejad,8476459,nz,northCenterNZ,,
20051,3,1,0.033333333333333,0.033333333333333,0,"Edmonton Oilers",0,true,false,false,false,22564,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.30500793,0.25,0.30500793,0.25,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",10,C,Trent,Frederic,8479365,nz,northCenterNZ,,
20051,4,1,0.066666666666667,0.066666666666667,0,"Edmonton Oilers",1,true,false,false,false,22565,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,0.30500793,0.25,0.30500793,0.25,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",10,C,Trent,Frederic,8479365,nz,northCenterNZ,,
20051,5,1,1.7333333333333,1.7333333333333,0,"Edmonton Oilers",2,true,false,false,false,22615,00:00:01:22,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-37.919224,-8.302853,-37.919224,-8.302853,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",25,D,Darnell,Nurse,8477498,dz,centerPointDZ,,
20051,6,1,2.9666666666667,2.9666666666667,0,"Edmonton Oilers",3,true,false,false,false,22652,00:00:02:29,"DZONE D2D+",pass,dz,d2d,successful,westeast,none,none,none,-54.516285,-14.338148,-54.516285,-14.338148,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",25,D,Darnell,Nurse,8477498,dz,eastOuterSlotDZ,,
20051,7,1,3.7333333333333,3.7333333333333,0,"Edmonton Oilers",4,true,false,false,false,22675,00:00:03:22,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,-50.492756,33.44126,-50.492756,33.44126,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",51,D,Troy,Stecher,8479442,dz,westPointDZ,,
20051,8,1,5.4666666666667,5.4666666666667,0,"Edmonton Oilers",5,true,false,false,false,22727,00:00:05:14,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastwest,none,none,none,-35.40452,33.44126,-35.40452,33.44126,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",51,D,Troy,Stecher,8479442,dz,westPointDZ,,
20051,9,1,5.5,5.5,0,"Edmonton Oilers",6,false,true,false,false,22728,00:00:05:15,"BLOCK OPPOSITION PASS-",block,oz,pass,failed,,none,none,none,-32.889107,29.92353,32.889107,-29.92353,0,evenStrength,5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048",5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973","New York Rangers",13,LW,Alexis,Lafrenière,8482109,oz,westPoint,,
20051,10,1,6.2666666666667,6.2666666666667,0,"Edmonton Oilers",7,true,false,false,false,22751,00:00:06:08,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-9.251579,-35.461678,-9.251579,-35.461678,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",25,D,Darnell,Nurse,8477498,nz,southWestBoardsNZ,,
20051,11,1,6.5333333333333,6.5333333333333,0,"Edmonton Oilers",8,true,false,false,false,22759,00:00:06:16,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,0.30430603,-31.94109,0.30430603,-31.94109,0,evenStrength,5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973",5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048","Edmonton Oilers",25,D,Darnell,Nurse,8477498,nz,northWestBoardsNZ,,
20051,12,1,7.6,7.6,0,"Edmonton Oilers",9,false,false,false,false,22791,00:00:07:18,"3on3 CONTROLLED ENTRY AGAINST-",controlledentryagainst,dz,3on3,failed,,none,none,none,39.03148,-22.382353,-39.03148,22.382353,0,evenStrength,5,"	8476459, 8478550, 8482109","	8478840, 8481525","	8478048",5,"	8477953, 8479365, 8481617","	8477498, 8479442","	8479973","New York Rangers",17,D,William,Borgen,8478840,nz,southEastBoardsNZ,,
