gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20088,0,1,0,0,,,,,,,,19965,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20088,1,1,0,0,,None,,false,false,false,false,19965,00:00:00:00,"NZ REC FACE OFF+",faceoff,nz,recovered,successful,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,0.25,0.19792938,-0.25,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",87,C,Sidney,Crosby,8471675,nz,northCenterNZ,,
20088,2,1,0,0,,None,,false,false,false,false,19965,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,-0.19792938,0.25,-0.19792938,0.25,0,evenStrength,5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968",5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465","San Jose Sharks",21,C,Alexander,Wennberg,8477505,nz,southCenterNZ,,
20088,3,1,0.033333333333333,0.033333333333333,0,"Pittsburgh Penguins",0,true,false,false,false,19966,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,-0.19792938,0.25,0.19792938,-0.25,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",87,C,Sidney,Crosby,8471675,nz,northCenterNZ,,
20088,4,1,0.066666666666667,0.066666666666667,0,"Pittsburgh Penguins",1,true,false,false,false,19967,00:00:00:02,"NZPASS south+",pass,nz,south,successful,westeast,none,none,none,-0.19792938,0.25,0.19792938,-0.25,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",87,C,Sidney,Crosby,8471675,nz,northCenterNZ,,
20088,5,1,1.0333333333333,1.0333333333333,0,"Pittsburgh Penguins",2,true,false,false,false,19996,00:00:01:01,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,22.434418,-11.317646,-22.434418,11.317646,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",65,D,Erik,Karlsson,8474578,nz,southCenterNZ,,
20088,6,1,1.1333333333333,1.1333333333333,0,"Pittsburgh Penguins",3,true,false,false,false,19999,00:00:01:04,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,22.434418,-11.317646,-22.434418,11.317646,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",65,D,Erik,Karlsson,8474578,nz,southCenterNZ,,
20088,7,1,1.8,1.8,0,"Pittsburgh Penguins",4,true,false,false,false,20019,00:00:01:24,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,32.996185,22.882355,-32.996185,-22.882355,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",28,D,Parker,Wotherspoon,8478450,dz,eastPointDZ,,
20088,8,1,2.3,2.3,0,"Pittsburgh Penguins",5,true,false,false,true,20034,00:00:02:09,"DZONE STRETCH-",pass,dz,stretch,failed,westside,none,none,none,33.49913,23.888237,-33.49913,-23.888237,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",28,D,Parker,Wotherspoon,8478450,dz,eastPointDZ,,
20088,9,1,3,3,0,"Pittsburgh Penguins",6,false,false,false,false,20055,00:00:03:00,"FAILED PASS TRAJECTORY LOCATION NZ",failedpasslocation,nz,none,failed,,none,none,none,-5.2273407,40.48529,5.2273407,-40.48529,0,evenStrength,5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465",5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968","Pittsburgh Penguins",28,D,Parker,Wotherspoon,8478450,nz,northWestBoardsNZ,,
20088,10,1,6.5666666666667,6.5666666666667,1,"San Jose Sharks",0,true,false,false,false,20162,00:00:06:17,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,-95.75675,1.7588234,-95.75675,1.7588234,0,evenStrength,5,"	8475726, 8477505, 8482667","	8475200, 8479983","	8477968",5,"	8471675, 8475810, 8476483","	8474578, 8478450","	8477465","San Jose Sharks",33,G,Alex,Nedeljkovic,8477968,dz,outsideNorthWestDZ,,
