gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20069,0,1,0,0,,,,,,,,15755,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20069,1,1,0,0,,None,,false,false,false,false,15755,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,0.8079529,-0.25294113,0.8079529,-0.25294113,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",28,C,Elias,Lindholm,8477496,nz,northCenterNZ,,
20069,2,1,0,0,,None,,false,false,false,false,15755,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, righthandedopponent",none,none,none,0.8079529,-0.25294113,-0.8079529,0.25294113,0,evenStrength,5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033",5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280","Vegas Golden Knights",9,C,Jack,Eichel,8478403,nz,southCenterNZ,,
20069,3,1,1.4666666666667,1.4666666666667,0,"Boston Bruins",0,true,false,false,false,15799,00:00:01:14,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,alongboards,none,none,none,-17.808762,-34.784748,-17.808762,-34.784748,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",6,D,Mason,Lohrei,8482511,nz,southWestBoardsNZ,,
20069,4,1,2.4,2.4,0,"Boston Bruins",1,true,false,false,false,15827,00:00:02:12,"NZPASS north+",pass,nz,north,successful,westside,none,none,none,-20.323471,-38.808277,-20.323471,-38.808277,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",6,D,Mason,Lohrei,8482511,nz,southWestBoardsNZ,,
20069,5,1,3.0333333333333,3.0333333333333,0,"Boston Bruins",2,true,false,false,false,15846,00:00:03:01,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,12.870644,-38.305336,12.870644,-38.305336,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",39,C,Morgan,Geekie,8479987,nz,northWestBoardsNZ,,
20069,6,1,3.0666666666667,3.0666666666667,0,"Boston Bruins",3,true,false,false,true,15847,00:00:03:02,"CHIP DUMP+",dumpin,nz,chip,successful,"soft, westofdot",none,none,none,12.870644,-38.305336,12.870644,-38.305336,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",39,C,Morgan,Geekie,8479987,nz,northWestBoardsNZ,,
20069,7,1,4.5333333333333,4.5333333333333,1,"Boston Bruins",0,true,false,false,false,15891,00:00:04:16,"CI LPR OZ",lpr,oz,none,successful,alongboards,dumpin,chip,successful,54.111816,-36.79651,54.111816,-36.79651,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",88,RW,David,Pastrnak,8477956,oz,outsideNorthWest,,
20069,8,1,4.5666666666667,4.5666666666667,1,"Boston Bruins",1,false,false,false,false,15892,00:00:04:17,"CONT HI PRESS DUMP IN LPR -",lpr,dz,hipresopdumpcontested,failed,alongboards,none,none,none,50.09619,-34.45294,-50.09619,34.45294,0,evenStrength,5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033",5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280","Vegas Golden Knights",3,D,Brayden,McNabb,8475188,dz,outsideNorthWestDZ,,
20069,9,1,4.5666666666667,4.5666666666667,1,"Boston Bruins",2,true,false,false,true,15892,00:00:04:17,"NORTH CYCLE OFFBOARDS-",pass,oz,northoffboards,failed,westside,none,none,none,54.111816,-36.79651,54.111816,-36.79651,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",88,RW,David,Pastrnak,8477956,oz,outsideNorthWest,,
20069,10,1,6,6,1,"Boston Bruins",3,false,false,false,false,15935,00:00:06:00,"FAILED PASS TRAJECTORY LOCATION OZ",failedpasslocation,oz,none,failed,,none,none,none,81.270645,-38.808277,81.270645,-38.808277,0,evenStrength,5,"	8477496, 8477956, 8479987","	8479325, 8482511","	8480280",5,"	8475913, 8477964, 8478403","	8475188, 8477447","	8481033","Boston Bruins",88,RW,David,Pastrnak,8477956,oz,outsideNorthWest,,
