gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20066,0,1,0,0,,,,,,,,25793,00:00:00:00,Face-Off,faceoff,,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,1,1,0,0,,None,,false,false,false,false,25793,00:00:00:00,"NZ REC FACE OFF+ENTRY",faceoff,nz,recoveredwithentry,successful,"centerfodot, righthandedopponent",none,none,none,0.80005646,0.25346756,-0.80005646,-0.25346756,0,evenStrength,5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035",5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945","Philadelphia Flyers",27,LW,Noah,Cates,8480220,nz,southCenterNZ,,
20066,2,1,0,0,,None,,false,false,false,false,25793,00:00:00:00,"NZ FACE OFF-",faceoff,nz,none,failed,"centerfodot, lefthandedopponent",none,none,none,0.80005646,0.25346756,0.80005646,0.25346756,0,evenStrength,5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945",5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035","Winnipeg Jets",55,C,Mark,Scheifele,8476460,nz,northCenterNZ,,
20066,3,1,0.033333333333333,0.033333333333333,0,"Philadelphia Flyers",0,true,false,false,false,25794,00:00:00:01,"F/OFF LPR+ NZ",lpr,nz,faceoff,successful,,none,none,none,0.800087,-1.260788,-0.800087,1.260788,0,evenStrength,5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035",5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945","Philadelphia Flyers",27,LW,Noah,Cates,8480220,nz,southCenterNZ,,
20066,4,1,0.066666666666667,0.066666666666667,0,"Philadelphia Flyers",1,true,false,false,false,25795,00:00:00:02,"NZPASS south+",pass,nz,south,successful,eastwest,none,none,none,0.800087,-1.260788,-0.800087,1.260788,0,evenStrength,5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035",5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945","Philadelphia Flyers",27,LW,Noah,Cates,8480220,nz,southCenterNZ,,
20066,5,1,0.86666666666667,0.86666666666667,0,"Philadelphia Flyers",2,true,false,false,false,25819,00:00:00:26,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,13.373619,16.342152,-13.373619,-16.342152,0,evenStrength,5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035",5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945","Philadelphia Flyers",8,D,Cam,York,8481546,nz,southCenterNZ,,
20066,6,1,2.4,2.4,0,"Philadelphia Flyers",3,true,false,false,false,25865,00:00:02:12,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,-0.20579529,38.471565,0.20579529,-38.471565,0,evenStrength,5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035",5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945","Philadelphia Flyers",8,D,Cam,York,8481546,nz,northWestBoardsNZ,,
20066,7,1,2.4333333333333,2.4333333333333,0,"Philadelphia Flyers",4,true,false,false,false,25866,00:00:02:13,"DUMP IN+",dumpin,nz,dump,successful,"rim, westofdot",none,none,none,-5.2352066,38.974503,5.2352066,-38.974503,0,evenStrength,5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035",5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945","Philadelphia Flyers",8,D,Cam,York,8481546,nz,northWestBoardsNZ,,
20066,8,1,2.4333333333333,2.4333333333333,0,"Philadelphia Flyers",5,false,false,false,true,25866,00:00:02:13,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,-17.298637,35.453026,-17.298637,35.453026,0,evenStrength,5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945",5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035","Winnipeg Jets",2,D,Dylan,DeMelo,8476331,nz,northEastBoardsNZ,,
20066,9,1,5,5,1,"Winnipeg Jets",0,true,false,false,false,25943,00:00:05:00,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,-96.76334,-0.75873566,-96.76334,-0.75873566,0,evenStrength,5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945",5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035","Winnipeg Jets",37,G,Connor,Hellebuyck,8476945,dz,outsideNorthEastDZ,,
20066,10,1,6.1666666666667,6.1666666666667,1,"Winnipeg Jets",1,true,false,false,false,25978,00:00:06:05,"DZONE D2D+",pass,dz,d2d,successful,westside,none,none,none,-94.75158,-3.2734413,-94.75158,-3.2734413,0,evenStrength,5,"	8476460, 8478398, 8480014","	8476331, 8477504","	8476945",5,"	8480220, 8481553, 8482159","	8477948, 8481546","	8481035","Winnipeg Jets",37,G,Connor,Hellebuyck,8476945,dz,outsideNorthEastDZ,,
