,time_together
8477392_vs_8478493,4
8474034_vs_8477392,4
8475220_vs_8476419,5
8475220_vs_8477392,3
8475220_vs_8481601,5
8478493_vs_8481601,10
8476419_vs_8478493,13
8474034_vs_8476419,5
8474034_vs_8481601,5
8476419_vs_8482079,12
8476419_vs_8478864,12
8477392_vs_8481557,9
8481557_vs_8481601,8
8477392_vs_8482079,10
8477392_vs_8478864,8
8478864_vs_8481601,13
8476419_vs_8481557,14
8481601_vs_8482079,12
8480789_vs_8481557,10
8475314_vs_8478864,8
8480789_vs_8482079,10
8478864_vs_8480789,10
8475314_vs_8481557,10
8475314_vs_8482079,7
8475149_vs_8480789,4
8475692_vs_8480789,6
8475314_vs_8475692,5
8475149_vs_8475314,6
8475314_vs_8477451,8
8477451_vs_8480789,7
8476419_vs_8477451,10
8475149_vs_8476419,13
8475692_vs_8476419,10
8475692_vs_8478445,6
8477451_vs_8478445,9
8475149_vs_8478445,8
8475149_vs_8475231,8
8474709_vs_8477451,5
8474709_vs_8475692,4
8474709_vs_8475149,3
8473504_vs_8475692,11
8475231_vs_8475692,11
8475231_vs_8477451,9
8473504_vs_8477451,9
8473504_vs_8475149,8
8475149_vs_8475754,7
8475692_vs_8475754,6
8475151_vs_8480980,12
8474709_vs_8480980,3
8475754_vs_8480980,11
8475149_vs_8475151,8
8475151_vs_8475692,6
8475151_vs_8479520,12
8474709_vs_8479520,3
8475754_vs_8479520,11
8475151_vs_8475220,13
8475754_vs_8478493,14
8478445_vs_8478493,13
8475314_vs_8478493,8
8475220_vs_8478445,12
8475220_vs_8475754,12
8475220_vs_8475314,8
8475151_vs_8478493,17
8478445_vs_8480980,11
8478445_vs_8479520,11
8475314_vs_8480980,10
8475314_vs_8479520,11
8475754_vs_8479968,7
8478445_vs_8479968,11
8475314_vs_8479968,9
8475151_vs_8479968,8
8478115_vs_8479520,6
8477392_vs_8479968,8
8479968_vs_8480789,7
8477392_vs_8479520,2
8479520_vs_8480789,7
8478115_vs_8479968,6
8478115_vs_8481557,6
8476419_vs_8479968,10
8478115_vs_8482079,7
8478115_vs_8478864,6
8475692_vs_8478115,6
8475231_vs_8478864,7
8475231_vs_8482079,8
8473504_vs_8478864,7
8475692_vs_8481601,10
8473504_vs_8482079,7
8475151_vs_8478864,6
8475151_vs_8481557,8
8475151_vs_8482079,6
8475231_vs_8478493,7
8475231_vs_8481557,5
8475149_vs_8481601,11
8479968_vs_8481601,4
8474034_vs_8475231,5
8477451_vs_8481601,6
8475231_vs_8479968,7
8473504_vs_8474034,4
8473504_vs_8479968,6
8474034_vs_8478115,5
8474034_vs_8475754,7
8478115_vs_8478493,5
8475220_vs_8478115,6
8474034_vs_8475151,8
8474034_vs_8478445,8
8474034_vs_8475314,4
8478445_vs_8478864,10
8478445_vs_8481557,12
8478493_vs_8480789,6
8478445_vs_8482079,10
8477392_vs_8477451,6
8475149_vs_8477392,5
8475692_vs_8477392,5
8475231_vs_8480980,4
8476419_vs_8480980,4
8480980_vs_8481601,2
8479520_vs_8481601,2
8473504_vs_8480980,3
8473504_vs_8479520,2
8475231_vs_8479520,3
8474709_vs_8479968,2
8475754_vs_8482079,4
8475754_vs_8481557,7
8480789_vs_8480980,7
8475754_vs_8477451,8
8475151_vs_8477451,8
8475149_vs_8478115,4
8477451_vs_8478115,5
8474034_vs_8480789,5
8475220_vs_8480789,5
8478115_vs_8480980,4
8473504_vs_8475220,2
8474034_vs_8474709,2
8474709_vs_8475220,2
8475220_vs_8475231,3
8474709_vs_8478493,2
8473504_vs_8478493,6
8474709_vs_8481557,3
8474709_vs_8482079,3
8473504_vs_8481557,6
8474709_vs_8478864,3
8475754_vs_8478864,4
8476419_vs_8479520,3
8477392_vs_8480980,2
