,time_together
8477986_vs_8481541,14
8477506_vs_8478859,18
8477506_vs_8477986,23
8478859_vs_8481541,12
8475179_vs_8477506,14
8475171_vs_8477506,16
8475179_vs_8481541,11
8475171_vs_8481541,11
8475171_vs_8476429,12
8475179_vs_8476429,9
8475179_vs_8476422,5
8475171_vs_8476422,8
8476422_vs_8478055,6
8476429_vs_8478055,11
8476422_vs_8477932,6
8476429_vs_8477932,11
8477932_vs_8480865,18
8478055_vs_8481014,15
8477932_vs_8481014,16
8478055_vs_8480865,16
8478859_vs_8481014,17
8478859_vs_8480865,16
8477986_vs_8480865,20
8477986_vs_8481014,18
8475179_vs_8480865,15
8475171_vs_8480865,16
8475179_vs_8481014,13
8475171_vs_8481014,13
8476429_vs_8478859,10
8476422_vs_8478859,9
8476429_vs_8477986,15
8476422_vs_8477986,9
8477506_vs_8477932,16
8477932_vs_8481541,10
8477506_vs_8478055,13
8478055_vs_8481541,10
