,time_together
8478046_vs_8480222,15
8478046_vs_8476422,18
8479987_vs_8480222,17
8477392_vs_8476854,12
8479987_vs_8476422,16
8475231_vs_8476854,11
8477392_vs_8474031,9
8473504_vs_8476854,12
8473504_vs_8474031,13
8475231_vs_8474031,13
8477956_vs_8480222,17
8477956_vs_8476422,18
8478115_vs_8476854,16
8478115_vs_8474031,8
8475151_vs_8476854,16
8475151_vs_8474031,6
8475754_vs_8476854,19
8475754_vs_8474031,8
8478445_vs_8474031,11
8478445_vs_8476854,17
8478445_vs_8478443,20
8475754_vs_8478443,19
8478115_vs_8478443,15
8478115_vs_8476891,12
8478445_vs_8476891,21
8475754_vs_8476891,15
8479987_vs_8480865,13
8473419_vs_8481014,19
8477956_vs_8480865,21
8479987_vs_8481014,15
8473419_vs_8480865,24
8477956_vs_8481014,17
8477500_vs_8478443,20
8477500_vs_8476891,20
8475314_vs_8476891,12
8475745_vs_8481014,19
8475745_vs_8480865,25
8475314_vs_8478443,12
8478498_vs_8480865,18
8478498_vs_8481014,17
8480003_vs_8481541,8
8481601_vs_8478450,13
8479365_vs_8474145,12
8481601_vs_8482511,11
8474037_vs_8474145,13
8476419_vs_8482511,10
8476419_vs_8478450,14
8479365_vs_8481541,12
8474037_vs_8481541,12
8480003_vs_8474145,8
8479328_vs_8482511,11
8479328_vs_8478450,12
8475231_vs_8478450,9
8475231_vs_8482511,11
8480003_vs_8480222,3
8479365_vs_8480222,9
8474037_vs_8480222,7
8477392_vs_8482511,10
8477392_vs_8478450,9
8479546_vs_8480222,9
8479546_vs_8481541,10
8479328_vs_8474031,5
8481556_vs_8480222,8
8479546_vs_8476422,8
8481556_vs_8476422,7
8480880_vs_8476422,8
8480880_vs_8480222,8
8479546_vs_8480865,12
8480880_vs_8480865,9
8481556_vs_8480865,11
8478046_vs_8481014,13
8479328_vs_8478443,9
8478046_vs_8480865,17
8479328_vs_8476891,15
8475314_vs_8476854,11
8477500_vs_8476854,16
8477500_vs_8474031,10
8475314_vs_8474031,9
8475745_vs_8480222,11
8478498_vs_8480222,10
8473419_vs_8480222,11
8473419_vs_8476422,13
8475745_vs_8476422,12
8478498_vs_8476422,12
8481601_vs_8474031,9
8481601_vs_8476854,11
8476419_vs_8474031,9
8476419_vs_8476854,10
8478445_vs_8482511,10
8478445_vs_8478450,14
8480880_vs_8474145,5
8480880_vs_8481541,5
8477392_vs_8478443,9
8477392_vs_8476891,9
8479546_vs_8474145,8
8481556_vs_8474145,6
8481556_vs_8481541,6
8478498_vs_8474145,9
8475745_vs_8474145,10
8473419_vs_8474145,9
8475745_vs_8481541,10
8478498_vs_8481541,7
8473419_vs_8481541,7
8481601_vs_8476891,16
8473504_vs_8476891,11
8481601_vs_8478443,9
8473504_vs_8478443,10
8476419_vs_8478443,10
8476419_vs_8476891,17
8475754_vs_8482511,10
8478115_vs_8482511,8
8478115_vs_8478450,11
8475754_vs_8478450,16
8473504_vs_8482511,9
8473504_vs_8478450,8
8481556_vs_8481014,5
8479546_vs_8481014,6
8480880_vs_8481014,6
8479328_vs_8476854,4
8475151_vs_8482511,10
8475151_vs_8478450,12
8477500_vs_8482511,9
8475314_vs_8482511,9
8480003_vs_8480865,2
8480003_vs_8481014,2
8477956_vs_8474145,8
8477956_vs_8481541,7
8478046_vs_8474145,7
8479987_vs_8474145,8
8478046_vs_8481541,5
8479987_vs_8481541,7
8479365_vs_8476422,13
8480003_vs_8476422,3
8474037_vs_8476422,10
8475151_vs_8478443,14
8477500_vs_8478450,12
8475151_vs_8476891,8
8475231_vs_8476891,9
8475231_vs_8478443,8
8479365_vs_8480865,10
8475314_vs_8478450,8
8474037_vs_8480865,7
8479365_vs_8481014,6
8474037_vs_8481014,6
