,time_together
8478445_vs_8480803,9
8477500_vs_8480803,8
8475314_vs_8480803,12
8475786_vs_8481014,20
8477500_vs_8475218,10
8475314_vs_8475218,15
8478402_vs_8480865,20
8475169_vs_8480865,18
8478402_vs_8481014,18
8475169_vs_8481014,15
8475786_vs_8480865,22
8478445_vs_8475218,12
8475169_vs_8474145,13
8478402_vs_8474145,14
8478115_vs_8475218,12
8478115_vs_8480803,10
8475786_vs_8474145,14
8477934_vs_8474145,14
8478115_vs_8477498,9
8476454_vs_8474145,13
8477998_vs_8481541,7
8475754_vs_8475218,15
8475151_vs_8477498,14
8477934_vs_8481541,5
8476454_vs_8481541,5
8475754_vs_8477498,14
8475151_vs_8475218,15
8477998_vs_8474145,11
8475754_vs_8476879,12
8478115_vs_8476879,9
8475151_vs_8476879,11
8476419_vs_8476879,9
8479328_vs_8477498,4
8477998_vs_8480222,12
8477998_vs_8476422,14
8477934_vs_8480222,13
8476454_vs_8480222,12
8479328_vs_8476879,4
8481601_vs_8477498,8
8476419_vs_8477498,10
8477934_vs_8476422,12
8476454_vs_8476422,12
8481601_vs_8476879,6
8477406_vs_8474145,7
8477406_vs_8481541,7
8477392_vs_8477498,7
8477015_vs_8474145,7
8477392_vs_8476879,5
8475231_vs_8477498,8
8473504_vs_8477498,10
8480802_vs_8474145,10
8477015_vs_8481541,6
8480802_vs_8481541,8
8473504_vs_8476879,8
8475231_vs_8476879,7
8475231_vs_8476967,4
8473504_vs_8476967,5
8477392_vs_8479576,3
8473504_vs_8479576,4
8475231_vs_8479576,4
8477392_vs_8476967,4
8477406_vs_8480865,9
8480802_vs_8481014,6
8475314_vs_8476967,6
8477406_vs_8481014,6
8478445_vs_8479576,11
8477015_vs_8480865,9
8475314_vs_8479576,5
8480802_vs_8480865,8
8477015_vs_8481014,5
8478445_vs_8476967,10
8474040_vs_8481014,7
8474040_vs_8480865,8
8480468_vs_8480865,4
8477500_vs_8479576,9
8480468_vs_8481014,5
8477500_vs_8476967,8
8478585_vs_8480865,7
8478585_vs_8481014,5
8475754_vs_8480803,12
8475151_vs_8480803,9
8477998_vs_8481014,12
8476419_vs_8480803,17
8477998_vs_8480865,11
8476419_vs_8475218,15
8481601_vs_8480803,14
8481601_vs_8475218,10
8477934_vs_8481014,18
8477934_vs_8480865,19
8476454_vs_8480865,21
8479328_vs_8480803,5
8479328_vs_8475218,5
8478445_vs_8477498,14
8478445_vs_8476879,14
8480468_vs_8474145,6
8480468_vs_8481541,6
8474040_vs_8474145,9
8478585_vs_8474145,6
8474040_vs_8481541,8
8478585_vs_8481541,5
8475786_vs_8480222,12
8475786_vs_8476422,10
8477406_vs_8480222,5
8477406_vs_8476422,6
8478402_vs_8480222,13
8478402_vs_8476422,11
8475169_vs_8480222,10
8475169_vs_8476422,11
8475314_vs_8477498,16
8475314_vs_8476879,12
8475231_vs_8480803,17
8475231_vs_8475218,11
8476454_vs_8481014,18
8478115_vs_8476967,11
8475754_vs_8476967,9
8474040_vs_8480222,7
8474040_vs_8476422,9
8475151_vs_8476967,9
8478585_vs_8480222,5
8478585_vs_8476422,7
8475151_vs_8479576,9
8475754_vs_8479576,9
8478115_vs_8479576,9
8480468_vs_8480222,5
8480468_vs_8476422,6
8473504_vs_8480803,14
8477500_vs_8477498,13
8475169_vs_8481541,7
8477500_vs_8476879,10
8481601_vs_8479576,7
8476419_vs_8479576,7
8479328_vs_8479576,2
8477392_vs_8480803,9
8477392_vs_8475218,8
8473504_vs_8475218,9
8480802_vs_8476422,8
8480802_vs_8480222,5
8477015_vs_8480222,4
8477015_vs_8476422,8
8481601_vs_8476967,6
8476419_vs_8476967,6
8479328_vs_8476967,1
8478402_vs_8481541,5
8475786_vs_8481541,4
