,time_together
8480865_vs_8481600,17
8479980_vs_8481014,16
8479980_vs_8480865,18
8481014_vs_8481600,16
8474166_vs_8476422,15
8474565_vs_8476422,13
8474166_vs_8480222,15
8474565_vs_8480222,15
8474166_vs_8480865,19
8474565_vs_8480865,18
8475188_vs_8480865,17
8475188_vs_8476422,15
8476422_vs_8482141,13
8480865_vs_8482141,15
8481014_vs_8482141,15
8475188_vs_8481014,13
8481541_vs_8481600,16
8476429_vs_8481600,17
8476429_vs_8479980,15
8479980_vs_8481541,15
8475188_vs_8481541,14
8475188_vs_8476429,15
8481541_vs_8482141,13
8476429_vs_8482141,16
8474166_vs_8481541,10
8474166_vs_8476429,9
8474565_vs_8476429,10
8474565_vs_8481541,10
8474565_vs_8481014,17
8474166_vs_8481014,17
8475188_vs_8480222,14
8480222_vs_8482141,13
8480222_vs_8481600,11
8476422_vs_8481600,13
8476422_vs_8479980,12
8479980_vs_8480222,10
