,time_together
8478136_vs_8481014,11
8481014_vs_8482122,14
8480865_vs_8482122,16
8478136_vs_8480865,15
8476463_vs_8480865,19
8474567_vs_8480865,19
8476463_vs_8481014,12
8474567_vs_8481014,12
8476463_vs_8476917,12
8474567_vs_8476917,10
8474567_vs_8480222,13
8476463_vs_8480222,14
8476917_vs_8482122,15
8476429_vs_8482122,16
8476422_vs_8476463,15
8474567_vs_8476422,14
8476429_vs_8476463,13
8474567_vs_8476429,11
8480222_vs_8482094,11
8476429_vs_8482094,10
8476917_vs_8477541,8
8476429_vs_8477541,10
8477541_vs_8480222,9
8476917_vs_8482094,8
8477541_vs_8481014,12
8481014_vs_8482094,15
8480865_vs_8482094,13
8477541_vs_8480865,10
8478136_vs_8480222,14
8480222_vs_8482122,14
8476422_vs_8478136,12
8476422_vs_8482122,10
8476429_vs_8478136,12
8476917_vs_8478136,9
8476422_vs_8482094,8
8476422_vs_8477541,7
