,time_together
8475825_vs_8480865,21
8476902_vs_8480865,19
8475825_vs_8481014,18
8476902_vs_8481014,15
8470600_vs_8481014,16
8470600_vs_8480865,18
8470600_vs_8480222,10
8480222_vs_8480878,9
8470600_vs_8476917,17
8476917_vs_8480878,16
8480865_vs_8480878,14
8480878_vs_8481014,13
8481014_vs_8481581,20
8480865_vs_8481581,21
8476429_vs_8481581,13
8476429_vs_8480878,16
8477810_vs_8481541,9
8476429_vs_8477810,11
8481541_vs_8481581,11
8480222_vs_8481581,16
8476917_vs_8477810,11
8477810_vs_8480222,12
8476917_vs_8481581,22
8475825_vs_8476917,21
8475825_vs_8480222,18
8476902_vs_8476917,22
8476902_vs_8480222,17
8477810_vs_8481014,15
8477810_vs_8480865,16
8475825_vs_8476429,12
8476429_vs_8476902,10
8476902_vs_8481541,9
8475825_vs_8481541,9
8470600_vs_8481541,11
8470600_vs_8476429,19
8480878_vs_8481541,10
