,time_together
8475151_vs_8475745,13
8475151_vs_8477956,12
8475314_vs_8477956,13
8475314_vs_8475745,10
8473419_vs_8475314,12
8475745_vs_8476419,10
8473419_vs_8476419,14
8476419_vs_8477956,15
8473419_vs_8475151,14
8473419_vs_8477500,9
8477500_vs_8477956,13
8475745_vs_8477500,10
8477956_vs_8478445,14
8473419_vs_8478445,11
8475745_vs_8478445,12
8475314_vs_8479987,10
8477500_vs_8478046,12
8478445_vs_8479365,10
8478046_vs_8478445,11
8475314_vs_8479365,11
8477500_vs_8479365,10
8475314_vs_8478046,9
8478445_vs_8479987,13
8477500_vs_8479987,12
8475754_vs_8479365,10
8475754_vs_8479987,11
8475754_vs_8478046,12
8477500_vs_8478498,10
8474037_vs_8475754,8
8478445_vs_8478498,11
8478401_vs_8478445,4
8475754_vs_8478401,3
8474037_vs_8478445,9
8477500_vs_8478401,3
8474037_vs_8477500,8
8475754_vs_8478498,9
8474037_vs_8475231,14
8474037_vs_8478115,14
8475231_vs_8478498,11
8478115_vs_8478498,14
8478115_vs_8478401,6
8475231_vs_8478401,5
8475231_vs_8483397,10
8478115_vs_8480880,13
8481601_vs_8483397,7
8478115_vs_8483397,12
8478401_vs_8481601,4
8480880_vs_8481601,8
8475231_vs_8480880,8
8475231_vs_8480003,15
8478115_vs_8480003,17
8480003_vs_8481601,12
8481237_vs_8483397,5
8480003_vs_8481237,8
8480880_vs_8481237,4
8478115_vs_8479987,4
8479987_vs_8481237,6
8473504_vs_8480880,7
8473504_vs_8480003,8
8473504_vs_8479987,5
8479365_vs_8481237,7
8473504_vs_8479365,7
8478115_vs_8479365,14
8478046_vs_8481237,4
8473504_vs_8478046,5
8478046_vs_8478115,8
8476419_vs_8478046,8
8476419_vs_8479987,10
8475151_vs_8478046,8
8476419_vs_8479365,8
8475151_vs_8479987,9
8475151_vs_8479365,6
8475745_vs_8475754,9
8473419_vs_8475754,7
8475754_vs_8477956,12
8475231_vs_8475745,11
8473419_vs_8475231,10
8475231_vs_8477956,11
8475745_vs_8481601,10
8477956_vs_8481601,7
8473419_vs_8481601,8
8474037_vs_8481601,10
8477956_vs_8478115,9
8475745_vs_8478115,9
8478498_vs_8481601,9
8475151_vs_8478401,3
8478445_vs_8483397,9
8475754_vs_8483397,8
8477500_vs_8483397,10
8477500_vs_8480003,8
8478445_vs_8480880,11
8478445_vs_8480003,10
8475754_vs_8480880,10
8477500_vs_8480880,10
8475754_vs_8480003,8
8474037_vs_8481237,7
8478498_vs_8481237,7
8474709_vs_8478401,4
8474037_vs_8474709,4
8474709_vs_8478498,4
8478401_vs_8481237,4
8473419_vs_8474709,4
8473419_vs_8481237,5
8475314_vs_8478498,8
8475745_vs_8481237,6
8475151_vs_8478498,10
8477956_vs_8481237,8
8473419_vs_8478115,8
8473504_vs_8478498,6
8473504_vs_8478401,3
8473504_vs_8477956,8
8474709_vs_8480003,4
8474709_vs_8477956,6
8474709_vs_8479365,5
8474709_vs_8478046,3
8474709_vs_8479987,3
8476419_vs_8480880,6
8475314_vs_8480880,9
8475151_vs_8480880,6
8476419_vs_8483397,6
8475314_vs_8483397,6
8475151_vs_8483397,5
8473504_vs_8474037,7
8475314_vs_8478401,1
8475314_vs_8480003,7
8476419_vs_8478401,2
8476419_vs_8480003,6
8475151_vs_8480003,8
8476419_vs_8478498,7
8478046_vs_8481601,6
8475231_vs_8478046,7
8474709_vs_8475745,3
8473419_vs_8473504,6
8473504_vs_8475745,6
8474037_vs_8475151,8
8474037_vs_8476419,7
8475231_vs_8479365,11
8479365_vs_8481601,10
8474037_vs_8475314,7
8475231_vs_8479987,4
8479987_vs_8481601,2
8474709_vs_8480880,2
8473504_vs_8483397,2
