,time_together
8475314_vs_8480023,17
8475314_vs_8477402,17
8475151_vs_8479385,18
8476419_vs_8477402,17
8476419_vs_8480023,18
8475314_vs_8479385,17
8476419_vs_8479385,18
8475151_vs_8480023,19
8475151_vs_8477402,18
8477402_vs_8477500,13
8477500_vs_8480023,16
8477500_vs_8479385,12
8476438_vs_8477500,15
8475170_vs_8478445,14
8475754_vs_8482089,12
8475754_vs_8476438,14
8475170_vs_8477500,15
8478445_vs_8482089,13
8475170_vs_8475754,13
8476438_vs_8478445,15
8477500_vs_8482089,14
8476438_vs_8478115,9
8478115_vs_8482089,9
8475170_vs_8478115,9
8475170_vs_8475231,8
8475231_vs_8476438,10
8475231_vs_8482089,7
8478445_vs_8480281,12
8476897_vs_8478445,8
8475231_vs_8476897,12
8476897_vs_8478115,11
8475231_vs_8480281,11
8478115_vs_8480281,11
8481601_vs_8482089,7
8480281_vs_8481601,10
8476897_vs_8481601,9
8480281_vs_8481237,6
8481237_vs_8482089,4
8476897_vs_8481237,8
8477953_vs_8481237,10
8473504_vs_8476897,8
8473504_vs_8480281,5
8473504_vs_8477953,10
8477953_vs_8478115,5
8481237_vs_8482737,9
8474709_vs_8476897,9
8474709_vs_8477953,10
8474709_vs_8482737,10
8473504_vs_8482737,9
8475763_vs_8481237,10
8474709_vs_8475763,10
8473504_vs_8475763,11
8475314_vs_8475763,4
8476419_vs_8477953,5
8476419_vs_8482737,5
8475763_vs_8476419,7
8475314_vs_8477953,4
8475314_vs_8482737,4
8475151_vs_8475763,9
8475151_vs_8477953,5
8475151_vs_8482737,7
8475754_vs_8479385,7
8475754_vs_8480023,12
8475754_vs_8477402,11
8475151_vs_8476438,9
8475151_vs_8482089,11
8475151_vs_8475170,8
8477500_vs_8477573,7
8475754_vs_8476897,4
8475763_vs_8478445,6
8477573_vs_8478445,9
8476897_vs_8477500,7
8475763_vs_8477500,5
8475754_vs_8475763,5
8475754_vs_8477573,6
8477500_vs_8480281,9
8477573_vs_8478115,10
8475231_vs_8477573,11
8477573_vs_8481601,9
8475231_vs_8477953,5
8477953_vs_8481601,5
8473504_vs_8479385,5
8479385_vs_8481237,7
8480023_vs_8481237,6
8473504_vs_8480023,3
8477402_vs_8481237,6
8476419_vs_8482089,8
8475314_vs_8482089,8
8478445_vs_8480023,11
8476438_vs_8481601,5
8475170_vs_8481601,5
8474709_vs_8480281,7
8475231_vs_8482737,6
8474709_vs_8479385,5
8473504_vs_8477402,2
8474709_vs_8477402,4
8474709_vs_8480023,4
8476419_vs_8476438,9
8475314_vs_8476438,7
8475170_vs_8475314,7
8475754_vs_8480281,5
8475231_vs_8475763,7
8475763_vs_8478115,6
8475763_vs_8481601,7
8481601_vs_8482737,5
8478115_vs_8482737,5
8474709_vs_8477573,6
8473504_vs_8482089,5
8473504_vs_8475170,6
8473504_vs_8476438,5
8475170_vs_8476419,6
8475151_vs_8476897,5
8476419_vs_8476897,4
8478445_vs_8479385,8
8477402_vs_8478445,10
8475314_vs_8476897,3
8477573_vs_8481237,5
8473504_vs_8477573,4
8474709_vs_8476438,5
8475314_vs_8477573,2
8475314_vs_8480281,3
8475151_vs_8477573,3
8475151_vs_8480281,3
8476419_vs_8477573,3
8476419_vs_8480281,3
8478445_vs_8482737,5
8477953_vs_8478445,4
8475754_vs_8477953,2
8475754_vs_8482737,3
8477500_vs_8477953,2
8477500_vs_8482737,2
8475231_vs_8480023,6
8477402_vs_8478115,5
8475231_vs_8477402,6
8479385_vs_8481601,3
8475231_vs_8479385,4
8478115_vs_8480023,5
8480023_vs_8481601,4
8478115_vs_8479385,3
8477402_vs_8481601,5
8476438_vs_8481237,3
8474709_vs_8482089,3
8474709_vs_8475170,4
8475170_vs_8481237,4
