,time_together
8476917_vs_8483490,16
8480865_vs_8483490,18
8475462_vs_8480865,18
8475462_vs_8476917,14
8480865_vs_8482803,16
8476917_vs_8482803,17
8475462_vs_8476422,15
8476422_vs_8482803,15
8480222_vs_8482803,18
8475462_vs_8480222,12
8475764_vs_8476422,17
8475764_vs_8480222,18
8476422_vs_8480184,5
8480184_vs_8480222,10
8476422_vs_8481605,9
8480222_vs_8481605,10
8480184_vs_8481014,14
8481014_vs_8481605,12
8477506_vs_8481605,15
8477506_vs_8480184,13
8475764_vs_8481014,14
8477506_vs_8482803,13
8475764_vs_8477506,18
8481014_vs_8482803,14
8475764_vs_8480865,16
8475764_vs_8476917,16
8475462_vs_8481014,10
8481014_vs_8483490,10
8475462_vs_8477506,12
8477506_vs_8483490,13
8476422_vs_8483490,12
8480222_vs_8483490,13
8476917_vs_8480184,8
8476917_vs_8481605,9
8480865_vs_8481605,9
8480184_vs_8480865,6
