,time_together
8481596_vs_8481014,14
8476419_vs_8482245,16
8475314_vs_8482105,17
8480801_vs_8477506,19
8480801_vs_8481014,14
8475151_vs_8482245,17
8480208_vs_8477506,18
8476419_vs_8482105,18
8480208_vs_8481014,14
8475314_vs_8482245,16
8481596_vs_8477506,16
8475151_vs_8482105,19
8473512_vs_8476917,13
8478445_vs_8479345,18
8473512_vs_8480865,18
8478472_vs_8480865,11
8475754_vs_8479345,20
8477500_vs_8479345,17
8482116_vs_8476917,19
8478445_vs_8481679,6
8477500_vs_8481679,7
8475754_vs_8481679,9
8478472_vs_8476917,10
8482116_vs_8480865,18
8478472_vs_8480222,14
8482116_vs_8480222,15
8473512_vs_8480222,11
8475231_vs_8480073,10
8477330_vs_8480222,12
8481601_vs_8480073,10
8477330_vs_8476422,11
8482092_vs_8480222,11
8478115_vs_8480073,13
8478115_vs_8481679,9
8482092_vs_8476422,14
8482116_vs_8476422,17
8475231_vs_8481679,7
8481601_vs_8481679,7
8478115_vs_8480879,13
8475231_vs_8480879,10
8481601_vs_8480879,11
8473504_vs_8480073,10
8473504_vs_8480879,4
8481237_vs_8480073,10
8481237_vs_8480879,4
8474709_vs_8480073,7
8474709_vs_8480879,4
8482859_vs_8480222,13
8482859_vs_8476422,12
8474709_vs_8479345,6
8479383_vs_8480222,9
8481237_vs_8481679,12
8479383_vs_8476422,10
8473504_vs_8479345,7
8474709_vs_8481679,10
8480448_vs_8480222,9
8480355_vs_8480222,9
8480448_vs_8476422,13
8481237_vs_8479345,6
8480355_vs_8476422,11
8473504_vs_8481679,11
8480448_vs_8477506,12
8480355_vs_8477506,8
8479383_vs_8477506,9
8478445_vs_8482105,17
8475754_vs_8482105,18
8477500_vs_8482105,16
8478445_vs_8482245,15
8475754_vs_8482245,13
8477500_vs_8482245,14
8475314_vs_8480073,7
8480355_vs_8480865,6
8475314_vs_8480879,13
8476419_vs_8480073,8
8476419_vs_8480879,13
8482092_vs_8480865,12
8482092_vs_8477506,10
8482116_vs_8477506,12
8478115_vs_8479345,10
8475314_vs_8479345,11
8478472_vs_8477506,9
8476419_vs_8479345,15
8475314_vs_8481679,6
8478472_vs_8476422,14
8476419_vs_8481679,7
8480448_vs_8476917,4
8474709_vs_8482105,8
8481237_vs_8482105,10
8473504_vs_8482105,11
8474709_vs_8482245,5
8481237_vs_8482245,8
8473504_vs_8482245,7
8481601_vs_8482245,8
8475231_vs_8482105,12
8478115_vs_8482245,10
8481601_vs_8482105,8
8478115_vs_8482105,10
8475231_vs_8482245,8
8473512_vs_8476422,13
8477500_vs_8480073,11
8478445_vs_8480073,9
8475754_vs_8480073,12
8477500_vs_8480879,14
8475151_vs_8480073,11
8475151_vs_8480879,10
8475151_vs_8479345,12
8475151_vs_8481679,9
8480801_vs_8480865,14
8481596_vs_8476917,16
8480801_vs_8476917,16
8481596_vs_8480865,17
8478445_vs_8480879,17
8475754_vs_8480879,16
8482859_vs_8477506,7
8482092_vs_8481014,8
8480448_vs_8481014,9
8482859_vs_8481014,5
8480355_vs_8481014,6
8479383_vs_8481014,8
8473512_vs_8477506,13
8473512_vs_8481014,12
8482116_vs_8481014,10
8475231_vs_8479345,11
8481601_vs_8479345,9
8480208_vs_8480865,17
8480208_vs_8476917,16
8478472_vs_8481014,6
8477330_vs_8477506,6
8477330_vs_8481014,6
8480208_vs_8480222,8
8480208_vs_8476422,8
8482859_vs_8480865,5
8482859_vs_8476917,6
8482092_vs_8476917,8
8480448_vs_8480865,7
8479383_vs_8476917,3
8479383_vs_8480865,5
8480355_vs_8476917,3
8477330_vs_8480865,7
8477330_vs_8476917,6
8481596_vs_8480222,7
8480801_vs_8476422,6
8480801_vs_8480222,5
8481596_vs_8476422,8
