,time_together
8476921_vs_8481237,9
8473504_vs_8473533,9
8474709_vs_8476921,8
8475855_vs_8481237,10
8473533_vs_8481237,9
8474709_vs_8475855,8
8473504_vs_8476921,9
8473533_vs_8474709,9
8473504_vs_8475855,11
8476419_vs_8480830,9
8473504_vs_8475744,7
8475314_vs_8475744,7
8473504_vs_8480830,10
8473504_vs_8480039,10
8475314_vs_8480830,7
8475314_vs_8480039,8
8476419_vs_8480039,10
8475744_vs_8476419,9
8475744_vs_8478445,8
8478445_vs_8480830,6
8478445_vs_8480039,9
8475744_vs_8477500,10
8477500_vs_8480830,10
8477500_vs_8480039,11
8475754_vs_8478427,11
8475754_vs_8480830,11
8477500_vs_8478427,10
8475314_vs_8478427,14
8475151_vs_8478427,11
8475151_vs_8482093,11
8475151_vs_8480830,13
8475754_vs_8482093,11
8477500_vs_8482093,11
8477404_vs_8477500,9
8475151_vs_8477404,11
8475754_vs_8477404,10
8477392_vs_8478427,5
8477392_vs_8482093,5
8477392_vs_8477404,4
8475231_vs_8477404,6
8475231_vs_8478427,7
8475231_vs_8482093,6
8477392_vs_8477962,8
8475231_vs_8477962,8
8481601_vs_8482093,12
8477962_vs_8481601,5
8477392_vs_8480829,9
8480829_vs_8481601,6
8475231_vs_8480829,8
8476474_vs_8477392,8
8475231_vs_8476474,7
8476474_vs_8481601,5
8474709_vs_8476474,10
8474709_vs_8477962,10
8474709_vs_8480829,10
8475231_vs_8480039,9
8480039_vs_8481601,9
8474709_vs_8480039,9
8477962_vs_8481237,10
8480039_vs_8481237,10
8480829_vs_8481237,12
8476419_vs_8482093,6
8478445_vs_8482093,15
8475314_vs_8477404,12
8475314_vs_8482093,13
8476419_vs_8477404,8
8476419_vs_8478427,7
8477404_vs_8478445,13
8478427_vs_8478445,15
8476419_vs_8476921,6
8473533_vs_8478445,9
8473533_vs_8475314,5
8476921_vs_8478445,9
8475855_vs_8476419,6
8475314_vs_8476921,5
8473533_vs_8476419,3
8475855_vs_8478445,9
8475314_vs_8475855,6
8475151_vs_8480039,12
8475754_vs_8480039,11
8475744_vs_8475754,10
8475151_vs_8475744,11
8475231_vs_8475744,8
8475231_vs_8480830,8
8480830_vs_8481601,5
8475744_vs_8477392,8
8477392_vs_8480039,8
8475744_vs_8481601,6
8477392_vs_8480830,7
8476419_vs_8476474,6
8476419_vs_8477962,7
8476419_vs_8480829,8
8475314_vs_8476474,7
8475314_vs_8477962,5
8475314_vs_8480829,8
8477962_vs_8478445,5
8474709_vs_8477404,4
8477404_vs_8481237,3
8475744_vs_8481237,7
8474709_vs_8475744,6
8474709_vs_8480830,8
8480830_vs_8481237,9
8473533_vs_8475151,9
8473533_vs_8477500,8
8473533_vs_8475754,8
8475151_vs_8476921,9
8475754_vs_8476921,9
8476921_vs_8477500,9
8477500_vs_8480829,4
8475855_vs_8477500,8
8475754_vs_8480829,4
8475151_vs_8475855,9
8475151_vs_8480829,3
8478445_vs_8480829,4
8475754_vs_8475855,8
8475855_vs_8481601,6
8473504_vs_8480829,12
8474709_vs_8482093,1
8481237_vs_8482093,1
8473504_vs_8482093,1
8475855_vs_8477392,4
8473533_vs_8481601,4
8473533_vs_8477392,4
8473533_vs_8475231,4
8476921_vs_8481601,4
8475231_vs_8476921,5
8476921_vs_8477392,5
8475231_vs_8475855,5
8478427_vs_8481601,11
8477404_vs_8481601,11
8476474_vs_8481237,10
8473504_vs_8476474,11
8473504_vs_8477962,10
8475754_vs_8477962,1
8477500_vs_8477962,1
8475151_vs_8476474,1
8475754_vs_8476474,1
8476474_vs_8477500,1
8475151_vs_8477962,1
8476474_vs_8478445,5
8474709_vs_8478427,2
8473504_vs_8477404,1
8473504_vs_8478427,1
8478427_vs_8481237,1
