,time_together
8478507_vs_8480865,21
8480860_vs_8480865,17
8476917_vs_8480860,13
8476917_vs_8478507,13
8474090_vs_8480865,17
8474090_vs_8476917,9
8474090_vs_8477506,10
8477506_vs_8478507,16
8474090_vs_8476422,12
8476422_vs_8478507,15
8476422_vs_8483495,13
8477506_vs_8483495,12
8476422_vs_8480860,16
8477506_vs_8480860,19
8474145_vs_8478507,11
8474145_vs_8480860,9
8478507_vs_8481014,12
8480860_vs_8481014,13
8480084_vs_8481014,6
8474145_vs_8480084,5
8474145_vs_8482684,13
8481014_vs_8482684,12
8476917_vs_8480084,7
8476917_vs_8482684,16
8480084_vs_8480865,8
8480865_vs_8482684,9
8477506_vs_8482684,17
8477506_vs_8480084,9
8480865_vs_8483495,15
8480865_vs_8481701,5
8477506_vs_8481701,9
8476422_vs_8481701,7
8476917_vs_8481701,6
8476422_vs_8480084,11
8476422_vs_8482684,10
8476917_vs_8483495,11
8481014_vs_8483495,8
8481014_vs_8481701,5
8474145_vs_8481701,6
8474145_vs_8483495,8
8474090_vs_8474145,7
8474090_vs_8481014,10
