,time_together
8477500_vs_8479407,16
8475151_vs_8478414,9
8475151_vs_8480002,15
8475754_vs_8478414,7
8477500_vs_8478414,5
8475151_vs_8479407,17
8475754_vs_8480002,16
8477500_vs_8480002,15
8475754_vs_8479407,14
8475231_vs_8478414,6
8475231_vs_8480002,9
8475231_vs_8479407,9
8475151_vs_8482125,4
8477500_vs_8482125,5
8475231_vs_8482125,9
8478115_vs_8478414,5
8478115_vs_8480002,6
8478115_vs_8482125,7
8476419_vs_8480002,11
8476419_vs_8482125,8
8476419_vs_8478414,7
8475231_vs_8475287,12
8475287_vs_8478115,13
8475287_vs_8476419,14
8475231_vs_8481559,14
8478115_vs_8481559,12
8476419_vs_8481559,17
8475314_vs_8482110,7
8475314_vs_8477931,6
8477931_vs_8478115,6
8476419_vs_8477931,6
8476419_vs_8482110,10
8478115_vs_8482110,8
8475314_vs_8481559,5
8477931_vs_8478445,14
8478445_vs_8482110,11
8478445_vs_8481559,9
8477392_vs_8477931,9
8477392_vs_8482110,8
8475314_vs_8476292,7
8476292_vs_8478445,14
8476292_vs_8477392,10
8476919_vs_8481601,8
8481559_vs_8481601,12
8478051_vs_8481601,6
8473504_vs_8476919,8
8476919_vs_8481237,8
8473504_vs_8478051,8
8478051_vs_8481237,8
8473504_vs_8481559,10
8481237_vs_8481559,8
8475754_vs_8476919,7
8475754_vs_8481559,8
8475754_vs_8478051,3
8479407_vs_8481237,5
8473504_vs_8479407,8
8478414_vs_8481237,7
8473504_vs_8478414,10
8476919_vs_8477500,7
8473504_vs_8480002,9
8475754_vs_8482125,3
8475287_vs_8477500,13
8475151_vs_8475287,8
8475287_vs_8475754,11
8477500_vs_8481559,7
8475151_vs_8481559,9
8475314_vs_8482125,3
8475287_vs_8475314,5
8475287_vs_8478445,15
8478445_vs_8482125,7
8475287_vs_8477392,7
8477392_vs_8482125,5
8477392_vs_8481559,6
8476292_vs_8478115,6
8475231_vs_8476292,6
8475231_vs_8477931,3
8475231_vs_8482110,8
8476292_vs_8476419,6
8476919_vs_8478115,8
8478051_vs_8478115,5
8475231_vs_8476919,8
8476419_vs_8476919,7
8475231_vs_8478051,7
8476419_vs_8478051,5
8478414_vs_8481601,7
8480002_vs_8481237,6
8480002_vs_8481601,8
8477392_vs_8480002,9
8477392_vs_8479407,9
8477392_vs_8478414,6
8478414_vs_8478445,6
8475314_vs_8478414,6
8478445_vs_8479407,12
8475314_vs_8479407,6
8475754_vs_8482110,14
8477500_vs_8482110,13
8475151_vs_8482110,11
8478445_vs_8480002,11
8477500_vs_8477931,9
8475754_vs_8477931,13
8475151_vs_8477931,10
8475151_vs_8476292,10
8476292_vs_8477500,10
8475151_vs_8476919,7
8475314_vs_8476919,2
8476292_vs_8481601,5
8475287_vs_8481601,9
8475287_vs_8481237,8
8476292_vs_8481237,6
8473504_vs_8476292,6
8473504_vs_8475287,9
8481601_vs_8482125,5
8481237_vs_8482125,5
8473504_vs_8482125,5
8475314_vs_8480002,5
8475754_vs_8476292,12
8475151_vs_8478051,3
8479407_vs_8481601,8
8476419_vs_8479407,10
8473504_vs_8482110,7
8478115_vs_8479407,5
8477931_vs_8481601,5
8481601_vs_8482110,6
8473504_vs_8477931,3
8481237_vs_8482110,5
8477931_vs_8481237,3
8478051_vs_8478445,1
8477392_vs_8478051,1
8475314_vs_8478051,1
8476919_vs_8478445,3
8476919_vs_8477392,3
8477500_vs_8478051,1
