,time_together
8476453_vs_8476422,13
8478010_vs_8476422,10
8477392_vs_8478178,17
8477407_vs_8477506,18
8478445_vs_8478178,17
8477392_vs_8475167,16
8475314_vs_8478178,13
8478010_vs_8477506,19
8477407_vs_8476422,10
8476453_vs_8477506,19
8475314_vs_8475167,13
8478445_vs_8475167,17
8476453_vs_8476917,17
8477407_vs_8476917,16
8478010_vs_8476917,18
8477407_vs_8480865,12
8478010_vs_8480865,13
8476453_vs_8480865,15
8475314_vs_8480246,11
8478445_vs_8480246,7
8477392_vs_8480246,6
8476419_vs_8480246,8
8476419_vs_8475167,8
8477426_vs_8476917,10
8477500_vs_8480246,9
8479591_vs_8476917,8
8477426_vs_8480865,16
8479591_vs_8480865,14
8477500_vs_8475167,11
8482070_vs_8480865,15
8482070_vs_8476917,8
8478115_vs_8475167,8
8478115_vs_8480246,11
8476419_vs_8482929,9
8477500_vs_8482929,9
8478115_vs_8482929,11
8477426_vs_8481014,13
8479591_vs_8481014,11
8479591_vs_8474145,10
8477426_vs_8474145,11
8482070_vs_8474145,9
8482070_vs_8481014,12
8476419_vs_8476856,15
8477500_vs_8476856,15
8478115_vs_8476856,10
8478115_vs_8477938,11
8477500_vs_8477938,14
8476419_vs_8477938,15
8475151_vs_8476856,8
8475151_vs_8477938,8
8475231_vs_8476856,8
8479542_vs_8476422,12
8478519_vs_8477506,12
8475754_vs_8477938,9
8475231_vs_8477938,7
8474564_vs_8477506,10
8479542_vs_8477506,12
8478519_vs_8476422,13
8475754_vs_8476856,8
8474564_vs_8476422,9
8476822_vs_8474145,9
8473504_vs_8482929,7
8473504_vs_8480246,6
8479661_vs_8481014,11
8477353_vs_8474145,8
8481237_vs_8480246,7
8476822_vs_8481014,13
8481237_vs_8482929,8
8479661_vs_8474145,8
8474709_vs_8480246,7
8477353_vs_8481014,13
8474709_vs_8482929,8
8476822_vs_8480865,9
8477353_vs_8480865,8
8479661_vs_8480865,8
8473504_vs_8475167,10
8474709_vs_8478178,10
8481237_vs_8475167,11
8474709_vs_8475167,11
8473504_vs_8478178,9
8481237_vs_8478178,10
8477407_vs_8481014,10
8478010_vs_8481014,11
8476453_vs_8481014,12
8477426_vs_8477506,13
8479591_vs_8477506,8
8482070_vs_8477506,8
8482070_vs_8476422,11
8477426_vs_8476422,12
8479591_vs_8476422,11
8475231_vs_8480246,6
8478519_vs_8474145,9
8475754_vs_8482929,14
8475231_vs_8482929,6
8474564_vs_8474145,10
8479542_vs_8474145,10
8475151_vs_8480246,15
8475754_vs_8480246,14
8475151_vs_8482929,16
8474564_vs_8476917,9
8478519_vs_8480865,14
8479542_vs_8476917,10
8479542_vs_8480865,11
8474564_vs_8480865,15
8478519_vs_8476917,11
8479542_vs_8481014,11
8478519_vs_8481014,13
8474564_vs_8481014,12
8481237_vs_8476856,9
8481237_vs_8477938,6
8473504_vs_8476856,8
8473504_vs_8477938,6
8474709_vs_8476856,8
8474709_vs_8477938,7
8477392_vs_8477938,6
8477392_vs_8476856,7
8476822_vs_8477506,9
8477353_vs_8477506,8
8479661_vs_8477506,8
8475314_vs_8476856,10
8478445_vs_8476856,8
8478115_vs_8478178,7
8477500_vs_8478178,12
8476419_vs_8478178,8
8475754_vs_8475167,9
8475754_vs_8478178,9
8475151_vs_8478178,9
8475151_vs_8475167,10
8475231_vs_8478178,14
8475231_vs_8475167,14
8476453_vs_8474145,9
8478010_vs_8474145,8
8478445_vs_8477938,7
8475314_vs_8477938,9
8475314_vs_8482929,11
8478445_vs_8482929,6
8477392_vs_8482929,5
8479661_vs_8476422,6
8476822_vs_8476422,7
8477353_vs_8476422,6
8477353_vs_8476917,5
8479661_vs_8476917,5
8476822_vs_8476917,5
8477407_vs_8474145,5
