,time_together
8475231_vs_8481568,13
8477450_vs_8477506,21
8484144_vs_8477506,21
8477500_vs_8481568,17
8480798_vs_8477506,23
8478445_vs_8477495,17
8477500_vs_8477495,18
8475231_vs_8477495,16
8477450_vs_8476917,19
8484144_vs_8476917,20
8480798_vs_8476917,20
8478445_vs_8481568,18
8478115_vs_8477495,13
8478115_vs_8481568,11
8475754_vs_8481568,15
8475754_vs_8477495,18
8478445_vs_8477034,9
8475754_vs_8477034,13
8478115_vs_8477034,10
8473422_vs_8477506,13
8473422_vs_8476917,12
8475151_vs_8477034,11
8477450_vs_8480865,12
8477450_vs_8481014,9
8479390_vs_8480865,12
8473422_vs_8480865,14
8473422_vs_8481014,14
8475151_vs_8481568,12
8479390_vs_8481014,11
8475754_vs_8483466,13
8478115_vs_8483466,11
8475151_vs_8483466,12
8475754_vs_8482176,9
8478115_vs_8482176,9
8475151_vs_8482176,10
8474870_vs_8481014,15
8474870_vs_8480865,15
8474870_vs_8480222,8
8479315_vs_8480222,8
8474870_vs_8476422,9
8475314_vs_8482176,10
8475314_vs_8483466,12
8479315_vs_8476422,10
8473422_vs_8480222,9
8473422_vs_8476422,11
8476419_vs_8482176,9
8476419_vs_8483466,11
8481601_vs_8483466,13
8481601_vs_8482176,10
8482117_vs_8480222,7
8482117_vs_8476422,11
8481237_vs_8482176,10
8481237_vs_8483466,6
8477987_vs_8480222,10
8477987_vs_8476422,11
8473504_vs_8475797,7
8474709_vs_8483466,6
8481237_vs_8475797,8
8473504_vs_8483466,6
8476960_vs_8480222,7
8476960_vs_8476422,11
8474709_vs_8475797,8
8482172_vs_8480222,9
8482172_vs_8476422,10
8477987_vs_8480865,8
8476960_vs_8480865,9
8482172_vs_8480865,9
8476960_vs_8481014,11
8482172_vs_8481014,10
8477987_vs_8481014,9
8474709_vs_8477034,3
8481237_vs_8477034,5
8473504_vs_8477034,4
8484144_vs_8481014,13
8484144_vs_8480865,14
8475231_vs_8477034,9
8475231_vs_8475797,9
8477987_vs_8477506,9
8477500_vs_8477034,7
8477500_vs_8475797,11
8478445_vs_8475797,12
8474870_vs_8477506,11
8474870_vs_8476917,11
8479390_vs_8477506,10
8479390_vs_8476917,8
8475151_vs_8477495,14
8475314_vs_8481568,13
8481601_vs_8481568,12
8476419_vs_8481568,13
8475314_vs_8477495,12
8481601_vs_8477495,13
8476419_vs_8477495,14
8476960_vs_8476917,8
8476960_vs_8477506,11
8479315_vs_8477506,7
8479315_vs_8476917,5
8482117_vs_8476917,8
8482117_vs_8477506,10
8475314_vs_8477034,10
8481601_vs_8477034,8
8476419_vs_8477034,10
8480025_vs_8476422,9
8480025_vs_8480222,9
8480025_vs_8480865,8
8480025_vs_8481014,9
8473504_vs_8482176,8
8474709_vs_8482176,9
8480798_vs_8480865,12
8480798_vs_8481014,10
8480025_vs_8477506,9
8482172_vs_8477506,6
8478445_vs_8482176,12
8477500_vs_8482176,11
8475231_vs_8482176,7
8480025_vs_8476917,6
8482172_vs_8476917,5
8479390_vs_8480222,6
8479390_vs_8476422,11
8479315_vs_8481014,9
8482117_vs_8481014,10
8473504_vs_8477495,9
8473504_vs_8481568,6
8481237_vs_8477495,9
8481237_vs_8481568,9
8484144_vs_8476422,7
8484144_vs_8480222,8
8474709_vs_8481568,8
8474709_vs_8477495,9
8477450_vs_8480222,7
8477450_vs_8476422,9
8475754_vs_8475797,6
8475151_vs_8475797,7
8478115_vs_8475797,5
8475314_vs_8475797,7
8481601_vs_8475797,6
8476419_vs_8475797,7
8477987_vs_8476917,6
8480798_vs_8480222,7
8480798_vs_8476422,7
8478445_vs_8483466,9
8477500_vs_8483466,8
8475231_vs_8483466,8
8482117_vs_8480865,7
8479315_vs_8480865,9
