,time_together
8474151_vs_8481014,18
8474600_vs_8480865,22
8474151_vs_8480865,21
8474600_vs_8481014,21
8478851_vs_8481014,19
8478468_vs_8480865,20
8478851_vs_8480865,21
8478468_vs_8481014,18
8476917_vs_8478851,18
8476917_vs_8478468,16
8477506_vs_8478851,17
8477506_vs_8478468,14
8476917_vs_8481056,12
8474145_vs_8474568,10
8474145_vs_8481056,12
8474568_vs_8476917,9
8474568_vs_8476422,11
8476422_vs_8481056,12
8474151_vs_8476422,13
8474145_vs_8474151,9
8474145_vs_8474600,12
8474600_vs_8476422,11
8474145_vs_8478851,9
8474145_vs_8478468,8
8477506_vs_8481056,13
8474568_vs_8477506,10
8474600_vs_8477506,25
8474600_vs_8476917,23
8474151_vs_8477506,23
8474151_vs_8476917,19
8476422_vs_8478851,7
8476422_vs_8478468,10
8474568_vs_8481014,6
8480865_vs_8481056,7
8474568_vs_8480865,8
8481014_vs_8481056,6
