,time_together
8478445_vs_8483515,14
8475231_vs_8483515,11
8478445_vs_8480018,16
8477500_vs_8483515,12
8478445_vs_8481540,15
8475231_vs_8480018,11
8475231_vs_8481540,11
8477500_vs_8480018,14
8477500_vs_8481540,14
8475754_vs_8481540,9
8475754_vs_8480018,9
8475754_vs_8483515,9
8475231_vs_8481618,6
8478445_vs_8481618,8
8475754_vs_8481618,10
8475848_vs_8481601,9
8476469_vs_8481601,11
8475848_vs_8478445,7
8476469_vs_8478445,11
8481601_vs_8481618,9
8475754_vs_8475848,9
8475754_vs_8476469,14
8475151_vs_8476469,14
8475151_vs_8481618,8
8475151_vs_8475848,7
8475754_vs_8476981,10
8476981_vs_8481601,9
8475151_vs_8476981,10
8476871_vs_8478115,5
8476419_vs_8476981,4
8475314_vs_8478133,13
8476981_vs_8478115,5
8475314_vs_8476871,4
8476419_vs_8478133,8
8475314_vs_8476981,6
8478115_vs_8478133,9
8476419_vs_8476871,4
8478115_vs_8481540,8
8475314_vs_8483515,9
8475314_vs_8480018,11
8476419_vs_8481540,8
8476419_vs_8483515,7
8478115_vs_8483515,8
8475314_vs_8481540,7
8476419_vs_8480018,11
8478115_vs_8480018,11
8473504_vs_8481093,6
8474709_vs_8479543,4
8481093_vs_8481237,5
8477989_vs_8481237,4
8474709_vs_8477989,4
8473504_vs_8479543,5
8474709_vs_8481093,5
8473504_vs_8477989,5
8479543_vs_8481237,4
8478445_vs_8481093,8
8478445_vs_8479543,8
8477989_vs_8478445,13
8475231_vs_8477989,9
8475231_vs_8481093,5
8475231_vs_8479543,3
8475231_vs_8476469,8
8477500_vs_8481618,7
8475848_vs_8477500,6
8476469_vs_8477500,8
8475231_vs_8475848,4
8476981_vs_8477500,11
8476981_vs_8478445,12
8475754_vs_8476871,7
8476871_vs_8481601,9
8476871_vs_8478445,12
8475151_vs_8478133,13
8478133_vs_8481601,10
8475151_vs_8476871,6
8475754_vs_8478133,13
8481237_vs_8481540,8
8480018_vs_8481237,8
8481237_vs_8483515,8
8474709_vs_8480018,8
8474709_vs_8483515,7
8474709_vs_8481540,8
8473504_vs_8481540,7
8473504_vs_8480018,7
8473504_vs_8483515,7
8477500_vs_8481093,4
8477500_vs_8479543,3
8477500_vs_8477989,9
8475314_vs_8476469,13
8475754_vs_8477989,12
8475314_vs_8477989,9
8475151_vs_8477989,11
8475754_vs_8481093,7
8475314_vs_8481093,7
8475151_vs_8481093,6
8477500_vs_8478133,15
8476419_vs_8476469,11
8475231_vs_8478133,13
8478133_vs_8478445,17
8476419_vs_8477989,8
8475151_vs_8479543,7
8475754_vs_8479543,9
8477989_vs_8481601,8
8479543_vs_8481601,8
8475151_vs_8480018,4
8480018_vs_8481601,5
8475151_vs_8483515,3
8481601_vs_8483515,5
8475151_vs_8481540,2
8481540_vs_8481601,4
8475314_vs_8481618,9
8475848_vs_8478115,8
8476419_vs_8481618,8
8475314_vs_8475848,8
8478115_vs_8481618,9
8475848_vs_8476419,7
8475231_vs_8476981,10
8475231_vs_8476871,10
8476871_vs_8477500,10
8481093_vs_8481601,5
8478115_vs_8481093,6
8475314_vs_8479543,7
8478115_vs_8479543,5
8476419_vs_8481093,5
8473504_vs_8476469,3
8473504_vs_8481618,2
8474709_vs_8475848,2
8475848_vs_8481237,3
8481237_vs_8481618,3
8476469_vs_8481237,3
8473504_vs_8475848,2
8474709_vs_8476469,1
8474709_vs_8481618,2
8477989_vs_8478115,6
8476419_vs_8479543,5
8474709_vs_8478133,3
8474709_vs_8476981,3
8476871_vs_8481237,3
8474709_vs_8476871,3
8473504_vs_8478133,4
8478133_vs_8481237,4
8473504_vs_8476871,3
8476981_vs_8481237,4
8473504_vs_8476981,2
8476469_vs_8478115,10
