,time_together
8471685_vs_8473419,14
8475745_vs_8477960,16
8471685_vs_8475745,14
8473419_vs_8477960,14
8475745_vs_8482155,13
8477960_vs_8479987,10
8473419_vs_8482155,14
8479987_vs_8482155,9
8471685_vs_8479987,10
8475745_vs_8477942,12
8473419_vs_8477942,8
8477942_vs_8479987,7
8477998_vs_8479987,10
8473419_vs_8482124,12
8475745_vs_8482124,15
8475745_vs_8477998,11
8473419_vs_8477998,12
8479987_vs_8482124,11
8478401_vs_8482124,14
8477998_vs_8478401,13
8477496_vs_8477998,13
8477942_vs_8478401,13
8477496_vs_8477942,12
8477496_vs_8482124,15
8477956_vs_8482124,15
8477956_vs_8477998,16
8477942_vs_8477956,10
8478401_vs_8479675,13
8477496_vs_8479675,12
8477956_vs_8479675,12
8477942_vs_8479638,4
8479638_vs_8479675,5
8479638_vs_8482124,8
8478401_vs_8479661,5
8477496_vs_8479661,5
8479638_vs_8479661,6
8476479_vs_8479638,6
8479661_vs_8483505,7
8479675_vs_8483505,7
8476479_vs_8478401,12
8476479_vs_8483505,7
8479365_vs_8479675,9
8479365_vs_8479661,6
8476479_vs_8479365,8
8476479_vs_8481043,8
8479675_vs_8481043,9
8479661_vs_8481043,8
8479365_vs_8481532,9
8481532_vs_8483505,8
8481043_vs_8481532,2
8473453_vs_8481043,4
8473453_vs_8483505,9
8473453_vs_8479365,11
8481556_vs_8481732,2
8473453_vs_8481556,2
8481043_vs_8481732,4
8480355_vs_8481732,2
8473453_vs_8480355,2
8481532_vs_8481556,3
8480355_vs_8481532,4
8473453_vs_8475745,3
8475745_vs_8481532,3
8475745_vs_8481732,1
8473419_vs_8479675,10
8476479_vs_8477956,10
8473419_vs_8476479,12
8476479_vs_8477496,11
8479365_vs_8482124,10
8477998_vs_8479365,9
8477998_vs_8479638,7
8477496_vs_8477960,11
8473453_vs_8477496,5
8473453_vs_8478401,5
8477956_vs_8477960,13
8473419_vs_8473453,4
8477960_vs_8478401,10
8473453_vs_8477956,8
8471685_vs_8478401,12
8471685_vs_8477956,9
8471685_vs_8477496,10
8477956_vs_8482155,9
8478401_vs_8482155,10
8477496_vs_8482155,8
8471685_vs_8480355,7
8477998_vs_8480355,6
8477942_vs_8480355,7
8471685_vs_8481556,12
8477942_vs_8481043,10
8471685_vs_8481043,9
8477942_vs_8481556,10
8479638_vs_8481732,7
8479638_vs_8481532,7
8481732_vs_8483505,9
8479675_vs_8481556,9
8479365_vs_8481732,8
8476479_vs_8479987,9
8475745_vs_8476479,9
8475745_vs_8479675,10
8479675_vs_8479987,7
8477960_vs_8480355,6
8476479_vs_8480355,9
8477960_vs_8479365,7
8477960_vs_8481043,5
8477960_vs_8481556,9
8471685_vs_8483505,9
8481043_vs_8482155,7
8480355_vs_8482155,6
8482155_vs_8483505,6
8477942_vs_8483505,9
8477942_vs_8479365,7
8479365_vs_8482155,4
8471685_vs_8479365,6
8479638_vs_8482155,4
8473419_vs_8479661,5
8482124_vs_8483505,10
8477998_vs_8483505,9
8475745_vs_8479661,5
8479661_vs_8479987,8
8479661_vs_8481556,6
8479661_vs_8480355,8
8479675_vs_8480355,9
8476479_vs_8481556,7
8473453_vs_8479638,9
8477956_vs_8481732,4
8477956_vs_8481532,2
8478401_vs_8481532,3
8477956_vs_8479661,4
8481043_vs_8482124,10
8477998_vs_8481043,6
8477998_vs_8481556,5
8481556_vs_8482124,6
8480355_vs_8482124,8
8477960_vs_8479638,4
8471685_vs_8479638,3
8477960_vs_8483505,8
8481556_vs_8482155,9
8477496_vs_8481532,2
8479987_vs_8481732,4
8473453_vs_8479987,5
8478401_vs_8481732,2
8473419_vs_8481532,3
8473419_vs_8481732,1
8477496_vs_8481732,1
8479987_vs_8481532,1
