,time_together
8477506_vs_8478430,18
8477506_vs_8480069,23
8476917_vs_8478430,16
8476917_vs_8480069,20
8478430_vs_8480865,21
8480069_vs_8481014,21
8480069_vs_8480865,20
8478430_vs_8481014,20
8476422_vs_8480069,8
8476429_vs_8478430,8
8476422_vs_8478430,7
8476429_vs_8480069,13
8476429_vs_8479398,17
8476422_vs_8479398,13
8476312_vs_8476429,15
8476312_vs_8476422,14
8476429_vs_8481206,14
8476422_vs_8481206,15
8476422_vs_8484258,14
8476429_vs_8484258,15
8476312_vs_8477506,13
8476917_vs_8479398,15
8476312_vs_8476917,14
8477506_vs_8479398,14
8481014_vs_8481206,11
8477506_vs_8481206,18
8477506_vs_8484258,19
8476917_vs_8481206,18
8476917_vs_8484258,19
8480865_vs_8481206,12
8481014_vs_8484258,10
8480865_vs_8484258,12
8479398_vs_8480865,19
8476312_vs_8480865,14
8479398_vs_8481014,17
8476312_vs_8481014,15
