,time_together
8476875_vs_8478882,9
8478882_vs_8482111,16
8476875_vs_8479998,6
8479998_vs_8482111,13
8478882_vs_8483457,23
8479998_vs_8483457,21
8478882_vs_8482087,18
8479998_vs_8482087,16
8482730_vs_8483457,11
8482087_vs_8482730,16
8478452_vs_8483457,10
8478452_vs_8482087,14
8481606_vs_8482087,20
8477971_vs_8483457,15
8477971_vs_8482087,12
8481606_vs_8483457,20
8475233_vs_8481606,13
8477971_vs_8482964,12
8481606_vs_8482964,13
8475233_vs_8477971,10
8475233_vs_8482730,5
8482730_vs_8482964,11
8478452_vs_8482964,10
8475233_vs_8478452,7
8482111_vs_8482730,13
8476875_vs_8482730,4
8478452_vs_8482111,12
8476875_vs_8478452,5
8476875_vs_8481606,6
8481606_vs_8482111,12
8476875_vs_8477971,3
8477971_vs_8482111,8
8479998_vs_8482964,5
8475233_vs_8479998,13
8475233_vs_8478882,12
8478882_vs_8482964,6
