,time_together
8481559_vs_8475764,13
8484153_vs_8480192,18
8481559_vs_8482803,13
8484153_vs_8478399,19
8479407_vs_8482803,11
8479407_vs_8475764,11
8476292_vs_8482803,9
8477952_vs_8478399,17
8481533_vs_8478399,15
8477952_vs_8480192,15
8481533_vs_8480192,15
8476292_vs_8475764,9
8482110_vs_8475764,9
8482110_vs_8482803,17
8482745_vs_8480192,11
8482745_vs_8478399,12
8480002_vs_8482803,17
8480002_vs_8475764,12
8483445_vs_8480192,11
8483445_vs_8478399,11
8478873_vs_8478399,19
8478873_vs_8480192,17
8480002_vs_8483490,13
8482110_vs_8483490,13
8476292_vs_8483490,11
8482745_vs_8476462,9
8478873_vs_8476462,10
8483445_vs_8476462,8
8478414_vs_8483490,10
8478414_vs_8482803,13
8483445_vs_8475455,12
8482745_vs_8475455,11
8478873_vs_8475455,12
8480002_vs_8475462,13
8482110_vs_8475462,14
8478414_vs_8475462,13
8480806_vs_8476462,10
8480806_vs_8475455,10
8481032_vs_8475462,10
8481032_vs_8483490,13
8473986_vs_8476462,10
8473986_vs_8475455,8
8476474_vs_8475462,13
8475287_vs_8475208,13
8478366_vs_8475455,10
8475287_vs_8475462,11
8476474_vs_8475208,12
8481032_vs_8475208,14
8478366_vs_8476462,12
8481032_vs_8483482,10
8475287_vs_8483482,11
8476474_vs_8483482,11
8473986_vs_8477488,11
8480806_vs_8477488,14
8478366_vs_8477488,10
8473986_vs_8482684,9
8480806_vs_8482684,13
8478366_vs_8482684,8
8475193_vs_8475208,13
8475193_vs_8483482,6
8477508_vs_8483482,2
8477508_vs_8475208,2
8477527_vs_8482684,10
8477527_vs_8477488,10
8476934_vs_8477488,12
8476934_vs_8482684,10
8476934_vs_8480192,7
8476934_vs_8478399,8
8477073_vs_8483482,5
8476458_vs_8478399,10
8476458_vs_8480192,10
8477527_vs_8478399,3
8477073_vs_8475208,9
8477527_vs_8480192,3
8476474_vs_8475764,11
8477508_vs_8475764,1
8475193_vs_8475764,7
8475193_vs_8482803,8
8476474_vs_8482803,13
8477508_vs_8482803,2
8478414_vs_8475208,10
8480002_vs_8475208,12
8482110_vs_8475208,11
8481559_vs_8475208,12
8479407_vs_8475208,8
8476292_vs_8483482,9
8481559_vs_8483482,8
8479407_vs_8483482,6
8476292_vs_8475208,12
8476458_vs_8477488,10
8476458_vs_8482684,7
8478873_vs_8482684,9
8478873_vs_8477488,12
8481032_vs_8475764,10
8481032_vs_8482803,9
8475287_vs_8475764,13
8475287_vs_8482803,11
8483445_vs_8477488,9
8475287_vs_8483490,15
8482745_vs_8477488,8
8483445_vs_8482684,5
8476474_vs_8483490,14
8482745_vs_8482684,5
8475193_vs_8483490,12
8475193_vs_8475462,10
8477508_vs_8475462,4
8477508_vs_8483490,4
8476292_vs_8475462,5
8482110_vs_8483482,8
8478414_vs_8483482,7
8480002_vs_8483482,10
8477952_vs_8476462,16
8481533_vs_8476462,7
8484153_vs_8476462,11
8484153_vs_8475455,12
8481533_vs_8475455,9
8477527_vs_8476462,9
8476934_vs_8475455,9
8476934_vs_8476462,10
8477073_vs_8483490,11
8476458_vs_8475455,9
8477073_vs_8475462,7
8476458_vs_8476462,10
8477527_vs_8475455,8
8477952_vs_8475455,13
8478414_vs_8475764,8
8477952_vs_8477488,6
8481533_vs_8477488,11
8484153_vs_8477488,9
8484153_vs_8482684,7
8477952_vs_8482684,5
8481533_vs_8482684,9
8480806_vs_8478399,10
8473986_vs_8478399,10
8480806_vs_8480192,7
8473986_vs_8480192,9
8478366_vs_8480192,10
8478366_vs_8478399,12
8481559_vs_8475462,6
8481559_vs_8483490,10
8477073_vs_8475764,5
8477073_vs_8482803,4
8479407_vs_8483490,6
8479407_vs_8475462,4
