,time_together
8478133_vs_8482159,9
8478133_vs_8480015,15
8475848_vs_8480015,13
8476981_vs_8482159,8
8478133_vs_8480220,7
8475848_vs_8482159,10
8476981_vs_8480015,12
8475848_vs_8480220,10
8476981_vs_8480220,8
8475848_vs_8478439,12
8478133_vs_8478439,15
8476981_vs_8478439,15
8480018_vs_8480220,8
8480018_vs_8484387,9
8478439_vs_8480018,10
8478133_vs_8484387,15
8476981_vs_8484387,16
8476461_vs_8481523,9
8481523_vs_8484387,8
8478439_vs_8481523,11
8476461_vs_8478133,17
8476461_vs_8480018,8
8476461_vs_8481540,7
8481540_vs_8484387,7
8478439_vs_8481540,9
8480797_vs_8481540,8
8480797_vs_8481523,7
8480018_vs_8480797,8
8476872_vs_8480018,9
8476872_vs_8481523,7
8476872_vs_8481540,8
8476469_vs_8480797,14
8476461_vs_8476469,9
8476469_vs_8476872,12
8480068_vs_8481523,9
8476872_vs_8481618,12
8476469_vs_8480068,12
8480068_vs_8481618,15
8480797_vs_8481618,13
8476872_vs_8482775,10
8480797_vs_8482775,11
8480068_vs_8482775,11
8475235_vs_8482476,5
8475235_vs_8479543,4
8477989_vs_8480028,8
8477903_vs_8477989,6
8479543_vs_8480028,5
8475235_vs_8477989,5
8480028_vs_8482476,5
8477903_vs_8482476,6
8477903_vs_8479543,5
8476461_vs_8476981,13
8475848_vs_8476461,13
8475848_vs_8484387,12
8480220_vs_8481540,7
8481540_vs_8482159,7
8480015_vs_8481540,7
8480018_vs_8482159,9
8481523_vs_8482159,6
8480015_vs_8480018,10
8480220_vs_8481523,7
8480015_vs_8481523,7
8480068_vs_8481540,7
8480018_vs_8480068,8
8476469_vs_8480028,9
8480028_vs_8482775,6
8480028_vs_8481618,8
8477903_vs_8482775,6
8476469_vs_8477903,4
8477903_vs_8481618,8
8476469_vs_8480015,8
8480015_vs_8482775,5
8480015_vs_8481618,7
8480015_vs_8482476,5
8476461_vs_8481618,6
8476461_vs_8482476,6
8476461_vs_8479543,9
8479543_vs_8480015,6
8476461_vs_8477989,8
8477989_vs_8480015,8
8476469_vs_8478439,7
8478133_vs_8480028,8
8476469_vs_8484387,6
8476981_vs_8480028,8
8477989_vs_8478439,8
8477989_vs_8482159,6
8476872_vs_8476981,7
8477989_vs_8480797,4
8476981_vs_8480797,7
8476872_vs_8477989,6
8476872_vs_8478133,7
8478133_vs_8480797,7
8476469_vs_8482159,4
8481618_vs_8482159,3
8475848_vs_8476872,7
8475848_vs_8480797,7
8476461_vs_8482775,5
8475848_vs_8480068,9
8480220_vs_8481618,3
8480220_vs_8482775,3
8475848_vs_8477903,4
8480028_vs_8481523,4
8475235_vs_8481523,2
8475235_vs_8481540,2
8480028_vs_8481540,4
8475235_vs_8481618,5
8480018_vs_8480028,5
8475235_vs_8480018,2
8479543_vs_8484387,8
8477989_vs_8484387,9
8478439_vs_8482476,5
8478439_vs_8479543,7
8482476_vs_8484387,6
8476872_vs_8482476,5
8480797_vs_8482476,3
8478133_vs_8480068,6
8476981_vs_8480068,5
8482159_vs_8482775,2
8476469_vs_8480220,3
8478439_vs_8481618,6
8478439_vs_8482775,5
8479543_vs_8480797,2
8477989_vs_8480068,5
8476872_vs_8479543,5
8479543_vs_8480068,4
8480068_vs_8482476,4
8477989_vs_8480220,4
8479543_vs_8480220,5
8480220_vs_8482476,4
8479543_vs_8482159,4
8482159_vs_8482476,4
8475848_vs_8480028,5
8476981_vs_8477903,3
8477903_vs_8478133,3
8482775_vs_8484387,4
8475235_vs_8476469,3
8475235_vs_8482775,4
8481618_vs_8484387,4
8477903_vs_8481523,5
8477903_vs_8480018,5
8477903_vs_8481540,4
8475235_vs_8476981,2
8475235_vs_8475848,2
8475235_vs_8478133,2
