,time_together
8480865_vs_8482803,20
8475764_vs_8476422,20
8475764_vs_8480865,22
8476422_vs_8482803,20
8477506_vs_8482803,13
8475764_vs_8477506,15
8476422_vs_8483490,18
8477506_vs_8483490,18
8476917_vs_8483490,18
8475208_vs_8477506,20
8475208_vs_8476917,19
8475208_vs_8479395,2
8479395_vs_8483490,2
8475208_vs_8476429,4
8476429_vs_8483490,4
8479395_vs_8481605,8
8476429_vs_8481605,13
8475462_vs_8476429,12
8475462_vs_8479395,9
8480865_vs_8481605,10
8475462_vs_8480865,16
8475462_vs_8476422,11
8476422_vs_8481605,12
8475764_vs_8476917,15
8476917_vs_8482803,11
8480865_vs_8483490,18
8475208_vs_8476422,18
8475208_vs_8480865,17
8475462_vs_8477506,12
8477506_vs_8481605,11
8475462_vs_8476917,12
8476917_vs_8481605,10
8475764_vs_8476429,13
8479395_vs_8482803,7
8476429_vs_8482803,16
8475764_vs_8479395,7
