,time_together
8477511_vs_8483457,3
8483515_vs_8477346,16
8478133_vs_8482624,16
8476456_vs_8483457,12
8481618_vs_8477346,16
8477511_vs_8475233,3
8483515_vs_8482624,15
8481068_vs_8483457,13
8476456_vs_8475233,10
8481618_vs_8482624,15
8481068_vs_8475233,10
8478133_vs_8477346,17
8481540_vs_8482624,12
8480018_vs_8477346,16
8482679_vs_8483457,13
8476456_vs_8476875,15
8481523_vs_8477346,15
8481068_vs_8476875,15
8482679_vs_8476875,14
8480018_vs_8482624,13
8481523_vs_8482624,11
8481540_vs_8477346,15
8476399_vs_8476875,15
8481540_vs_8478397,23
8476399_vs_8483457,14
8480018_vs_8478397,22
8481523_vs_8478397,20
8474150_vs_8483457,17
8474150_vs_8476875,15
8482679_vs_8482087,13
8476399_vs_8482087,14
8474150_vs_8482087,13
8481540_vs_8480860,20
8481523_vs_8480860,18
8480018_vs_8480860,18
8474150_vs_8482964,4
8482679_vs_8482964,4
8476399_vs_8482964,4
8475848_vs_8480860,15
8475848_vs_8478397,14
8474150_vs_8481593,4
8476981_vs_8480860,13
8476981_vs_8478397,14
8477989_vs_8480860,13
8477989_vs_8478397,16
8482679_vs_8481593,5
8476399_vs_8481593,5
8483808_vs_8481593,9
8482074_vs_8481593,10
8482074_vs_8482964,5
8483808_vs_8482964,4
8475172_vs_8482964,5
8475172_vs_8481593,9
8477989_vs_8481167,8
8476981_vs_8481167,8
8475848_vs_8481167,11
8475848_vs_8475197,8
8477989_vs_8475197,10
8476981_vs_8475197,9
8477993_vs_8482964,7
8477993_vs_8481593,6
8476469_vs_8477346,11
8482476_vs_8477346,6
8479066_vs_8482964,6
8477989_vs_8477346,12
8476469_vs_8482624,8
8482476_vs_8482624,7
8477989_vs_8482624,11
8481028_vs_8481593,6
8481028_vs_8482964,6
8479066_vs_8481593,6
8482775_vs_8482624,6
8482775_vs_8477346,8
8477511_vs_8476875,5
8477993_vs_8476875,8
8477511_vs_8482964,2
8479066_vs_8476875,7
8481068_vs_8482964,6
8479066_vs_8482087,6
8477511_vs_8482087,5
8481068_vs_8482087,13
8476456_vs_8482087,14
8482476_vs_8480860,4
8483515_vs_8480860,15
8482476_vs_8478397,5
8483515_vs_8478397,15
8482775_vs_8478397,4
8482775_vs_8480860,5
8482775_vs_8481167,8
8476469_vs_8481167,9
8481618_vs_8481167,7
8481523_vs_8481167,9
8475848_vs_8477346,10
8482476_vs_8481167,7
8476981_vs_8477346,10
8475172_vs_8475233,15
8474150_vs_8475233,11
8475172_vs_8483457,15
8479066_vs_8475233,3
8482074_vs_8475233,12
8476981_vs_8482624,10
8482476_vs_8475197,9
8482074_vs_8483457,13
8479066_vs_8483457,4
8483808_vs_8483457,14
8483808_vs_8475233,14
8478133_vs_8480860,10
8478133_vs_8478397,11
8476469_vs_8480860,5
8476469_vs_8478397,6
8478133_vs_8475197,6
8476469_vs_8475197,9
8478133_vs_8481167,5
8481523_vs_8475197,7
8480018_vs_8475197,8
8477993_vs_8482087,4
8481540_vs_8475197,8
8480018_vs_8481167,9
8481540_vs_8481167,9
8477511_vs_8481593,1
8482679_vs_8475233,7
8476399_vs_8475233,9
8483515_vs_8481167,5
8475172_vs_8476875,12
8483808_vs_8476875,12
8483808_vs_8482087,13
8475172_vs_8482087,13
8482074_vs_8476875,13
8482074_vs_8482087,15
8482775_vs_8475197,6
8475848_vs_8482624,7
8481618_vs_8480860,10
8481618_vs_8478397,11
8477993_vs_8483457,2
8481028_vs_8483457,7
8481028_vs_8475233,6
8476456_vs_8481593,4
8476456_vs_8482964,4
8481028_vs_8482087,7
8481028_vs_8476875,9
8481068_vs_8481593,6
8481618_vs_8475197,3
8483515_vs_8475197,3
