,time_together
8476934_vs_8480893,17
8477497_vs_8477952,14
8476934_vs_8477497,16
8477952_vs_8484166,15
8480806_vs_8484166,16
8477497_vs_8480806,18
8477952_vs_8480893,13
8480806_vs_8480893,19
8476934_vs_8484166,18
8478873_vs_8480893,11
8477497_vs_8478873,15
8478873_vs_8484166,14
8481533_vs_8482475,17
8481533_vs_8481716,16
8481533_vs_8482705,18
8478366_vs_8482475,17
8478366_vs_8482705,17
8478873_vs_8482475,15
8478873_vs_8481716,16
8478366_vs_8481716,18
8478873_vs_8482705,18
8479671_vs_8481533,10
8478366_vs_8479671,9
8478873_vs_8479671,7
8476458_vs_8479941,14
8478366_vs_8482451,6
8479941_vs_8481533,10
8478366_vs_8479941,6
8476458_vs_8479671,16
8476458_vs_8482451,15
8481533_vs_8482451,8
8473986_vs_8482451,16
8479671_vs_8484153,13
8482451_vs_8484153,14
8473986_vs_8479671,16
8473986_vs_8479941,14
8479941_vs_8484153,14
8473986_vs_8474037,7
8474037_vs_8476458,7
8474037_vs_8484153,5
8477527_vs_8479941,3
8474037_vs_8477527,10
8477527_vs_8479671,1
8474037_vs_8483445,10
8476374_vs_8483445,10
8479944_vs_8481517,12
8474037_vs_8481517,11
8476374_vs_8477527,10
8476374_vs_8481517,11
8479944_vs_8483445,11
8477527_vs_8479944,12
8481533_vs_8484166,13
8477497_vs_8481533,10
8480893_vs_8481533,9
8480806_vs_8482705,8
8478366_vs_8484166,12
8478366_vs_8480893,9
8476458_vs_8479944,3
8479941_vs_8481517,3
8473986_vs_8479944,4
8477952_vs_8482705,7
8478873_vs_8482451,3
8478873_vs_8479941,5
8479944_vs_8484153,4
8479941_vs_8483445,1
8476374_vs_8476458,4
8476374_vs_8484153,4
8477497_vs_8484153,7
8482705_vs_8484153,7
8477497_vs_8478366,8
8484153_vs_8484166,7
8476458_vs_8484166,8
8476458_vs_8482705,9
8477952_vs_8479671,4
8482451_vs_8483445,2
8479671_vs_8483445,2
8477952_vs_8482451,4
8478366_vs_8479944,4
8479944_vs_8481533,3
8478873_vs_8479944,4
8479941_vs_8480806,3
8479944_vs_8480806,2
8480806_vs_8482475,11
8481517_vs_8482475,3
8477527_vs_8482475,1
8477527_vs_8480893,6
8480893_vs_8481517,6
8481517_vs_8482705,2
8477527_vs_8482705,1
8482475_vs_8484153,6
8480893_vs_8484153,7
8476458_vs_8482475,9
8476458_vs_8480893,5
8481716_vs_8484153,5
8476458_vs_8481716,10
8473986_vs_8481716,6
8473986_vs_8476374,1
8477497_vs_8481517,3
8473986_vs_8484166,7
8473986_vs_8477497,8
8473986_vs_8480893,7
8473986_vs_8482475,7
8473986_vs_8482705,5
8480806_vs_8482451,1
8479671_vs_8480806,2
8476934_vs_8479941,3
8477952_vs_8479941,3
8476934_vs_8479671,2
8476934_vs_8482451,2
8477527_vs_8482451,1
8483445_vs_8484166,6
8477527_vs_8484166,3
8481517_vs_8484166,6
8476374_vs_8477952,1
8476374_vs_8480806,2
8476374_vs_8476934,1
8477952_vs_8482475,7
8476934_vs_8482475,8
8476934_vs_8482705,3
8477497_vs_8483445,4
8480893_vs_8483445,5
8476458_vs_8477497,5
8477497_vs_8477527,2
8474037_vs_8478366,5
8474037_vs_8478873,3
8474037_vs_8481533,5
8476374_vs_8481533,2
8476374_vs_8478366,3
8476374_vs_8478873,3
8476934_vs_8481716,6
8480806_vs_8481716,6
8477952_vs_8481716,4
8474037_vs_8480806,2
8474037_vs_8476934,2
8482475_vs_8483445,1
