,time_together
8475745_vs_8480058,9
8479365_vs_8475753,8
8476889_vs_8477507,14
8474870_vs_8480058,8
8480281_vs_8477507,11
8477573_vs_8477507,11
8475745_vs_8475753,16
8476889_vs_8479325,14
8477573_vs_8479325,12
8474870_vs_8475753,9
8479365_vs_8480058,8
8480281_vs_8479325,14
8476889_vs_8476854,4
8480281_vs_8476854,4
8477573_vs_8476854,2
8479638_vs_8480058,12
8479638_vs_8475753,14
8477496_vs_8475753,18
8477496_vs_8480058,14
8476889_vs_8478443,7
8480281_vs_8478443,7
8477573_vs_8478443,7
8479385_vs_8478443,18
8479385_vs_8476854,5
8473419_vs_8475753,17
8477402_vs_8478443,18
8473419_vs_8480058,13
8477402_vs_8476854,7
8482089_vs_8478443,17
8482089_vs_8476854,6
8477496_vs_8476892,13
8473419_vs_8476892,15
8479638_vs_8476892,10
8479638_vs_8470600,10
8473419_vs_8470600,12
8477496_vs_8470600,10
8475170_vs_8476854,5
8482077_vs_8478450,12
8479385_vs_8482511,12
8478401_vs_8476892,16
8479385_vs_8478450,10
8482077_vs_8482511,14
8475170_vs_8482511,11
8475170_vs_8478450,11
8482077_vs_8476854,4
8478401_vs_8470600,17
8477956_vs_8470600,20
8477956_vs_8476892,20
8479987_vs_8470600,14
8478472_vs_8478450,11
8479987_vs_8476892,15
8478472_vs_8482511,12
8479987_vs_8475753,13
8477956_vs_8475753,18
8478401_vs_8475753,15
8479987_vs_8480058,14
8477956_vs_8480058,19
8478401_vs_8480058,15
8481043_vs_8475753,6
8480355_vs_8475753,7
8481556_vs_8480058,6
8481043_vs_8480058,6
8480355_vs_8480058,7
8481556_vs_8475753,7
8479385_vs_8479325,14
8477402_vs_8477507,16
8479385_vs_8477507,16
8482089_vs_8479325,17
8482089_vs_8477507,14
8477402_vs_8479325,18
8479987_vs_8482516,7
8477956_vs_8482516,8
8478401_vs_8482516,7
8478401_vs_8481059,6
8479987_vs_8481059,6
8477956_vs_8481059,9
8480074_vs_8476854,1
8481556_vs_8481059,11
8476438_vs_8476854,1
8480074_vs_8479325,10
8480355_vs_8481059,11
8481043_vs_8481059,10
8476438_vs_8479325,10
8481556_vs_8476892,3
8481043_vs_8476892,6
8480355_vs_8476892,7
8476897_vs_8476854,2
8476438_vs_8478443,7
8480074_vs_8478443,8
8476897_vs_8478443,7
8481556_vs_8470600,3
8481043_vs_8470600,7
8480355_vs_8470600,9
8479365_vs_8470600,10
8479365_vs_8476892,11
8474870_vs_8476892,10
8474870_vs_8470600,9
8476438_vs_8482511,6
8476897_vs_8482511,9
8480074_vs_8482511,7
8480074_vs_8478450,8
8476438_vs_8478450,7
8476897_vs_8478450,8
8475745_vs_8470600,11
8475745_vs_8476892,12
8480281_vs_8482511,10
8480281_vs_8478450,12
8477573_vs_8482511,10
8477573_vs_8478450,12
8476889_vs_8482511,10
8476889_vs_8478450,10
8478472_vs_8476854,3
8477402_vs_8482511,14
8482089_vs_8482511,11
8475745_vs_8482516,9
8475745_vs_8481059,10
8474870_vs_8482516,7
8474870_vs_8481059,9
8479365_vs_8482516,9
8479365_vs_8481059,10
8476897_vs_8479325,16
8480355_vs_8482516,9
8476438_vs_8477507,8
8476897_vs_8477507,12
8481043_vs_8482516,8
8481556_vs_8482516,8
8480074_vs_8477507,9
8479638_vs_8482516,5
8482077_vs_8479325,13
8482077_vs_8478443,10
8475170_vs_8478443,13
8478472_vs_8478443,7
8479638_vs_8481059,3
8473419_vs_8482516,3
8477402_vs_8478450,8
8478472_vs_8477507,9
8482077_vs_8477507,10
8478472_vs_8479325,12
8475170_vs_8477507,11
8475170_vs_8479325,14
8482089_vs_8478450,6
8477496_vs_8482516,1
8477496_vs_8481059,3
8473419_vs_8481059,1
